year,en_ADP oie_NOUN,en_ADP choix_NOUN
1800,3.144164484325529e-09,0.0
1801,1.666827853519237e-08,0.0
1802,2.0140561218795483e-08,6.713520406265161e-09
1803,9.751696339321825e-09,7.801356893821776e-09
1804,1.2359254952798437e-08,0.0
1805,3.695740957709859e-08,1.421438877713399e-08
1806,1.4408345627714425e-08,5.76333825108577e-09
1807,0.0,0.0
1808,1.0877154998922833e-07,0.0
1809,0.0,6.7770917766551975e-09
1810,2.3401266702194334e-08,0.0
1811,1.504245972228091e-08,1.504246105454854e-08
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,5.751483289628823e-09,1.1502966579257645e-08
1814,1.1642705288750221e-07,6.293354282149721e-09
1815,0.0,0.0
1816,2.3176038865813098e-09,1.3905623319487859e-08
1817,4.670620334934483e-09,1.2454987263765815e-08
1818,4.768470951432846e-09,8.344824387052086e-09
1819,4.140420006848444e-09,0.0
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,1.577838126820552e-08,8.875339574387908e-09
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,1.9765373782121287e-09,6.917880712720148e-09
1824,1.9368560089105813e-08,2.5263338088166165e-09
1825,7.924898959288385e-09,8.805443041381977e-10
1826,3.5231937367541377e-09,0.0
1827,1.8434546111834038e-09,9.217273055917019e-10
1828,7.337841001486822e-09,9.172301251858528e-10
1829,9.430493719264632e-09,5.915491385621863e-08
1830,2.0873671680021744e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,3.897801548191637e-08
1832,2.0294953273491956e-08,2.705993873419743e-09
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,3.733812370398937e-09,7.467624740797874e-09
1835,7.563087933704082e-09,1.4369867074037757e-08
1836,2.016224964762614e-09,8.064899859050456e-09
1837,1.3915781860163179e-09,6.957891041103892e-09
1838,4.418513332993257e-09,8.837026443941909e-09
1839,2.0974426639952526e-09,6.292327547896548e-09
1840,5.732719632334238e-09,2.611572397226425e-08
1841,2.3113974734201292e-08,7.704658244733764e-09
1842,1.341653010911159e-09,6.708265054555795e-10
