year,en_ADP août_NOUN,en_ADP shoot_NOUN
1800,3.229057028875104e-06,0.0
1801,1.5049074093553827e-06,0.0
1802,1.996153372374465e-06,0.0
1803,1.7104474636653322e-06,0.0
1804,1.3076091889274721e-06,0.0
1805,1.2736091719034448e-06,0.0
1806,2.616555661916209e-06,0.0
1807,1.3323749712412791e-06,0.0
1808,1.8468503526491986e-06,0.0
1809,1.1746958179514877e-06,0.0
1810,1.2706887915214793e-06,0.0
1811,4.424990692086794e-06,0.0
1812,1.2749255873245602e-06,0.0
1813,1.2538233491454776e-06,0.0
1814,2.108273719159115e-06,0.0
1815,1.6722786497780362e-06,0.0
1816,1.610734670975944e-06,0.0
1817,1.7250157569037583e-06,0.0
1818,1.7464524759702726e-06,0.0
1819,1.4108480659302813e-06,0.0
1820,1.4109246251337026e-06,0.0
1821,1.8588905845717818e-06,0.0
1822,2.080315269381572e-06,0.0
1823,1.6444790915670637e-06,0.0
1824,1.1781136777244683e-06,0.0
1825,2.1414837760858063e-06,8.805443041381977e-10
1826,2.0584259203815236e-06,0.0
1827,2.2066152070010503e-06,0.0
1828,1.4033620914233325e-06,0.0
1829,1.4334350559863651e-06,0.0
1830,1.4768122404973383e-06,0.0
1831,2.106371908894289e-06,0.0
1832,1.6073603603672382e-06,0.0
1833,1.712060280212313e-06,0.0
1834,1.9070446235502914e-06,0.0
1835,1.572365945889942e-06,0.0
1836,1.6492720149585693e-06,0.0
1837,1.7241653935684553e-06,0.0
1838,1.4461162649581638e-06,0.0
1839,1.8058980764124044e-06,0.0
1840,1.6026136968605442e-06,0.0
1841,1.8253619415986577e-06,0.0
1842,1.7783610477550837e-06,0.0
1843,1.8606769316420468e-06,0.0
1844,1.798052654322646e-06,0.0
1845,2.0228325858795415e-06,0.0
1846,1.7586922140822026e-06,0.0
1847,1.936167237204245e-06,0.0
1848,1.563991084196914e-06,0.0
1849,2.0973675063373776e-06,0.0
1850,1.806551837901793e-06,0.0
1851,2.226346261124945e-06,0.0
1852,2.215538575711662e-06,0.0
1853,2.3159151538720835e-06,0.0
1854,2.0725506004737326e-06,0.0
1855,2.072889685678092e-06,0.0
1856,2.195645937064228e-06,0.0
1857,3.4492743026248718e-06,0.0
1858,2.9264183609711836e-06,0.0
1859,2.294533398838894e-06,0.0
1860,2.0958925297520636e-06,0.0
1861,2.199997020113642e-06,0.0
1862,2.305528397528178e-06,0.0
1863,2.513293267725203e-06,0.0
1864,2.557987336615497e-06,0.0
