year,en_ADP ans_NOUN,en_ADP chants_NOUN
1800,1.006132621661493e-07,4.4018304556914245e-08
1801,9.28661236798689e-08,7.381666233818862e-08
1802,9.175144555229053e-08,6.265952379180817e-08
1803,9.946729906396001e-08,5.265916058760922e-08
1804,9.887404028852131e-08,7.66273813290752e-08
1805,6.25433098644379e-08,1.194008660831969e-07
1806,1.6137346481315262e-07,3.458002950651462e-08
1807,1.5088862248546775e-07,6.547996633798903e-08
1808,1.427626639127766e-07,5.4385775882792586e-08
1809,7.906607124574805e-08,5.421673421324158e-08
1810,1.4508786394529238e-07,5.3822915901946544e-08
1811,8.273353602206157e-08,3.008491944456182e-08
1812,9.068508077803017e-08,2.0270782385978237e-07
1813,7.476928232108548e-08,1.0927818294703684e-07
1814,3.1466771410748606e-08,4.090680150170556e-08
1815,4.855002422310406e-08,2.1577788444915313e-08
1816,5.7940095388175905e-08,6.257530316133852e-08
1817,6.383180817248757e-08,9.96399013297733e-08
1818,6.318223921830679e-08,5.2453181353939726e-08
1819,1.066158181739496e-07,5.175525130685088e-08
1820,4.509263007435038e-08,1.0086508694939766e-07
1821,1.0354562518521959e-07,6.311352507282209e-08
1822,1.3334069137727056e-07,5.1130641054442094e-08
1823,4.348382143248841e-08,6.720227396783685e-08
1824,5.557934468214398e-08,6.315834522041541e-08
1825,4.138558074018306e-08,9.862095939894289e-08
1826,3.435113959948666e-08,7.398706580730163e-08
1827,6.544263980723386e-08,4.424290978022327e-08
1828,4.035812389835414e-08,7.704732962743321e-08
1829,5.658296359234427e-08,8.401712198180533e-08
1830,2.7135772739939057e-08,1.1063045946002603e-07
1831,4.989185842241284e-08,1.200522896649403e-07
1832,3.9236911608675484e-08,1.1500473950931678e-07
1833,3.938433690287013e-08,9.151066504564653e-08
1834,4.760610661236342e-08,1.110809151327885e-07
1835,9.756383434478266e-08,1.2327832621394919e-07
1836,3.09154504218867e-08,1.1559689844231613e-07
1837,3.478945287405111e-08,8.279890550966229e-08
1838,3.282324301245865e-08,7.700837301172214e-08
1839,6.711815891957684e-08,6.781731276550573e-08
1840,6.369688487772862e-08,7.516232747306617e-08
1841,9.052973348744331e-08,9.052973481971094e-08
1842,7.24492630332918e-08,8.318248712058107e-08
1843,3.544146692791017e-08,1.2463581744448504e-07
1844,3.402907938765409e-08,1.1251550469104643e-07
1845,2.566904799827796e-08,9.98860830714321e-08
1846,3.2785206105501175e-08,1.0186832199998719e-07
1847,2.1572895470001185e-08,7.065122620275588e-08
1848,1.930853293918844e-08,9.734718275922205e-08
1849,4.7762666932626985e-08,1.1814974798518563e-07
1850,3.2587180065490884e-08,7.807345525634446e-08
1851,3.4826968864365426e-08,9.48067493400373e-08
1852,2.79953455972759e-08,7.552232816898652e-08
1853,6.270528518648177e-08,1.1525828114145042e-07
1854,3.273268556203135e-08,1.2157854767380627e-07
1855,2.4411910715116392e-08,1.0083180512765466e-07
1856,1.501384794266869e-08,1.0561465901837153e-07
1857,4.58861838525948e-08,1.1813252176473554e-07
1858,5.285170184832211e-08,1.1402264799009743e-07
1859,2.9025388315062628e-08,8.402086093539651e-08
1860,1.968189100587381e-08,1.0710610354180972e-07
1861,1.9807047502151676e-08,8.818852492709084e-08
1862,3.252950275811628e-08,1.3147339950059234e-07
1863,2.6970952249349978e-08,1.0089134350188544e-07
1864,1.821996631345968e-08,7.240038968348017e-08
1865,2.07101151783462e-08,9.225414632219042e-08
1866,3.113992252945508e-08,9.293320896164303e-08
1867,3.299911810472622e-08,1.1501163044158602e-07
1868,4.8410764397210926e-08,7.064020157709905e-08
1869,5.4207061062072626e-08,8.936840190099105e-08
1870,2.2362789842134134e-08,6.59415579917777e-08
1871,6.054070955663349e-08,6.266494523288202e-08
1872,3.5679300403046454e-08,9.010535739761849e-08
1873,5.566984112581608e-08,9.338167217265436e-08
1874,3.166542839050379e-08,5.43689441800943e-08
1875,3.204055232242098e-08,6.865832347102696e-08
1876,3.143927651549916e-08,9.129482436698311e-08
1877,2.4120781705327943e-08,7.916564537246984e-08
1878,3.502671280797287e-08,1.014566883839052e-07
1879,2.627009876299269e-08,6.720257772485638e-08
1880,5.519347645588368e-08,7.958129355500887e-08
1881,3.2770786140279284e-08,8.785359684182481e-08
1882,4.192892699705908e-08,8.984769905850953e-08
1883,3.854796920554904e-08,5.308244865886991e-08
1884,2.970763635090634e-08,7.195849782704045e-08
1885,3.351730637479733e-08,7.348024988473867e-08
1886,2.9040586768669385e-08,7.486017800095723e-08
1887,3.7867761704113434e-08,5.288428855942939e-08
1888,2.5996519825710607e-08,8.876860668749487e-08
