year,mon_DET an_NOUN,mon_DET champ_NOUN
1800,1.8864986461863964e-08,1.8864986373046122e-07
1801,1.6668278313147766e-08,3.000290194066224e-07
1802,1.3427040812530322e-08,1.6112448975036386e-07
1803,4.290746247193056e-08,1.521264585413462e-07
1804,7.4155528384522995e-09,3.6830579830393617e-07
1805,1.1371510844071508e-08,1.8762992226584174e-07
1806,1.152667650217154e-08,1.5849180101668026e-07
1807,2.562259604488304e-08,2.4199117820700167e-07
1808,1.5862517521725295e-08,1.6315732409566408e-07
1809,1.129515236897305e-08,1.2424668049959564e-07
1810,2.3401267590372754e-09,1.8721013361755467e-07
1811,1.7549537378869218e-08,1.7298829391165782e-07
1812,1.0668832928217853e-08,1.8137015800334666e-07
1813,1.4378708224072057e-08,6.614205716459765e-08
1814,2.5173417128598885e-08,1.7306723876231445e-07
1815,3.236668266737297e-08,1.0519172000122978e-07
1816,1.1588019432906549e-08,1.1588019610542233e-07
1817,4.670620334934483e-09,1.3856172653703425e-07
1818,1.4305412632253933e-08,1.418620123594394e-07
1819,6.210630232317271e-09,1.7079232295102997e-07
1820,2.254631414899677e-08,1.1391822063444579e-07
1821,2.7612166775270452e-08,2.39634176391057e-07
1822,7.017931125119503e-09,2.025174410391628e-07
1823,5.929612023614084e-09,1.5318163981703492e-07
1824,1.1789557774477544e-08,1.271588034867932e-07
1825,1.8491430164857547e-08,1.153513038421039e-07
1826,1.0569581432307018e-08,1.2771577662107347e-07
1827,3.6869092223668076e-09,2.2951010397731508e-07
1828,1.0089531266022078e-08,1.61432500533909e-07
1829,1.5431717126368483e-08,1.3888545558060628e-07
1830,1.8786305178153384e-08,1.5655253093882493e-07
1831,7.795602829929749e-09,3.133832464641273e-07
1832,1.894195755802741e-08,2.083615324721677e-07
1833,1.3900354645102198e-08,1.1351956086258497e-07
1834,1.0267984462686286e-08,2.6883449555370476e-07
1835,1.5126175867408165e-08,2.329431154635131e-07
1836,1.6129799718100912e-08,1.0685992285486279e-07
1837,3.478945576063097e-09,1.2524203896191466e-07
1838,3.1560809521380406e-09,1.6916593281735004e-07
1839,2.9364194964465185e-08,1.2304996399592483e-07
