year,en_ADP aise_NOUN,en_ADP chaises_NOUN
1800,0.0,1.8864987794131594e-08
1801,2.3811825844433088e-09,2.1430643926123594e-08
1802,0.0,2.6854081625060644e-08
1803,9.751696339321825e-09,4.8758479920252285e-08
1804,0.0,4.943701981119375e-08
1805,2.842877711017877e-09,5.970043304159844e-08
1806,0.0,8.645007376628655e-09
1807,2.8469551160981155e-09,2.2775640928784924e-08
1808,3.172503681980743e-08,4.5321478125970316e-08
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,0.0,2.0056614147279106e-08
1812,0.0,2.6672082320544632e-09
1813,1.7254450312975678e-08,2.0130190847567064e-08
1814,0.0,0.0
1815,5.3944472000466703e-08,5.394447111228828e-09
1816,0.0,5.0987285504788815e-08
1817,1.556873407970727e-09,2.80237220096069e-08
1818,2.384235475716423e-09,6.795070817133819e-08
1819,1.035105001712111e-09,5.175525075173937e-08
1820,3.5599443393152796e-09,1.0679833017945839e-08
1821,2.7612166775270452e-08,9.861488514673056e-09
1822,0.0,1.1028177482330648e-08
1823,2.174191138237802e-08,1.9765373782121287e-09
1824,4.7158231097910175e-08,1.0105335235266466e-08
1825,1.7610886082763955e-09,5.195211372210906e-08
1826,2.3781557056956615e-08,2.7304752237000685e-08
1827,9.217273166939322e-09,3.2260455640198415e-08
1828,0.0,3.210305266065916e-08
1829,1.1145129263923081e-08,3.772197487705853e-08
1830,5.218417697960831e-09,3.757260813586072e-08
1831,0.0,0.0
1832,0.0,1.0823975493678972e-08
1833,1.1583628500844156e-09,2.548398292390175e-08
1834,2.8937046536725575e-08,3.453776287187793e-08
1835,1.5126175867408165e-09,4.159698363537245e-08
1836,1.8818100577799868e-08,2.083432448785061e-08
1837,1.7394726437025554e-08,2.5048407792382932e-08
1838,1.0730675237269338e-08,1.3255539776935166e-08
1839,6.9914749545318955e-09,4.264799713382672e-08
1840,9.554533164646273e-09,2.993753511759678e-08
1841,2.5682194149112547e-09,5.393260948949319e-08
1842,9.391571076378114e-09,4.427455024824667e-08
1843,1.1813822142769936e-09,3.2488010504039266e-08
1844,2.744280691580059e-09,5.3239045172404076e-08
1845,0.0,2.399498022498392e-08
1846,1.7563504428608212e-08,1.9905304071698993e-08
1847,5.393223645455691e-10,1.5640349459999925e-08
1848,2.413566457803995e-09,2.011305433313737e-08
1849,5.865590457787562e-09,2.513824526317876e-08
1850,6.1100964288129944e-09,4.2091777174846357e-08
1851,7.094382858952031e-09,7.029888138276874e-08
1852,5.208436348880241e-09,6.640756566866912e-08
1853,1.074947708623597e-08,2.149895550473957e-08
1854,6.234797400583858e-09,2.909572138776184e-08
1855,2.653468555990912e-09,3.449509122788186e-08
1856,1.2942972693608112e-08,5.5913645269356493e-08
1857,9.763017949637742e-09,6.83411300883563e-08
1858,6.8511463169329545e-09,2.2510910469009104e-08
1859,6.619825576592575e-09,1.7313389832906978e-08
1860,9.154367819341758e-10,4.668727626722102e-08
1861,3.772771095533756e-09,3.961409689168249e-08
1862,4.0661876643532935e-09,5.1053245186949425e-08
1863,2.497310414018017e-09,1.2486552236623538e-08
1864,4.794727948009836e-09,4.8426752385921645e-08
1865,1.6003271152698062e-08,5.2245972881337366e-08
1866,3.8924903300596725e-09,2.578774882522339e-08
1867,7.279217228983725e-09,4.998396008204509e-08
