year,bon_ADJ an_NOUN,bon_ADJ champ_NOUN
1800,1.3834323553396644e-07,9.432493897065797e-09
1801,1.166779455274991e-07,1.1905912700171939e-08
1802,8.056224487518193e-08,4.2518962573012686e-08
1803,3.120542824142092e-08,9.751696339321825e-09
1804,6.673997243744623e-08,7.4155526164076946e-09
1805,5.685755466444675e-08,4.8328921309348516e-08
1806,1.0662176119780042e-07,2.5935022129885965e-08
1807,3.9857372513552036e-08,1.4234776024579787e-08
1808,3.852325791697808e-08,9.064295980465431e-09
1809,3.6144488291256494e-08,6.09938268780752e-08
1810,3.510190227373755e-08,0.0
1811,2.507076715119183e-07,0.0
1812,2.400487453257938e-08,1.0668832928217853e-08
1813,5.1763349162570194e-08,8.627225156487839e-09
1814,1.0069366851439554e-07,0.0
1815,3.5063905334808965e-08,2.6972236000233352e-08
1816,1.8540831092650478e-08,1.622322720606917e-08
1817,3.425121486433369e-08,9.341240336802059e-09
1818,5.364529798157491e-08,2.741870730460505e-08
1819,1.8631889808773394e-08,3.105314938522952e-08
1820,1.1629151686065597e-07,1.7799721696576398e-08
1821,7.49473095806863e-08,1.676452932031225e-08
1822,5.6143449000956025e-08,2.90742860897808e-08
1823,1.126626291148014e-07,1.2847492847356534e-08
1824,2.0210670470532932e-08,2.0210671358711352e-08
1825,4.6668849229547504e-08,6.163809906922779e-09
1826,4.84439142134363e-08,1.6735169694470642e-08
1827,3.871254605769536e-08,1.4747636611911474e-08
1828,2.9351363395324626e-08,1.0089530988466322e-08
1829,5.915491474439705e-08,1.2859763920403111e-08
1830,8.140731755368336e-08,7.30578508800761e-09
1831,8.57516342378517e-08,1.091384405071949e-08
1832,1.4612366427968482e-07,2.3000947924067816e-08
1833,9.614411311531512e-08,1.3900353978968383e-08
1834,6.720862266718086e-08,5.600718555598405e-09
1835,1.3916081798015512e-07,3.025235173481633e-09
1836,1.0753200463398116e-07,1.6801874724858834e-08
1837,1.2385046099794295e-07,1.6003149028165353e-08
1838,1.1425013313193233e-07,8.2058102535143e-09
1839,9.857980054484017e-08,1.6080392239992136e-08
1840,9.681926937954444e-08,1.7198158619446957e-08
1841,1.4061001163412357e-07,9.630822805917205e-09
1842,1.2007794580881637e-07,1.2745703159566801e-08
1843,1.1754752771153676e-07,1.5357969118667825e-08
1844,7.629100307049441e-08,9.879410234336916e-09
1845,1.4285383187484513e-07,1.1718478631905782e-08
1846,1.5865699154460344e-07,1.5221703009160592e-08
1847,9.977463655275187e-08,2.2112217834546755e-08
1848,1.5044565060406967e-07,1.126331028444838e-08
1849,1.3742240234648762e-07,1.1731181137619728e-08
1850,1.249175332063146e-07,2.0366988096043315e-09
1851,1.3285843669663677e-07,7.094382858952031e-09
1852,1.0351766932537032e-07,6.510545436100301e-10
1853,1.8632428044895732e-07,1.4929829816878737e-08
1854,1.4963514161081548e-07,6.754363734984281e-09
1855,1.841507177857693e-07,9.021793090369101e-09
1856,1.972509142689205e-07,5.177189343896771e-09
1857,1.6938836022717396e-07,2.6360149729676152e-08
1858,1.9770451054057503e-07,8.31924928945682e-09
1859,1.680417205385254e-07,1.5785737161877478e-08
1860,1.6386318502092934e-07,3.707518914097818e-08
1861,2.0703080760853254e-07,1.5091083938045813e-08
1862,2.5571801476331757e-07,2.0330938710344526e-08
1863,1.8530042567022065e-07,1.9479021062807078e-08
1864,1.8459702566531178e-07,1.869943944132757e-08
1865,1.74623919768635e-07,1.1767110841276462e-08
1866,1.6494427779178977e-07,9.731225880660332e-09
1867,2.052739329627684e-07,1.0190904120577216e-08
1868,1.9808895634909618e-07,1.778354707937524e-08
1869,2.3538562921032735e-07,1.7580669364747337e-08
1870,1.5883315729325886e-07,1.6055337059839303e-08
1871,1.6887672416032729e-07,6.37270636261178e-09
1872,1.4815981774773945e-07,3.6284036886158333e-09
1873,1.711997255071651e-07,7.781805422268917e-09
1874,1.7087382664371376e-07,1.1949218503559678e-08
1875,2.6662317065273555e-07,1.0870901234749653e-08
1876,1.6324239293652454e-07,1.0882827083946722e-08
1877,1.8987384420299236e-07,1.1132669008873108e-08
1878,1.8117265554451478e-07,2.294853729267743e-08
1879,2.1138265182685245e-07,1.649517855639715e-08
1880,2.413110191668011e-07,2.3746031807547752e-08
1881,3.012123261925126e-07,1.8825771164188154e-08
1882,2.881781799857208e-07,1.4641846846075168e-08
1883,2.3507941193656734e-07,1.3270611554094813e-08
1884,2.535051635277341e-07,5.941527270181268e-09
1885,2.7329495377870217e-07,1.0313017106966527e-08
1886,2.342607352545656e-07,1.097088819790315e-08
1887,2.6246276618735465e-07,1.4363633837888301e-08
1888,3.436613038587666e-07,2.282621380800265e-08
1889,2.7503950406071453e-07,1.9421923624918236e-08
1890,2.680744151106751e-07,1.3108772733971819e-08
1891,2.728166226262374e-07,1.466070642663908e-08
1892,2.7706824035078625e-07,1.7551835318485587e-08
1893,2.758970669702876e-07,1.6627724974682678e-08
1894,1.865255701005708e-07,6.9316934414587195e-09
1895,2.3592969533581254e-07,5.416753268150387e-09
1896,2.677251256244517e-07,2.0639601361338578e-08
1897,3.0007575269053177e-07,1.4566784223291052e-08
1898,2.7103521205162906e-07,1.3014216371232123e-08
1899,3.012530243040601e-07,1.6029977345510815e-08
1900,2.9952377644804073e-07,1.245852754294674e-08
1901,2.755248198482718e-07,2.235495527580511e-08
1902,2.4011288601855085e-07,1.423982337600549e-08
1903,2.781113366268073e-07,1.1340462791054051e-08
1904,3.009790034980142e-07,1.827372564378038e-08
1905,3.2925641590964005e-07,1.548227662739876e-08
1906,3.6369383238366026e-07,3.806696469155213e-08
1907,3.4765621848009687e-07,2.15999426123048e-08
1908,3.811238045159371e-07,1.9154416719402434e-08
1909,3.6306490969195693e-07,1.925344328412848e-08
1910,3.5004185860998405e-07,1.923894266120385e-08
1911,3.7774655936573254e-07,1.5961122201701983e-08
1912,3.88622819258444e-07,1.5628263128064646e-08
1913,3.128763985671412e-07,1.0075680734189518e-08
1914,3.1407729039756305e-07,2.343860217024485e-08
1915,3.4399824500042087e-07,1.767114277129167e-08
1916,3.603887535064132e-07,1.2086208478478966e-08
1917,3.739550784587209e-07,2.7416060532914344e-08
1918,3.216185433529972e-07,1.722956355365568e-08
1919,3.0201743328461816e-07,7.366278753639932e-09
1920,2.377680798915094e-07,1.741613253614105e-08
1921,2.6125978003221917e-07,2.2718241510233383e-08
1922,3.187268049487102e-07,4.4267612908655e-09
1923,3.7898936255942317e-07,1.2739137744688378e-08
1924,2.7974824057253045e-07,4.5120685632227264e-08
1925,3.51941690013291e-07,2.969508017258704e-08
1926,3.689371688153642e-07,2.0063049888108253e-08
1927,3.523155118756449e-07,2.8987985345452216e-08
1928,3.1307351910925263e-07,9.140832868403947e-09
1929,3.408964310835927e-07,1.2254447234738564e-08
1930,3.3296424462037066e-07,1.3654684494213143e-08
1931,3.7181461642887825e-07,1.596749932275543e-08
1932,3.5399303754957145e-07,1.8631212239661465e-08
1933,3.4526692971326156e-07,2.064719240024715e-08
1934,2.7318003148479875e-07,1.5576054224197833e-08
1935,3.1237222941626896e-07,2.752705441366743e-08
1936,2.970555197379099e-07,1.33371855781661e-08
1937,3.2107350023125036e-07,1.3850230184964119e-08
1938,2.813451409622303e-07,2.463390735840676e-08
1939,3.3799850740479087e-07,1.5294050470515685e-08
1940,3.37259137950241e-07,2.5357829613881222e-08
1941,3.9254984329772924e-07,2.066051907334554e-08
1942,3.974817524010632e-07,6.068423541449874e-09
1943,4.238723398941602e-07,1.1612940831184915e-08
1944,3.663032099865404e-07,6.4263723231761105e-09
1945,3.3113261110884196e-07,6.535512131478072e-09
1946,3.522039477843464e-07,2.227376771912759e-08
1947,3.409369035978216e-07,2.0265479960812627e-08
1948,3.065872427043814e-07,7.610321262063735e-09
