year,ancien_ADJ an_NOUN,ancien_ADJ champ_NOUN
1800,0.0,6.288328968651058e-09
1801,1.1905912922216544e-08,4.7623651688866175e-09
1802,0.0,0.0
1803,1.950339223455444e-09,5.851017448321727e-09
1804,2.4718509461507665e-09,1.4831105232815389e-08
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,5.693910232196231e-09,1.9928686256776018e-08
1808,0.0,6.798221985349073e-09
1809,2.259030518203531e-09,6.7770917766551975e-09
1810,0.0,2.3401267590372754e-09
1811,2.5070767684098882e-09,5.0141534924108555e-08
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,1.7254449868886468e-08
1814,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,2.966945977789237e-08
1816,2.3176038865813098e-09,1.8540831092650478e-08
1817,4.670620334934483e-09,3.113746815941454e-09
1818,0.0,2.026600087745578e-08
1819,1.035105001712111e-09,2.070210003424222e-08
1820,0.0,5.221251608844568e-08
1821,0.0,1.1833785507064931e-08
1822,0.0,2.2056354964661296e-08
1823,0.0,1.6800567381736187e-08
1824,8.421112696055388e-10,2.0210670470532932e-08
1825,0.0,1.4088709088255769e-08
1826,8.807984341885344e-10,3.523193692345217e-08
1827,0.0,2.7651819833884872e-08
1828,0.0,3.026859413113314e-08
1829,8.57317605795771e-10,1.62890345656308e-08
1830,3.1310507520032616e-09,3.235419043789989e-08
1831,0.0,3.4300653872776365e-08
1832,0.0,4.329590197471589e-08
1833,2.3167257001688313e-09,2.89590715851773e-08
1834,9.334530925997342e-10,2.8003592333902816e-08
1835,7.563087933704082e-10,2.2689263801112247e-08
1836,0.0,3.427582551118746e-08
1837,0.0,6.192522938874845e-08
1838,6.312161904276081e-10,4.418513199766494e-08
1839,0.0,3.5656523067473245e-08
1840,3.184844277193122e-09,3.3122381282169044e-08
1841,6.420548537278137e-10,1.4767261635739715e-08
1842,2.683306021822318e-09,3.018719318959029e-08
1843,1.1813822142769936e-09,3.189731945241192e-08
1844,2.195424508855126e-09,4.006649678700569e-08
1845,1.1160455892778032e-09,3.794555003544531e-08
1846,1.7563503984519002e-09,1.5221703453249802e-08
1847,0.0,2.8044762068191176e-08
1848,0.0,2.494018769283457e-08
1849,8.379414939696517e-10,1.75967720394965e-08
1850,6.788996032014438e-10,1.4935791270431764e-08
1851,2.579775504329973e-09,1.483370937194195e-08
1852,0.0,4.427170896548205e-08
1853,0.0,2.8068078528065143e-08
1854,2.5978321716024766e-09,3.22131201713205e-08
1855,2.1227748447927297e-09,2.600399184871094e-08
1856,1.0354378465748937e-09,2.1744195222161977e-08
1857,9.763018171682347e-10,5.027954230740761e-08
1858,1.9574704079872163e-09,3.2298263397123606e-08
1859,5.092173349652285e-10,5.295860106002692e-08
1860,4.577183909670879e-10,2.8378539962403693e-08
1861,0.0,2.357981898626349e-08
1862,9.035972525772706e-10,3.3884898886782366e-08
1863,4.994620828036034e-10,3.5961269517770234e-08
1864,1.4384183844029508e-09,4.3632024215867204e-08
1865,4.706844358715045e-10,5.3658027354686055e-08
1866,4.865612912574591e-10,7.298419291146274e-08
1867,9.7056229719783e-10,4.076361648230886e-08
1868,1.4819622196071691e-09,6.224241388963492e-08
1869,9.767038289254515e-10,4.737013536981749e-08
1870,1.1468097582678638e-09,4.0711745086241535e-08
1871,0.0,2.5490825672491724e-08
1872,0.0,7.317280559249184e-08
1873,5.986004469882289e-10,6.824044973541277e-08
1874,5.974609140757536e-10,4.480956850017037e-08
1875,1.1443054281912168e-09,2.9751941355016243e-08
1876,1.209202959984168e-09,4.1112900195372504e-08
1877,4.329371083855449e-09,2.845015456554023e-08
1878,2.4156354694326865e-09,7.186515549317818e-08
1879,0.0,5.742765907257308e-08
1880,1.2835692508872398e-09,3.722350894186377e-08
1881,2.091752326904839e-09,3.974329487732575e-08
