year,en_ADP anges_NOUN,en_ADP change_NOUN
1800,9.432493452976587e-09,1.2891074163690064e-07
1801,6.429193177837078e-08,1.7144515140898875e-07
1802,2.9091921760482364e-08,2.4840025503181096e-07
1803,7.801356893821776e-09,1.5407680109547073e-07
1804,4.696516775481996e-08,1.9527623029702568e-07
1805,3.695741046527701e-08,2.0184432081293835e-07
1806,6.627838899930794e-08,2.362968700708734e-07
1807,1.4234775580490577e-08,2.562259737715067e-07
1808,7.704651494577774e-08,1.2010191596800723e-07
1809,9.262024946998793e-08,2.417162687784469e-07
1810,6.786367556799178e-08,1.5210824244604737e-07
1811,1.504246061045933e-08,1.1532553401139012e-07
1812,2.400487408849017e-08,1.4136203674297576e-07
1813,3.4508900625951355e-08,1.4953856464217097e-07
1814,6.293354282149721e-09,1.32160433263806e-07
1815,4.315557688983063e-08,1.2407228666688752e-07
1816,5.0987287281145655e-08,1.321034233114915e-07
1817,4.51493296083072e-08,1.9616605584360514e-07
1818,3.6955650761782977e-08,1.931230664276029e-07
1819,3.726377839630146e-08,1.6458169449506954e-07
1820,4.2719331183604936e-08,1.3290458866777044e-07
1821,6.311352662713432e-08,1.6961759286004963e-07
1822,5.1130641054442094e-08,1.9148926355683216e-07
1823,6.917880956969213e-08,1.5614645576533803e-07
1824,3.03160057057994e-08,1.7768548055130395e-07
1825,5.195211283393064e-08,1.3824545130880495e-07
1826,2.8185549671988497e-08,1.8232528020689642e-07
1827,6.82078189484514e-08,1.1798109217364683e-07
1828,3.3020285172824515e-08,1.467568182533796e-07
1829,5.058173790928322e-08,1.2516836989107105e-07
1830,4.279102849835681e-08,1.1897992635567789e-07
1831,2.494592887813951e-08,1.2472965238430334e-07
1832,8.794479944285172e-08,1.2988770947686135e-07
1833,2.4325620628928846e-08,1.0888610546544442e-07
1834,8.961149955410974e-08,1.2508272106970253e-07
1835,6.352993864311429e-08,9.983276072489389e-08
1836,4.032450107160912e-08,1.0417162599196672e-07
1837,8.071153434485723e-08,9.880205453782764e-08
1838,9.468243122867648e-08,1.312929640562288e-07
1839,5.3135211897092915e-08,1.2095252088784036e-07
1840,5.414235459966221e-08,1.248458971758737e-07
1841,6.163726773422695e-08,1.2584274600158096e-07
1842,7.177843741601464e-08,1.0263645178198999e-07
1843,3.898561390380806e-08,9.451057536580265e-08
1844,6.641159183695677e-08,8.946354768113451e-08
