year,un_DET art_NOUN,un_DET char_NOUN
1800,1.1168072575173937e-05,2.656818921309423e-06
1801,7.662645380435151e-06,3.1764974863790485e-06
1802,7.964473468291544e-06,3.889366013254403e-06
1803,8.7375199058215e-06,3.231712025097977e-06
1804,9.917066250864082e-06,3.6237335621081e-06
1805,9.119951471348031e-06,3.0248219928807885e-06
1806,1.022704354625148e-05,3.7461698312313274e-06
1807,8.512396107107634e-06,2.4796979403163277e-06
1808,9.005377933135605e-06,4.142383161820362e-06
1809,6.908115224746325e-06,3.1332753813728687e-06
1810,9.894055466475038e-06,3.898651264933051e-06
1811,8.571695602199725e-06,4.026365367337803e-06
1812,7.65488776011125e-06,2.7578932133565104e-06
1813,1.0131237729638087e-05,3.097173745914006e-06
1814,6.513621855219753e-06,2.306514332417464e-06
1815,6.527280870471941e-06,2.0876511328538072e-06
1816,6.739592166127295e-06,1.6825803896836078e-06
1817,8.013227336789441e-06,2.8335096118325964e-06
1818,7.951425367025422e-06,2.636964474334036e-06
1819,7.476563290254035e-06,2.98627793426931e-06
1820,7.450963330768445e-06,3.1707238434819374e-06
1821,7.815229349006358e-06,3.2039976254338853e-06
1822,7.141246328501438e-06,2.470311713409501e-06
1823,6.724180103390154e-06,2.2404050952218313e-06
1824,6.650152876375159e-06,2.45138581789206e-06
1825,7.5770836218680415e-06,2.743776057911873e-06
1826,6.366410921998522e-06,2.5137986305878712e-06
1827,6.3562316690024545e-06,1.9522184118159203e-06
1828,6.462803479934109e-06,2.1848421880577007e-06
1829,7.83331104514673e-06,2.3902015815480127e-06
1830,6.491711690870261e-06,2.331589133319767e-06
1831,5.743800198132476e-06,1.919277483608539e-06
1832,7.032878123425235e-06,2.473278463810402e-06
1833,6.752097103657206e-06,2.7209943951334026e-06
1834,6.67512324170616e-06,2.812494251713815e-06
1835,6.156353670405679e-06,2.5238023440010693e-06
1836,5.654167104296448e-06,2.31865872990511e-06
1837,5.981698816270864e-06,2.2995828530270046e-06
1838,5.291485216218916e-06,2.451643613454735e-06
1839,5.60506542868211e-06,2.007252625446654e-06
1840,6.562690131772797e-06,2.2325758948227303e-06
1841,5.781062075271848e-06,2.5643671293096304e-06
1842,6.143428995741829e-06,2.2834935151649915e-06
1843,6.781133954802954e-06,2.357448185108524e-06
1844,6.17408274194986e-06,2.1696283099004177e-06
1845,6.4596719866472085e-06,2.2555280523306465e-06
1846,6.343351984128276e-06,2.0303410437350067e-06
1847,6.225937603687726e-06,1.9318527471057223e-06
1848,5.6598133788554605e-06,2.0885394995673323e-06
1849,5.643535970989433e-06,1.7931947482452415e-06
1850,5.885380794268258e-06,2.3333779530787524e-06
1851,5.546517435561782e-06,1.9986811459205e-06
1852,6.8842505598354364e-06,1.856807585909337e-06
1853,6.757838090010182e-06,2.0376231546492818e-06
1854,6.481591505291817e-06,2.0496895309918273e-06
1855,7.038590624119934e-06,2.3138245239806565e-06
1856,6.83285424329938e-06,1.891744940252238e-06
1857,7.0039892534623505e-06,2.2005842339467563e-06
1858,6.85310406112194e-06,2.0915570964064045e-06
1859,7.935642678091881e-06,2.006825443601201e-06
1860,7.1083663968352084e-06,2.0180804938263464e-06
1861,7.852079310310955e-06,1.978346862330227e-06
1862,7.5603982736538455e-06,2.1740550515403356e-06
1863,8.289572635433728e-06,2.1641692029561455e-06
1864,8.288645942045036e-06,2.2765367901911304e-06
1865,7.466937692157671e-06,2.197155012595431e-06
1866,7.100875549781449e-06,2.2172599045688912e-06
