year,en_ADP an_NOUN,en_ADP champ_NOUN
1800,4.904896533375336e-07,5.219312786408636e-07
1801,5.643402785082685e-07,6.072015610314452e-07
1802,6.064546766992862e-07,5.796005666525161e-07
1803,5.265915992147541e-07,4.173726018130708e-07
1804,3.6830580740776497e-07,4.918983389501363e-07
1805,4.918178508894755e-07,3.383024345104957e-07
1806,4.3801370352980484e-07,3.227469322908405e-07
1807,4.526658616832435e-07,4.5266585857461905e-07
1808,5.483899125913183e-07,6.571614723505093e-07
1809,5.421673359151669e-07,5.060228431830183e-07
1810,5.943921879136838e-07,3.9548142360956717e-07
1811,5.515568854974617e-07,5.239790450417559e-07
1812,3.6807472891808857e-07,5.414432933115165e-07
1813,4.658701489024253e-07,7.246869224708519e-07
1814,5.286417530392384e-07,7.331757916340109e-07
1815,5.529308373386499e-07,4.720141146830059e-07
1816,5.400016984680178e-07,6.860107255590719e-07
1817,5.433488123873786e-07,5.417919244354863e-07
1818,6.115563999653517e-07,7.689159469137508e-07
1819,4.896046665869846e-07,7.038714171514471e-07
1820,5.517913699293331e-07,7.558948755814754e-07
1821,5.581602378068595e-07,5.315342076483986e-07
1822,5.323601897089247e-07,1.060710204114912e-06
1823,5.33665093671587e-07,5.534304499121845e-07
1824,5.793725446068265e-07,5.650566361481424e-07
1825,5.60906715518783e-07,7.889677016148511e-07
1826,4.6241916806799566e-07,1.0190837675949638e-06
1827,6.286180035952604e-07,6.313831887316823e-07
1828,5.851928263078676e-07,6.6682628485637e-07
1829,5.735454887134672e-07,6.918552808432565e-07
1830,3.7781346229337487e-07,6.449964451427093e-07
1831,3.80425425827724e-07,6.984860394521064e-07
1832,3.368962461225422e-07,6.629685027625953e-07
1833,6.544750054127135e-07,6.7069206721726e-07
1834,4.424567656702294e-07,7.962354846569042e-07
1835,4.4092801942952065e-07,1.1276563611772872e-06
1836,3.8913142974550397e-07,1.0921218870363347e-06
1837,4.167776712638016e-07,9.288784226235691e-07
1838,3.888291648657116e-07,1.354589893587388e-06
1839,4.1669192585302994e-07,1.18365678059007e-06
1840,3.471480304884089e-07,8.204158792324279e-07
1841,3.7239181560622114e-07,7.820228065114065e-07
1842,5.138531156134718e-07,9.109824103958886e-07
1843,3.378753090643727e-07,7.076479526801904e-07
1844,3.485236398370617e-07,8.452384105961386e-07
1845,3.5546052618018464e-07,8.286638406573843e-07
1846,3.2843752117983627e-07,1.0690319083295208e-06
1847,4.0395245015645287e-07,6.81164133986556e-07
1848,3.1456817606301257e-07,7.023478634238245e-07
1849,4.725990050413742e-07,9.066526889256465e-07
1850,3.91725066606341e-07,6.795785267854626e-07
1851,4.456562066046388e-07,5.66905658416772e-07
1852,3.359441413941511e-07,7.252747864505693e-07
1853,5.482233342846143e-07,5.80471791522541e-07
1854,3.3044426805961535e-07,7.549300393705494e-07
1855,4.1022623520348134e-07,7.143137423781809e-07
1856,3.748285001270446e-07,6.171209783190079e-07
1857,3.656250328054611e-07,6.633971008085382e-07
1858,3.0976968945495287e-07,8.23605669664218e-07
1859,3.5288760402707453e-07,7.434573157105717e-07
1860,3.748713676143822e-07,7.122097924749937e-07
1861,3.2870266553075567e-07,6.550473603539331e-07
1862,3.6189069990699707e-07,7.292029815531009e-07
1863,3.995696622460798e-07,7.142307918428514e-07
1864,3.452204173637341e-07,5.648189675966364e-07
1865,3.8266645119300335e-07,5.95886484155983e-07
1866,3.824371657135117e-07,6.889707879764728e-07
1867,3.663872796266787e-07,7.216130590848024e-07
1868,4.5249248004086695e-07,5.730253729296919e-07
1869,3.8775141508740063e-07,5.606280106817962e-07
1870,4.157185449216172e-07,5.303995314065446e-07
1871,3.887350770170883e-07,4.5458638142648056e-07
1872,5.049528292166983e-07,5.781256353643016e-07
1873,5.453249966036466e-07,7.237079326927187e-07
1874,4.451083851497728e-07,8.143392462578447e-07
1875,3.804815484897972e-07,5.366792286132238e-07
