year,en_ADP appels_NOUN,en_ADP chapelle_NOUN
1800,0.0,7.860410988769218e-08
1801,7.143547975374531e-09,1.4287095950749062e-08
1802,8.951360541686881e-09,1.1189200677108602e-08
1803,7.801356893821776e-09,1.3652374120098898e-08
1804,0.0,2.22466585153569e-08
1805,0.0,6.538618513296512e-08
1806,2.881669125542885e-09,1.152667650217154e-08
1807,0.0,4.555128185756985e-08
1808,0.0,9.064295980465431e-09
1809,0.0,2.0331274885876383e-08
1810,9.360507036149102e-09,4.212228077449254e-08
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,0.0,3.9207959900977585e-07
1813,2.8757416448144113e-09,1.2854565554221153e-06
1814,0.0,6.230420654951274e-07
1815,0.0,1.6722785622924619e-07
1816,0.0,1.4137383175238938e-07
1817,0.0,1.0898113667057174e-07
1818,2.384235475716423e-09,1.0013788909191135e-07
1819,1.1386155129855524e-08,1.0972112929330535e-07
1820,4.746592452420373e-09,1.7087732828713342e-07
1821,0.0,1.341162353396541e-07
1822,5.012807946513931e-09,7.318699601910339e-08
1823,5.929612356680991e-09,2.1544257189365368e-07
1824,1.6842225392110777e-09,9.515857612996115e-08
1825,0.0,1.1094858454185896e-07
1826,0.0,1.5678212150760373e-07
1827,2.7651818612639545e-09,1.0231173064312316e-07
1828,9.172301251858528e-10,1.1098484736793424e-07
1829,8.57317605795771e-10,7.544394586833647e-08
1830,1.0436835840010872e-09,1.1584887582571923e-07
1831,1.5591206103948707e-09,1.2472964328047453e-07
1832,2.705993873419743e-09,1.3394669906574563e-07
1833,8.108539617524002e-09,1.5869571479143474e-07
1834,9.334531370086552e-09,9.70791234067292e-08
1835,6.050470346963266e-09,1.64875316954749e-07
1836,3.36037508930076e-09,1.7070705382593587e-07
1837,6.957891152126194e-09,2.2682725109302027e-07
1838,1.0730675015224733e-08,2.2345053851680063e-07
1839,1.4682098203877558e-08,1.4542268633732647e-07
1840,1.2739377330817092e-09,1.6752280485032855e-07
1841,6.420548537278137e-09,2.831461927144119e-07
1842,4.024959032733477e-09,2.2137274724443046e-07
1843,3.5441467538532834e-09,1.8724908557032904e-07
1844,1.097712254427563e-09,2.2887300521468035e-07
1845,5.580227946389016e-10,2.3660166448280506e-07
1846,5.854501328173001e-10,4.80069104469294e-07
1847,9.168480197274675e-09,2.809869510400631e-07
