year,aucun_DET an_NOUN,aucun_DET chant_NOUN
1800,3.144164484325529e-09,4.4018303668735825e-08
1801,1.4287095950749062e-08,2.3811825400343878e-08
1802,0.0,2.6854081625060644e-08
1803,1.950339223455444e-09,1.950339223455444e-09
1804,0.0,2.2246657849223084e-08
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,5.76333825108577e-09
1807,0.0,4.27043254092041e-08
1808,9.064295980465431e-09,2.4926814390369145e-08
1809,0.0,6.7770917766551975e-09
1810,9.360507036149102e-09,5.3822913681500495e-08
1811,0.0,1.2535384286138651e-08
1812,0.0,1.600324850414836e-08
1813,0.0,8.339650747757332e-08
1814,3.1466771410748606e-09,5.97868634599763e-08
1815,5.394447111228828e-09,5.394447111228828e-09
1816,0.0,0.0
1817,3.113746815941454e-09,5.4490570278176165e-08
1818,2.384235475716423e-09,1.7881765401739358e-08
1819,2.070210003424222e-09,2.4842520929269085e-08
1820,0.0,2.966620282762733e-08
1821,1.97229765852569e-09,3.155676253641104e-08
1822,3.0076847679083585e-09,2.2056354964661296e-08
1823,8.894418535021487e-09,3.360113609574e-08
1824,0.0,1.51580028528997e-08
1825,7.044354211060977e-09,3.522177394188475e-08
1826,6.1655889282974385e-09,5.0205510859768765e-08
1827,0.0,4.3321183085254233e-08
1828,9.172301251858528e-10,3.66892045633449e-08
1829,1.714635211591542e-09,3.429270423183084e-09
1830,1.0436835840010872e-09,6.262101237552997e-08
1831,3.1182412207897414e-09,4.3655377757190195e-08
1832,5.411987746839486e-09,3.5177919244233635e-08
1833,1.1583628500844156e-09,2.6642345218874652e-08
1834,0.0,6.160790322340404e-08
1835,9.832014313815307e-09,3.781543966852041e-08
1836,1.3441500135158435e-09,5.443807538085821e-08
1837,0.0,3.270208814853959e-08
1838,1.8936485712828244e-09,2.9667161172142187e-08
1839,6.9914751765765e-10,5.2436064379435265e-08
1840,7.0066574764382494e-09,3.3759348205819606e-08
1841,0.0,4.044945622894147e-08
1842,6.708265054555795e-10,3.6224630406422875e-08
1843,1.7720733769266417e-09,2.4809025944705354e-08
1844,2.1954245643662773e-09,2.7442807248867496e-08
1845,1.674068439427856e-09,4.185171054160719e-08
1846,4.0981511517657054e-09,3.6883358811579114e-08
1847,2.1572894581822766e-09,3.3977308078192436e-08
1848,1.6090443422100975e-09,4.827133082141444e-08
1849,8.379414939696517e-10,3.603148357456121e-08
1850,8.82569484161877e-09,3.326608055687075e-08
1851,6.449438760824933e-10,2.7087642351375507e-08
1852,3.906327261660181e-09,6.054807144550978e-08
1853,5.971931837933653e-10,4.060913649794884e-08
1854,5.7152309551611324e-09,3.4291385730966795e-08
1855,5.306937111981824e-10,2.7596072982305486e-08
1856,2.0708756931497874e-09,3.6240324963188186e-08
1857,1.9526036343364694e-09,3.954022287366854e-08
1858,4.893676019968041e-10,2.0553439616932678e-08
1859,1.018434669930457e-09,2.9534605650027856e-08
1860,9.154367819341758e-10,2.7005384761746853e-08
1861,9.431927461278633e-10,1.839225838295988e-08
1862,3.162590411776023e-09,2.5300723294208183e-08
1863,9.989241656072068e-10,4.045642798544691e-08
1864,1.9178911792039344e-09,3.1165731328997026e-08
1865,3.294791106611683e-09,4.6127073272117514e-08
1866,1.9462451650298362e-09,2.4814625465552353e-08
1867,4.85281148598915e-10,5.435149041943532e-08
1868,4.93987406535723e-10,2.7663294543955885e-08
1869,1.4650557433881772e-09,2.1487483792270723e-08
1870,2.2936195165357276e-09,2.3509600044491208e-08
1871,4.248470908407853e-09,2.3366589330109377e-08
1872,3.0236697590169115e-09,5.2611852652262314e-08
1873,4.190203295451056e-09,3.711322715815868e-08
1874,5.974609140757536e-10,3.1665428057436884e-08
1875,1.1443054281912168e-09,2.4602566539577708e-08
1876,1.209202959984168e-09,4.897271832504657e-08
1877,3.0924081073635534e-09,1.3606595405946109e-08
1878,1.8117265465633636e-09,3.019544342341973e-08
1879,6.10932526790009e-10,2.0160774161226414e-08
1880,1.9253538763308597e-09,1.9253539651487017e-08
1881,6.972507571312292e-10,3.3468036342299e-08
1882,3.9932310791357395e-09,3.128031078603044e-08
1883,0.0,2.590928921408775e-08
1884,6.601696966868076e-10,2.44262796655903e-08
1885,6.445635691854079e-10,2.2559724977000428e-08
1886,1.2906927748801422e-09,2.7749895048501116e-08
1887,1.3057849246322917e-09,3.068594583988116e-08
1888,1.268122939990235e-09,1.3949352339892584e-08
1889,6.265136742733546e-10,3.3831738299738845e-08
1890,0.0,2.7528423540701397e-08
1891,6.374220040683554e-10,3.952016403019343e-08
1892,3.1342561879199593e-09,3.071571019752639e-08
1893,0.0,3.202376541722174e-08
1894,4.411077725308132e-09,2.457600256633441e-08
1895,6.018614495673091e-10,3.7315410317262376e-08
1896,0.0,3.066455089850706e-08
1897,1.1653427112179315e-09,3.088158173625288e-08
1898,0.0,1.4145887128336199e-08
1899,5.527578395003729e-10,2.04520400615138e-08
1900,5.191053142894475e-10,1.4534948911126833e-08
1901,5.588738916095792e-10,3.073806464914952e-08
1902,4.910283846193408e-10,2.9461703299205055e-08
1903,3.7801539676252105e-09,2.052083658554693e-08
1904,0.0,3.3860137804708756e-08
1905,0.0,1.8062656703676794e-08
1906,1.5432553013283723e-09,3.4466036580305115e-08
1907,1.5428529565042481e-09,2.5714216533856415e-08
1908,9.822778146428846e-10,3.388858327291189e-08
1909,1.1001967115120692e-09,2.475442606453271e-08
1910,5.344150677544235e-10,3.36681502677294e-08
1911,2.128149656499545e-09,2.500575879693656e-08
1912,4.688478938419394e-09,2.8651816474933867e-08
