year,en_ADP art_NOUN,en_ADP chars_NOUN
1800,3.5529058095562505e-07,3.458580977167003e-08
1801,2.3335590038087162e-07,2.3811825844433088e-09
1802,2.528759353026544e-07,4.475680270843441e-09
1803,2.96451567294298e-07,0.0
1804,3.5347467886026607e-07,2.9662210465630778e-08
1805,4.3780317948716174e-07,0.0
1806,1.2679343619481642e-07,0.0
1807,4.0711458382247656e-07,2.8469551160981155e-09
1808,1.994145080175258e-07,5.6651849433819734e-08
1809,3.478907117937524e-07,1.129515236897305e-08
1810,3.1591712490453006e-07,0.0
1811,3.133846036007526e-07,0.0
1812,2.347143261971496e-07,1.0668832928217853e-08
1813,3.163315744902917e-07,0.0
1814,2.1082736223476672e-07,3.4613449884091096e-08
1815,3.425474046636623e-07,2.697223555614414e-09
1816,1.9931394135142e-07,0.0
1817,1.7125607354451233e-07,1.556873407970727e-09
1818,2.0027577329884139e-07,3.099506074022429e-08
1819,2.856889746993829e-07,2.6912729822470283e-08
1820,2.9191542783024715e-07,2.4919611263385377e-08
1821,3.4416593208685953e-07,6.903041582795311e-09
1822,3.448811725093037e-07,2.7069162911175226e-08
1823,2.5793813007712885e-07,2.4706716672540097e-08
1824,2.080014889216386e-07,4.21055617039201e-08
1825,2.3246369362794894e-07,2.641632912414593e-09
1826,1.98179641364149e-07,1.8496766784892316e-08
1827,2.1199727545662128e-07,1.7512819638909605e-08
1828,1.6601865127086057e-07,9.53919290225258e-08
1829,1.3974277424111392e-07,2.1432940588983485e-08
1830,1.6281463843803579e-07,2.400472176589119e-08
1831,2.2451337100548585e-07,9.354723662369224e-09
1832,2.0565553371376666e-07,3.92369123858316e-08
1833,2.3283092964732077e-07,9.266902800675325e-09
1834,2.1936147609480372e-07,1.5868701908061666e-08
1835,2.102538445569735e-07,3.327758690829796e-08
1836,2.5337227693711384e-07,1.008112526790228e-08
1837,2.5048406193661776e-07,2.435261770017405e-08
1838,1.956770185884693e-07,4.1660268124132926e-08
1839,1.8527408773838516e-07,1.1885507689157748e-08
1840,2.465069468549075e-07,3.630722389402763e-08
1841,2.3499206980304166e-07,8.988767952189392e-09
1842,1.6837745286935046e-07,1.6770663080478698e-08
1843,2.72308605886451e-07,2.3036953678001737e-08
1844,1.816713766089606e-07,3.2382512671347286e-08
1845,2.310214348710815e-07,2.1762888213761045e-08
1846,2.3418005912212436e-07,2.4588905134237393e-08
1847,2.448523579445805e-07,1.88762818709165e-08
1848,2.0273959022709676e-07,6.43617736884039e-09
1849,1.458018203948086e-07,4.1897072478036534e-09
1850,2.0570657888185906e-07,2.9192683825840504e-08
1851,2.2121575149469663e-07,3.805169002113473e-08
1852,2.500049509635005e-07,1.8229528109259263e-08
1853,1.9587936606058065e-07,1.9707374621091844e-08
1854,2.51989728639046e-07,1.506742641765868e-08
1855,3.5874894521725764e-07,1.963566731433275e-08
1856,2.4746964832900176e-07,1.5531567143511893e-08
1857,1.9965372066721443e-07,1.4644527368545823e-08
