year,en_ADP air_NOUN,en_ADP chair_NOUN
1800,9.023752340908686e-07,6.917161954334006e-07
1801,4.4528114284680953e-07,4.381375902084983e-07
1802,2.506380951672327e-07,1.7455153056289419e-07
1803,4.5442902552039754e-07,7.801356787240366e-07
1804,3.8808059343864443e-07,3.435872883983393e-07
1805,2.7575912708854844e-07,5.742613211623393e-07
1806,3.7749865100522584e-07,3.4003696214313095e-07
1807,2.0498076924724273e-07,2.3629726797480544e-07
1808,2.062127402169267e-07,2.4020383193601447e-07
1809,2.4397530085096264e-07,3.140052342587296e-07
1810,1.7550951270095538e-07,4.5398459747048037e-07
1811,2.0808736911348547e-07,2.582289084784861e-07
1812,1.3869483117545656e-07,2.1604387256957125e-07
1813,2.0992913585260453e-07,1.6679301495514665e-07
1814,1.3530711839848664e-07,1.2901375612273114e-07
1815,2.8320846801044297e-07,2.0498899289123074e-07
1816,1.7150268938337376e-07,5.51589721453638e-07
1817,1.3077736582545185e-07,4.3748141820287856e-07
1818,2.2888661255215936e-07,4.077042774497386e-07
1819,1.3870406800897683e-07,2.774081337975076e-07
1820,1.8511710120350244e-07,2.3020973571874492e-07
1821,8.776724769177235e-08,4.5560076955553086e-07
1822,1.0426640528748976e-07,2.917454366979655e-07
1823,9.586206450862278e-08,1.927123918221696e-07
1824,1.4905369027928828e-07,2.896862838497327e-07
1825,1.1270966804310945e-07,4.2706398062364315e-07
1826,9.776862741617265e-08,2.536699525990116e-07
1827,1.6222400611720644e-07,2.359621902314757e-07
1828,1.4033620721054518e-07,2.7058288765147154e-07
1829,1.3717081515096652e-07,2.63196511696151e-07
1830,1.8786305133744463e-07,3.4024085948658467e-07
1831,1.7306238930814288e-07,5.831111025145219e-07
1832,1.1094574858816486e-07,4.370180022306158e-07
1833,1.4247862734073635e-07,4.6913694973227393e-07
1834,1.474855890748472e-07,3.6591362118088e-07
1835,1.1722786297241328e-07,5.294161837809952e-07
1836,1.9624590608113834e-07,6.176369424792938e-07
1837,9.253994626146067e-08,3.924250506770477e-07
1838,1.7484688585867048e-07,4.1407781736779725e-07
1839,1.3143973565110656e-07,4.341706016930402e-07
1840,1.1720227499623093e-07,5.019314812670927e-07
1841,1.4703056194775854e-07,6.067418212296616e-07
1842,1.1739464067517247e-07,5.272696057545545e-07
1843,1.9729083622355148e-07,5.298498990669032e-07
1844,1.5203314940315238e-07,5.603820909527713e-07
1845,1.9419193170167048e-07,4.94408197937446e-07
1846,1.0362467706137579e-07,4.238658846134058e-07
1847,9.977463566457345e-08,4.3469381694194453e-07
1848,7.562508130831702e-08,4.038701320041582e-07
1849,4.776266493422554e-08,4.591919378071907e-07
1850,1.0726613819400654e-07,6.089729254199483e-07
1851,9.28719168236114e-08,6.778359988857119e-07
1852,1.295598495154593e-07,5.839959271725093e-07
1853,1.8632426690423642e-07,4.4968646761844866e-07
1854,1.5327209934579145e-07,6.047753231541719e-07
1855,1.645150575768639e-07,6.299334245341015e-07
1856,1.0457922500206607e-07,7.336076919273182e-07
1857,1.649950125415245e-07,6.399658332156832e-07
1858,1.1793758891709416e-07,6.029009114172368e-07
1859,9.522363986214089e-08,6.655470770056127e-07
1860,2.2016254042078742e-07,7.60727971282904e-07
1861,1.787350306092783e-07,6.479734224740241e-07
1862,2.466820419877447e-07,6.686619826723472e-07
1863,1.4883970733681195e-07,6.697786716358678e-07
1864,9.829192038068868e-08,7.772254093652009e-07
1865,8.425251213362017e-08,7.380331794593076e-07
1866,1.7954111974916032e-07,7.162182100728387e-07
1867,1.465549051005155e-07,7.036576903374225e-07
1868,1.1262912769094413e-07,5.957488156127511e-07
1869,1.3771524309813543e-07,6.954131208658509e-07
1870,1.2614906896857292e-07,5.613633788925654e-07
1871,1.115223595693493e-07,5.225619474913401e-07
1872,1.5420715726577328e-07,6.252948878682218e-07
1873,7.302925214558442e-08,5.650788352795644e-07
1874,1.69081439682639e-07,5.347275191525114e-07
1875,1.0241533254795598e-07,5.343906082089234e-07
1876,1.6566080840441089e-07,5.411183110481943e-07
1877,1.0699732011509866e-07,7.471257958968636e-07
1878,1.6547102504871347e-07,4.933935429107805e-07
1879,6.659164597522249e-08,7.227332048387325e-07
1880,1.1167052460514526e-07,5.082933967059944e-07
1881,1.1713813058422673e-07,5.947549084339698e-07
1882,1.0715170062347568e-07,6.5089665213236e-07
1883,1.131161653233903e-07,5.782194989478739e-07
1884,1.7296446674919252e-07,5.604840680462075e-07
1885,1.4180398011376383e-07,5.904202566853201e-07
1886,1.0906354014350583e-07,6.234046168174245e-07
1887,8.161155939934162e-08,5.745453677263868e-07
1888,1.0715638998348709e-07,7.234641543618636e-07
1889,8.645888804892365e-08,7.292618988685717e-07
1890,1.7238036653655087e-07,6.200449433890753e-07
1891,2.42220368873447e-07,6.705679425067501e-07
1892,1.1847488301519604e-07,6.932974656592705e-07
1893,1.422594238520425e-07,6.133782903816609e-07
1894,1.9282710761459043e-07,6.093588353905943e-07
1895,1.0352017021375559e-07,5.826018991683668e-07
1896,7.194375445385148e-08,6.115218980085046e-07
1897,1.1070755412401212e-07,5.716005944123026e-07
1898,1.9181822974445595e-07,6.201556743690162e-07
1899,1.0060192678906787e-07,5.809484946439625e-07
1900,1.3496738171525635e-07,6.291556360338291e-07
1901,1.279821263411307e-07,6.466170816565864e-07
1902,2.533706344731712e-07,5.420953357315739e-07
1903,1.3608554705335507e-07,6.728674293299264e-07
1904,1.4135264425618743e-07,6.858021492917032e-07
1905,1.475977098319703e-07,6.368376830323541e-07
1906,2.052529679552606e-07,5.818072850161116e-07
1907,2.2062798410438234e-07,5.888555847377575e-07
1908,2.3329098763902323e-07,6.718780127812352e-07
1909,3.15206349466024e-07,6.777211751796131e-07
1910,3.6340225884057276e-07,6.557272627105704e-07
1911,3.9902805815117404e-07,7.283592253770621e-07
1912,4.625965921434272e-07,6.772247616027016e-07
