year,en_ADP are_NOUN,en_ADP chars_NOUN
1800,5.65949598296811e-08,3.458580977167003e-08
1801,5.9529563944948904e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,4.475680270843441e-09
1803,4.4857801695386e-08,0.0
1804,2.719036085174764e-08,2.9662210465630778e-08
1805,8.528633133053631e-09,0.0
1806,2.881669125542885e-08,0.0
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,5.211970233176544e-08,5.6651849433819734e-08
1809,1.355418288717658e-08,1.129515236897305e-08
1810,5.8503168531842675e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,3.467370746079723e-08,1.0668832928217853e-08
1813,1.150296680130225e-08,0.0
1814,1.2586708564299443e-08,3.4613449884091096e-08
1815,2.9669458667669346e-08,2.697223555614414e-09
1816,1.1819780176836048e-07,0.0
1817,2.8023721343473085e-08,1.556873407970727e-09
1818,1.9073883805731384e-08,3.099506074022429e-08
1819,5.175525008560555e-08,2.6912729822470283e-08
1820,1.542642635854463e-08,2.4919611263385377e-08
1821,3.94459531705138e-09,6.903041582795311e-09
1822,1.303330066093622e-08,2.7069162911175226e-08
1823,3.162459771832715e-08,2.4706716672540097e-08
1824,1.0105335235266466e-08,4.21055617039201e-08
1825,1.0566531427613768e-08,2.641632912414593e-09
1826,1.0569580766173203e-08,1.8496766784892316e-08
1827,3.2260455640198415e-08,1.7512819638909605e-08
1828,1.1923991571904935e-08,9.53919290225258e-08
1829,1.0287811491593857e-08,2.1432940588983485e-08
1830,1.2524202563923836e-08,2.400472176589119e-08
1831,1.4032085715598441e-08,9.354723662369224e-09
1832,1.3529969256076413e-08,3.92369123858316e-08
1833,9.266902800675325e-09,9.266902800675325e-09
1834,1.773560875939495e-08,1.5868701908061666e-08
1835,1.5882484660778573e-08,3.327758690829796e-08
1836,7.392825018825988e-09,1.008112526790228e-08
1837,1.3219993100221927e-08,2.435261770017405e-08
1838,8.2058102535143e-09,4.1660268124132926e-08
1839,1.3982950020086093e-08,1.1885507689157748e-08
1840,2.611572358368619e-08,3.630722389402763e-08
1841,2.3756030032018316e-08,8.988767952189392e-09
1842,1.341653010911159e-08,1.6770663080478698e-08
1843,1.1223130869097986e-08,2.3036953678001737e-08
1844,1.152597856046711e-08,3.2382512671347286e-08
1845,1.1718478631905782e-08,2.1762888213761045e-08
1846,7.025401593807601e-09,2.4588905134237393e-08
