year,ton_DET an_NOUN,ton_DET champ_NOUN
1800,0.0,3.144164395507687e-08
1801,0.0,4.048010393553625e-08
1802,0.0,2.6854081625060644e-08
1803,1.950339223455444e-09,1.755305234496518e-08
1804,7.4155526164076946e-09,1.0134588990240445e-07
1805,2.842877711017877e-09,6.254331075261632e-08
1806,0.0,2.305335300434308e-08
1807,5.693910232196231e-09,9.964342684298799e-08
1808,0.0,2.2660739062985158e-08
1809,0.0,9.036122072814123e-09
1810,2.3401267590372754e-09,8.424456154898508e-08
1811,2.5070767684098882e-09,3.760615285841595e-08
1812,0.0,1.600324850414836e-08
1813,2.8757416448144113e-09,4.026038169513413e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,2.1577788444915313e-08
1816,6.952811659743929e-09,9.270415546325239e-09
1817,0.0,2.9580593974287694e-08
1818,1.1921177378582115e-09,1.5497530370112145e-08
1819,1.035105001712111e-09,4.864993385922389e-08
1820,1.1866481131050932e-09,5.6959109429044474e-08
1821,1.97229765852569e-09,6.508582117703554e-08
1822,3.0076847679083585e-09,4.110502516141423e-08
1823,1.9765373782121287e-09,1.482403055863557e-08
1824,2.5263338088166165e-09,5.052667439997549e-08
1825,0.0,3.169959583715354e-08
1826,8.807984341885344e-10,5.9013493647341875e-08
1827,0.0,1.8434546333878643e-08
1828,2.7516903755575584e-09,5.4116576109208836e-08
1829,0.0,1.7146351893870815e-08
1830,2.0873671680021744e-09,2.5048405793981487e-08
1831,0.0,1.4032085515758297e-07
1832,1.3529969367098715e-09,4.464889968858188e-08
1833,1.1583628500844156e-09,5.21263281427764e-08
1834,9.334530925997342e-10,4.387229424196448e-08
1835,2.2689263801112247e-09,5.3697924329298985e-08
1836,1.3441500135158435e-09,5.443807643557008e-08
1837,2.087367279024477e-09,2.6439986200443855e-08
1838,1.8936485712828244e-09,7.76395916446404e-08
1839,2.7965900706306e-09,4.264799713382672e-08
1840,6.369688665408546e-10,3.949207005859989e-08
1841,6.420548537278137e-10,2.632424944692957e-08
1842,2.683306021822318e-09,4.159124245006751e-08
1843,2.3627644285539873e-09,6.143187208929035e-08
1844,2.1954245643662773e-09,2.6345093440127698e-08
1845,1.2834524554250493e-08,4.798996044996784e-08
1846,1.1709002656346001e-09,3.219975797108532e-08
1847,5.393223645455691e-10,5.501088029546963e-08
1848,1.6090443422100975e-09,4.746680865030939e-08
1849,1.6758829879393033e-09,4.776266537831475e-08
1850,1.3577992064028876e-09,6.381656092457888e-08
1851,1.9348316282474798e-09,6.44943907168738e-08
1852,1.3021090872200602e-09,4.427171051979428e-08
1853,1.1943863675867306e-09,6.688563880530296e-08
1854,5.195664454227256e-10,5.923057333490078e-08
1855,2.653468555990912e-09,5.466145225341279e-08
1856,1.5531567143511893e-09,5.1254174682213716e-08
1857,9.763018171682347e-10,8.054490052700203e-08
1858,9.787352039936081e-10,5.040486339424888e-08
1859,1.018434669930457e-09,4.481112658716313e-08
1860,2.746310290291376e-09,5.492620536173831e-08
1861,1.8863854922557266e-09,1.0610918366182887e-07
1862,0.0,3.207770404856092e-08
1863,1.9978483867255648e-09,6.09343733248835e-08
1864,1.9178911792039344e-09,9.397666467236832e-08
1865,1.882737743486018e-09,4.8009811681737347e-08
1866,0.0,8.32019786400906e-08
1867,1.94112459439566e-09,6.599823620945244e-08
1868,2.4699371437009177e-09,3.902500589347824e-08
1869,4.883519144627257e-10,2.734770765400185e-08
1870,2.8670243956696595e-09,3.383088920116961e-08
1871,4.248470908407853e-09,1.3701318524184103e-07
1872,2.4189357183956872e-09,5.865918950576088e-08
1873,1.1972008939764578e-09,6.704325006268164e-08
