year,aucun_DET ange_NOUN,aucun_DET change_NOUN
1800,3.772997425599556e-08,4.7162465932615305e-08
1801,0.0,4.7623650800687756e-08
1802,1.1189200677108602e-08,1.3427040812530322e-08
1803,5.851017448321727e-09,3.1205427575287104e-08
1804,1.4831105232815389e-08,8.898663139689234e-08
1805,1.421438877713399e-08,3.695740957709859e-08
1806,2.881669125542885e-09,6.627838899930794e-08
1807,1.9928686256776018e-08,1.9928686256776018e-08
1808,2.945896149242344e-08,5.891792298484688e-08
1809,6.7770917766551975e-09,3.6144488291256494e-08
1810,7.020380277111826e-09,1.6380887757350138e-08
1811,0.0,9.777599530025327e-08
1812,2.6672082320544632e-09,3.7340914360584065e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,4.090680150170556e-08
1815,3.776112933451259e-08,2.1577788444915313e-08
1816,0.0,3.476405652236281e-08
1817,2.4909973861397816e-08,1.8682481339737933e-08
1818,9.536941902865692e-09,2.026600220972341e-08
1819,5.7965878541565985e-08,2.4842520929269085e-08
1820,1.4239777357261119e-08,2.0173018810965004e-08
1821,3.35290586406245e-08,3.648750712681448e-08
1822,3.408709403629473e-08,3.709477880420309e-08
1823,3.8542479985359535e-08,1.680056804787e-08
1824,3.3684450784221553e-09,6.06320114115988e-08
1825,1.3208164784117571e-08,2.7296874094417944e-08
1826,6.1655889282974385e-09,2.7304752237000685e-08
1827,2.027800061199514e-08,3.594736597278825e-08
1828,3.668920500743411e-09,1.9261833017480967e-08
1829,3.772197543217004e-08,4.115124596637543e-08
1830,8.349468894053302e-09,6.053365098068753e-08
1831,2.182768765734977e-08,3.274153215215847e-08
1832,1.623596335154076e-08,2.705993829010822e-08
1833,1.8533806156462163e-08,2.5483982257767934e-08
1834,9.334530925997342e-09,1.5868701908061666e-08
1835,1.9664028627630614e-08,2.7227116561334697e-08
1836,2.352262556959417e-08,2.352262562510532e-08
1837,4.174734336004349e-09,2.365682938432201e-08
1838,1.5149188570262595e-08,2.019891809368346e-08
1839,4.894032734625853e-09,3.425822825420255e-08
1840,2.4841785517537573e-08,3.3759349093998026e-08
1841,2.5682194593201757e-08,1.412520722610111e-08
1842,1.8783142152756227e-08,3.3541325716868187e-08
1843,1.5948659615183658e-08,1.063243981747064e-08
1844,2.0307677428554882e-08,2.195424464446205e-08
1845,2.678509469777879e-08,1.674068350610014e-08
1846,1.8734404916287417e-08,1.8734404250153602e-08
1847,1.941560512364049e-08,1.240441438454809e-08
1848,2.091757700384278e-08,1.126331028444838e-08
1849,1.5920888163378777e-08,1.5082946669409125e-08
1850,3.1229382635444836e-08,1.1541293254424545e-08
1851,1.4188764829725642e-08,2.4507867735223954e-08
1852,2.0833745395520964e-08,2.0833745395520964e-08
1853,5.0761419956302234e-08,1.0749477752369785e-08
1854,3.4810951454744554e-08,1.8184826089395756e-08
1855,5.7845614520601885e-08,1.4328730202350926e-08
1856,5.1254173794035296e-08,1.6049285789243584e-08
1857,2.782460178929469e-08,3.2217959022862175e-08
1858,1.3212924754313349e-08,2.5936483183386372e-08
1859,1.2221215817120878e-08,2.7497735644033128e-08
1860,1.6020143878137105e-08,7.32349442200686e-09
1861,1.8863854034378846e-08,1.744906619194353e-08
1862,8.132375661773494e-09,1.355395884417021e-08
1863,6.642845917781415e-08,1.1987090431375691e-08
1864,2.7329948970589157e-08,1.3904710605139314e-08
1865,1.9298061482153628e-08,1.5061901947888146e-08
1866,2.2868380300522517e-08,1.5083399695914324e-08
1867,2.038180824115443e-08,1.3102591012170706e-08
1868,1.6301584304656558e-08,8.397785578040384e-09
1869,8.301982323821733e-09,1.6115612955225345e-08
1870,2.064257564882155e-08,1.3761716655125156e-08
1871,2.761506112669565e-08,2.0180236148803488e-08
1872,1.0280476692159368e-08,2.7817760095416588e-08
1873,7.183205585903352e-09,2.7535620006347017e-08
1874,8.364452852571702e-09,9.559374625212058e-09
1875,8.582290544900673e-09,2.9179789251543298e-08
1876,5.441413097884151e-09,2.1765654167893445e-08
1877,4.329371305900054e-09,1.793596560162314e-08
1878,2.9591534889128468e-08,1.1474268646338714e-08
1879,1.3440515478357895e-08,1.5273313280772527e-08
1880,5.134277225593564e-09,1.4761046607247863e-08
1881,4.880755410940907e-09,1.8825771164188154e-08
1882,1.3976308776975088e-08,9.317538740560849e-09
1883,3.791603364611262e-09,1.9589951549825457e-08
1884,1.1883054540362536e-08,9.902545450302114e-09
1885,1.3535835008404717e-08,9.023890135129164e-09
1886,1.2906927748801422e-09,1.4842966855610484e-08
1887,1.1752064210668323e-08,2.4809914123125054e-08
1888,9.510921827882157e-09,6.974675947901687e-09
