year,trop_ADV morale_ADJ
1800,1.2576657937302116e-08
1801,7.143547975374531e-09
1802,8.951360541686881e-09
1803,1.950339223455444e-09
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,0.0
1809,9.036122072814123e-09
1810,0.0
1811,7.521229861140455e-09
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.668964877410417e-08
1819,1.035105001712111e-09
1820,1.1866481131050932e-09
1821,5.9168927535324656e-09
1822,1.604098542884458e-08
1823,0.0
1824,4.210556348027694e-09
1825,0.0
1826,7.0463874735082754e-09
1827,3.6869092223668076e-09
1828,9.172301251858528e-10
1829,5.143905745796928e-09
1830,1.1480519646056564e-08
1831,0.0
1832,1.3529969367098715e-09
1833,1.50587169400751e-08
1834,4.667265685043276e-09
1835,4.5378527602224494e-09
1836,8.064899859050456e-09
1837,0.0
1838,9.468243078458727e-09
1839,1.3982950353153e-09
1840,4.458782232319436e-09
1841,6.420548537278137e-10
1842,0.0
1843,8.860366662588604e-09
1844,1.097712254427563e-09
1845,4.464182357111213e-09
1846,1.7563503984519002e-09
1847,5.393223645455691e-10
1848,1.045878850192139e-08
1849,6.703531951757213e-09
1850,3.394498016007219e-09
1851,0.0
1852,0.0
1853,0.0
1854,1.0391328686409906e-08
1855,1.0613874223963649e-09
1856,3.6240324075009767e-09
1857,0.0
1858,6.8511463169329545e-09
1859,3.5645213447565993e-09
1860,1.2358396972445007e-08
1861,9.903524222920623e-09
1862,3.162590411776023e-09
1863,3.995696662428827e-09
1864,9.589456340108882e-09
1865,9.88437331983505e-09
1866,1.4596839292835284e-09
1867,3.396968040192405e-09
1868,0.0
1869,2.9301114867763545e-09
1870,5.734048791339319e-10
1871,0.0
1872,5.442605477412599e-09
1873,1.1972008939764578e-09
1874,0.0
1875,2.803548326824057e-08
1876,8.464420275799966e-09
1877,7.421779191219002e-09
1878,3.6234530931267273e-09
1879,0.0
1880,4.492492600149944e-09
1881,0.0
1882,2.6621540527571597e-09
1883,1.2638677882037541e-09
1884,1.2543224237049344e-08
1885,1.933690763067375e-09
1886,1.2906927748801422e-09
1887,7.1818169189441505e-09
1888,3.804368819970705e-09
1889,6.265136742733546e-10
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,1.8055843487019274e-09
1896,0.0
1897,2.330685422435863e-09
1898,2.8291773368493978e-09
1899,0.0
1900,3.114631885736685e-09
1901,5.029864968975062e-09
1902,5.4013122863239005e-09
1903,3.7801539676252105e-09
1904,2.1498500757388683e-09
1905,5.676835002077496e-09
1906,2.0576738091193647e-09
1907,0.0
1908,1.964555629285769e-09
1909,2.7504918342913243e-09
1910,2.137660271017694e-09
1911,0.0
1912,2.0837684910901544e-09
1913,4.772690687104841e-09
1914,0.0
1915,0.0
1916,0.0
1917,3.289927441585405e-09
1918,1.1486376294556067e-09
1919,0.0
1920,0.0
1921,9.844571380313027e-09
1922,8.853522359686394e-09
1923,1.0615948120573648e-09
1924,3.867487219366694e-09
1925,2.1996355847875293e-09
1926,1.1146138456652466e-09
1927,1.7838759802657478e-08
1928,2.2852082448565625e-09
1929,1.1140405931087116e-08
1930,5.2518016602221e-09
1931,5.7026783295555106e-09
1932,5.4797681947604815e-09
1933,1.1470662197865522e-09
1934,0.0
1935,9.574627313213568e-09
1936,6.0623572828433225e-09
1937,2.5182236296217297e-09
1938,0.0
1939,0.0
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,1.517105907566929e-08
