year,trop_ADV être_VERB,trop_ADV etre_VERB,trop_ADV mettre_VERB
1800,2.829747991484055e-08,0.0,2.2009151834367913e-08
1801,6.429193177837078e-08,0.0,6.191074675143682e-08
1802,9.175144555229053e-08,0.0,6.489736392722989e-08
1803,3.1205427575287104e-08,0.0,1.4237475909339992e-07
1804,9.88740396223875e-08,0.0,5.19088700912107e-08
1805,1.02343598484822e-07,0.0,6.538618890772341e-08
1806,6.916005901302924e-08,0.0,5.76333825108577e-08
1807,5.124519120158766e-08,0.0,2.2775640928784924e-08
1808,6.798222074166915e-08,0.0,7.024829073998262e-08
1809,9.03612189517844e-08,0.0,4.743964154840796e-08
1810,1.5210824244604737e-07,0.0,5.616304221689461e-08
1811,4.011322829455821e-08,0.0,2.757784400841956e-08
1812,4.267533171287141e-08,0.0,4.267533171287141e-08
1813,5.7514832008109806e-08,0.0,5.463909147351842e-08
1814,5.034683425719777e-08,0.0,5.97868634599763e-08
1815,8.631115377966125e-08,0.0,5.933891955578474e-08
1816,9.502176112619054e-08,0.0,3.9399267848239106e-08
1817,1.0119676829845048e-07,0.0,1.8682481339737933e-08
1818,7.152706160695743e-08,0.0,3.337929754820834e-08
1819,7.452756278780726e-08,0.0,2.898294049202832e-08
1820,4.034603762193001e-08,0.0,7.238553223487543e-08
1821,7.100271659510327e-08,0.0,3.944595405869222e-08
1822,5.3135764233047666e-08,0.0,2.606660132187244e-08
1823,1.2353358158634364e-07,0.0,3.854247765389118e-08
1824,6.652678763430231e-08,0.0,3.2000230021367315e-08
1825,7.308517524506897e-08,0.0,2.993850500843109e-08
1826,4.492072136486058e-08,0.0,3.170874407487645e-08
1827,6.452091128039683e-08,0.0,3.6869092223668076e-09
1828,6.970948618345574e-08,0.0,3.5771975603893225e-08
1829,6.858540757548326e-08,0.0,6.258418494553553e-08
1830,6.575206867864836e-08,0.0,3.444155893816969e-08
1831,8.263339168479433e-08,0.0,6.236482441579483e-09
1832,5.682587200794842e-08,0.0,2.4353944638733083e-08
1833,3.1275796175123105e-08,0.0,2.3167256557599103e-08
1834,5.1339920759119195e-08,0.0,3.360431222176885e-08
1835,4.386591001548368e-08,0.0,1.8151411040889798e-08
1836,6.317505096831155e-08,6.720750067579218e-10,4.435695188931277e-08
1837,4.174734513640033e-08,0.0,4.313892532081809e-08
1838,5.807189040751837e-08,0.0,2.9035945203759184e-08
1839,5.733009800223954e-08,0.0,3.0063343814390464e-08
1840,2.356784811752277e-08,0.0,4.1402977046800515e-08
1841,2.953452238330101e-08,0.0,3.78812359258518e-08
1842,3.890793820460203e-08,0.0,4.695785449371215e-08
1843,2.4809025944705354e-08,0.0,2.539971788451112e-08
1844,2.7991662321369404e-08,0.0,3.567564732520623e-08
1845,2.5669049108500985e-08,0.0,2.9575208060350633e-08
1846,2.4003455223464698e-08,0.0,2.6930706553685013e-08
1847,3.5055954583640414e-08,0.0,2.7505439703645607e-08
1848,3.298540818263973e-08,0.0,3.137636639394259e-08
1849,2.6814127807028854e-08,0.0,3.5193544078993e-08
1850,2.9192683825840504e-08,0.0,4.277067588986938e-08
1851,5.482023013314574e-08,0.0,3.611685883697646e-08
1852,3.385483537954315e-08,0.0,4.296959943417278e-08
