year,trop_ADV hérité_VERB,trop_ADV mérité_VERB
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,1.4287095950749062e-08,6.905429472681135e-08
1802,0.0,4.475680270843441e-09
1803,0.0,9.751696339321825e-09
1804,2.2246657849223084e-08,4.449331569844617e-08
1805,2.55858996212055e-08,3.980028751016107e-08
1806,0.0,1.152667650217154e-08
1807,0.0,8.540865792383556e-09
1808,0.0,2.039466551195801e-08
1809,0.0,1.8072244145628247e-08
1810,0.0,3.510190182964834e-08
1811,1.7549536934780008e-08,2.5070768572277302e-08
1812,0.0,7.20146218213813e-08
1813,0.0,3.163315653864629e-08
1814,0.0,4.405347908686963e-08
1815,0.0,2.697223555614414e-09
1816,0.0,4.8669683394564345e-08
1817,7.784366928831332e-09,2.80237220096069e-08
1818,0.0,4.2916237674717195e-08
1819,0.0,6.728182455617571e-08
1820,5.933240565525466e-09,2.254631326081835e-08
1821,9.861488514673056e-09,3.35290586406245e-08
1822,1.0025615893027862e-09,2.90742860897808e-08
1823,0.0,1.581229902569703e-08
1824,2.5263338088166165e-09,3.8737120178211626e-08
1825,0.0,3.9624492131906663e-08
1826,8.807984341885344e-10,4.580151724553616e-08
1827,0.0,3.133872894522938e-08
1828,2.7516904310687096e-09,4.586150481600271e-08
1829,0.0,2.5719527840806222e-08
1830,1.0436835840010872e-09,4.5922078584226256e-08
1831,3.1182412207897414e-09,1.4032085715598441e-08
1832,0.0,2.0294953273491956e-08
1833,0.0,2.4325620628928846e-08
1834,6.534171426153534e-09,2.333632664885954e-08
1835,0.0,2.193295500774184e-08
1836,3.36037508930076e-09,3.024337402735e-08
1837,4.87052354003481e-09,1.948209416013924e-08
1838,6.312161904276081e-10,1.009945904684173e-08
1839,1.3982950353153e-09,2.23727205650448e-08
1840,3.1848443882154243e-09,2.4204817705708592e-08
1841,6.420548537278137e-10,2.0545755319290038e-08
1842,6.708265054555795e-10,1.8112315203211438e-08
1843,5.906911071384968e-10,4.784597962270709e-08
1844,1.6465684371524958e-09,2.4149668931272572e-08
1845,6.696273757711424e-09,1.1160455670733427e-08
1846,0.0,2.0490753982471688e-08
1847,0.0,2.7505439703645607e-08
1848,1.6090443422100975e-09,3.298540818263973e-08
1849,0.0,2.262441967104678e-08
1850,6.1100964288129944e-09,9.504594444820214e-09
1851,6.449438760824933e-10,2.257303499675345e-08
1852,6.510545436100301e-10,1.4323200403509873e-08
1853,0.0,1.2541057081705276e-08
1854,0.0,3.3771819119010615e-08
1855,5.306937111981824e-10,2.2289135870323662e-08
1856,1.0354378465748937e-09,1.3978411317339123e-08
1857,2.9289055625270066e-09,1.2203773103180993e-08
1858,1.468102750479261e-09,1.9085335978274998e-08
1859,1.018434669930457e-09,2.0877910955618972e-08
1860,3.661747127736703e-09,1.1442959468865865e-08
1861,1.4147891747029462e-09,1.7920662287451705e-08
1862,0.0,3.252950264709398e-08
1863,0.0,2.6471489888990618e-08
1864,0.0,2.445311331200628e-08
1865,4.706844358715045e-10,1.553258677233771e-08
1866,4.865612912574591e-10,1.556996132023869e-08
1867,0.0,1.8925964795357686e-08
1868,4.44588676984381e-09,1.531360993567432e-08
1869,0.0,2.783605879130846e-08
1870,0.0,1.0321287824410774e-08
1871,1.0621177271019633e-09,1.4869648623516696e-08
1872,3.628403577593531e-09,1.2094679036067646e-08
