year,beaucoup_ADV être_VERB,beaucoup_ADV mettre_VERB
1800,0.0,0.0
1801,0.0,4.7623651688866175e-09
1802,4.475680270843441e-09,3.3567602031325805e-08
1803,9.751696339321825e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,1.3554183553310395e-08
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,7.866692897096073e-08,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,0.0
1817,2.0239355080775567e-08,0.0
1818,5.960588467246453e-09,0.0
1819,1.035105001712111e-09,3.1053151161586356e-09
1820,2.3732962262101864e-09,0.0
1821,1.972297702934611e-08,1.97229765852569e-09
1822,1.4035862250239006e-08,1.0025615893027862e-08
1823,1.581229902569703e-08,9.882686891060644e-10
1824,5.642145595174952e-08,4.0421340941065864e-08
1825,9.68598712347557e-09,0.0
1826,8.80798456392995e-09,3.5231937367541377e-09
1827,2.6730091917670507e-08,9.217273055917019e-10
1828,1.1923991571904935e-08,0.0
1829,1.2002446148073886e-08,2.571952872898464e-09
1830,7.305785310052215e-09,0.0
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,2.570694235259907e-08,0.0
1833,5.791814139399776e-09,0.0
1834,2.14694217959277e-08,2.5203233278148218e-08
1835,2.3445572594482655e-08,6.050470346963266e-09
1836,1.6129799718100912e-08,6.720750067579218e-10
1837,1.7394727436226276e-08,2.0873671680021744e-09
1838,3.1560809077291196e-08,7.574594285131298e-09
1839,2.4470162784950844e-08,2.0974426639952526e-09
1840,2.1019973317493168e-08,0.0
1841,1.6051371787284552e-08,7.0626033910059505e-09
1842,2.4149754196400863e-08,4.024959032733477e-09
1843,1.1223130869097986e-08,1.7720733769266417e-09
1844,2.4149668931272572e-08,3.2931368743049916e-09
1845,8.928364714222425e-09,3.348136878855712e-09
1846,1.8148954339380907e-08,1.1709002656346001e-09
1847,3.775256551818984e-09,5.3932236454556914e-09
1848,2.413566457803995e-09,0.0
1849,3.3517659758786067e-09,8.379414939696517e-10
1850,1.4935791270431764e-08,8.146795238417326e-09
1851,5.159551008659946e-09,0.0
1852,7.161600201754936e-09,9.765818376195057e-09
1853,1.1943863675867306e-08,5.971931837933653e-10
1854,1.8184826089395756e-08,2.5978321716024766e-09
1855,9.552486801567284e-09,1.5920811335945473e-09
1856,2.174419400091665e-08,2.5885946719483854e-09
1857,6.8341128311999455e-09,9.274867096564776e-09
1858,3.131952652779546e-08,4.404308473482388e-09
1859,1.8331824946926645e-08,0.0
1860,6.408057640072684e-09,1.373155145145688e-09
1861,1.9335450573976232e-08,1.4147891747029462e-09
1862,3.162590545002786e-08,0.0
1863,3.2465035104678464e-08,4.495158911765884e-09
1864,1.3904711160250827e-08,1.4384183844029508e-09
1865,1.3179164426446732e-08,1.4120533631256649e-09
1866,2.6760870852626795e-08,4.865612912574591e-10
1867,1.747012134956094e-08,9.7056229719783e-10
1868,6.915823469455518e-09,5.433861360870651e-09
1869,1.4162205630441349e-08,0.0
1870,2.0069171213776826e-08,5.734048791339319e-10
1871,3.9298356568906456e-08,6.37270636261178e-09
1872,1.3908880269752899e-08,7.256807155187062e-09
1873,2.7535620006347017e-08,1.7958012854535355e-09
1874,9.559374625212058e-09,0.0
1875,6.865832347102696e-09,0.0
1876,1.5719638923883394e-08,4.232210137899983e-09
1877,1.2369632429454214e-08,3.0924081073635534e-09
1878,1.0266450800600069e-08,0.0
1879,1.649517855639715e-08,4.27652757650776e-09
1880,9.626769603698904e-09,0.0
1881,5.5780060570498335e-09,6.972507571312292e-10
1882,1.2645231528551903e-08,1.9966155395678697e-09
1883,1.2006744043446815e-08,0.0
1884,1.9144920315739e-08,0.0
1885,1.933690718658454e-08,0.0
1886,2.2587123282846733e-08,6.453463874400711e-10
1887,1.6322312390570914e-08,4.570247291724172e-09
1888,6.974675947901687e-09,6.340614699951175e-10
1889,2.0674951528576457e-08,3.132568426877924e-09
1890,2.0974036729626278e-08,6.554386478008212e-10
1891,3.250852387282066e-08,4.461953917456185e-09
1892,2.193979398157353e-08,1.2537024751679837e-09
1893,2.586534897375259e-08,3.079208221734575e-09
1894,1.5753848003896564e-08,0.0
1895,1.5046536461227333e-08,6.018614495673091e-10
1896,2.6536630670648265e-08,1.179405795248556e-09
1897,3.1464253424928756e-08,5.826713556089658e-10
1898,2.772593887812036e-08,0.0
1899,1.713549302451156e-08,5.527578395003729e-10
1900,3.010810800674335e-08,0.0
1901,1.956058603980182e-08,2.235495566438317e-09
1902,3.093478895266344e-08,4.910283846193408e-10
1903,2.052083658554693e-08,0.0
1904,2.203596238814498e-08,5.374625189347171e-10
1905,2.7352022868853965e-08,5.160758931310738e-09
1906,2.983626856689625e-08,1.0288369045596824e-09
1907,1.8514235478050978e-08,2.5714217422034835e-09
1908,2.3083527977973972e-08,1.964555629285769e-09
1909,3.025541062129378e-08,0.0
1910,2.8323999146095957e-08,0.0
1911,2.500575924102577e-08,1.5961122423746588e-09
1912,3.334029585744247e-08,2.0837684910901544e-09
1913,1.856046338843953e-08,1.060597942803554e-09
1914,1.6741859454327823e-08,0.0
1915,3.534228554258334e-08,2.3561523843085297e-09
1916,4.1752354462687435e-08,2.197492410260793e-09
1917,1.864292187292449e-08,1.0966424435210342e-09
1918,1.8378202071289707e-08,0.0
1919,3.038589824200244e-08,0.0
1920,2.4988365154854364e-08,1.514446346106979e-09
1921,4.013556065274315e-08,0.0
1922,2.4347187377316004e-08,7.377935484775833e-10
1923,2.229349149729387e-08,4.246379248229459e-09
1924,2.5783249313349188e-08,0.0
1925,3.409435223034052e-08,3.299453377181294e-09
1926,2.6750733184144337e-08,1.1146138456652466e-09
1927,1.3379070296082318e-08,4.4596899506643695e-09
1928,1.3711249025050165e-08,4.570416489713125e-09
1929,2.8965056131369238e-08,1.1140406375176326e-09
1930,1.995684684175103e-08,4.201441416995522e-09
1931,1.1405356659111021e-08,2.2810713318222042e-09
1932,2.301502632917618e-08,3.287861094491973e-09
1933,1.7205993074753678e-08,1.1470662197865522e-09
1934,1.5576054224197833e-08,5.990790086229936e-09
1935,1.0771455727365264e-08,0.0
1936,1.9399543305098632e-08,2.424942913137329e-09
1937,1.510934133364117e-08,2.5182236296217297e-09
1938,1.5558256905023882e-08,1.2965214457594243e-09
1939,1.6823456405745674e-08,0.0
1940,1.5214697057785997e-08,0.0
1941,1.7709016475464523e-08,0.0
1942,2.1239483061208375e-08,3.034211770724937e-09
1943,1.1612940831184915e-08,2.9032352077962287e-09
1944,2.2492303131116387e-08,3.2131861615880553e-09
1945,2.6142048525912287e-08,0.0
1946,2.645009899993056e-08,1.3921104269343232e-09
1947,2.622591566137089e-08,2.3841741914054637e-09
1948,1.522064252412747e-08,3.2615663503321457e-09
1949,2.5524220959027843e-08,0.0
1950,3.403315673722318e-08,8.508289184305795e-09
1951,2.7719645245838365e-08,0.0
1952,2.8470971358274255e-08,4.2179215675730575e-09
1953,1.939288907237824e-08,2.1547654771580937e-09
1954,2.8340354063516315e-08,0.0
1955,1.9709776921672528e-08,2.815682353940474e-09
1956,3.9245136917998025e-08,4.360570571293465e-09
1957,2.297109880089465e-08,8.835037701437898e-10
1958,2.5643954515430778e-08,2.4816730892496253e-09
1959,1.5501495198577686e-08,7.750747821333448e-10
1960,2.6991250123842292e-08,0.0
1961,1.876002997391879e-08,3.47407969059077e-09
1962,1.331810839388936e-08,2.5367825617905737e-09
1963,2.5217607557692645e-08,5.1728425987107585e-09
1964,2.6769461314302134e-08,1.8251904432275978e-09
1965,2.4624196015565758e-08,3.830430195250756e-09
1966,1.7171132071780448e-08,2.215629901769489e-09
1967,1.824224149515885e-08,5.916402479044791e-09
1968,2.515192853991266e-08,1.7965663401398047e-09
1969,2.7704722072030563e-08,4.5417578031781147e-10
1970,1.7015283404475667e-08,3.6789800095249348e-09
1971,2.209510974182649e-08,3.5968783507200897e-09
1972,1.3851396474251487e-08,1.0260293725750103e-09
1973,1.7090931336838366e-08,5.513203782392395e-10
1974,2.7565301152776556e-08,2.812785782069227e-09
1975,1.7134439644905797e-08,1.7134440533084216e-09
1976,1.9425991482080462e-08,5.713526984862938e-09
1977,2.6445517775641747e-08,4.11374712072643e-09
1978,2.316830638449119e-08,0.0
1979,1.9896710057309974e-08,3.5111840102075575e-09
1980,2.1035058139773355e-08,5.116635559687666e-09
1981,2.4669642328944974e-08,6.325549528618524e-10
1982,2.7933760193832313e-08,1.8622506869903077e-09
1983,2.3998200759933752e-08,3.157658134966823e-09
1984,1.5077421977593986e-08,4.639206796497319e-09
1985,2.4062231318566774e-08,3.609334831011779e-09
1986,3.11713250766843e-08,4.196139880008332e-09
