year,autres_ADJ ans_NOUN,autres_ADJ gens_NOUN
1800,2.5153315874604232e-08,8.92942694008525e-07
1801,9.524730337773235e-09,1.164398327091476e-06
1802,4.475680270843441e-09,8.884225053407135e-07
1803,1.950339223455444e-09,1.35743607643235e-06
1804,2.4718509461507665e-09,1.2631157915166114e-06
1805,5.685755422035754e-09,1.111565211431298e-06
1806,8.645007376628655e-09,1.5561013242404442e-06
1807,2.8469551160981155e-09,1.5544375173703884e-06
1808,4.5321479902327155e-09,1.8083270560964593e-06
1809,6.7770917766551975e-09,9.420157311978983e-07
1810,0.0,1.394715582136996e-06
1811,2.5070767684098882e-09,1.807602302505984e-06
1812,0.0,1.4296235804067692e-06
1813,5.751483289628823e-09,1.3285925888339989e-06
1814,6.293354282149721e-09,1.4663515912616276e-06
1815,5.394447111228828e-09,9.062671324500116e-07
1816,0.0,8.088437652986613e-07
1817,4.670620334934483e-09,1.4276529327617027e-06
1818,4.768470951432846e-09,1.244570967173786e-06
1819,1.3456364911235141e-08,1.8311008034288534e-06
1820,1.4239777357261119e-08,2.5999461286119185e-06
1821,1.3806083387635226e-08,2.008785259022261e-06
1822,2.105379337535851e-08,1.888826091089868e-06
1823,4.941343334508019e-09,1.9627016172307776e-06
1824,3.3684450784221553e-09,3.866975021082908e-06
1825,1.6730341556581152e-08,3.855022896459559e-06
1826,4.403992281964975e-09,5.6626531659276225e-06
1827,5.530363722527909e-09,2.8232507247594185e-06
1828,2.2930752408001354e-08,1.8647288015927188e-06
1829,6.001223074036943e-09,1.643477844481822e-06
1830,7.305785310052215e-09,1.753388460201677e-06
1831,2.182768810143898e-08,1.0835888133442495e-06
1832,6.764984683549358e-09,1.1162225064254017e-06
1833,4.6334514003376626e-09,1.1606796306296019e-06
1834,9.334531148041947e-09,1.6326094964824733e-06
1835,1.9664028627630614e-08,2.5404413008800475e-06
1836,3.36037508930076e-09,2.952425575131201e-06
1837,3.4789454650407947e-09,2.455439698678674e-06
1838,3.1560809521380406e-09,3.2387702049163636e-06
1839,2.09744255297295e-09,1.8429528836350073e-06
1840,8.280595042986505e-09,2.080977310470189e-06
1841,5.1364388298225094e-09,1.5030503845991916e-06
1842,1.0062397137744483e-08,1.5791256373631768e-06
1843,1.1813822142769936e-09,1.2079633506800747e-06
1844,1.6465684371524958e-09,1.4412961490961607e-06
1845,3.348136878855712e-09,1.1082332775913528e-06
1846,2.9272506640865004e-09,1.3330699175639893e-06
1847,8.089835468183537e-09,1.3256543525130837e-06
1848,4.022610855525244e-09,1.183452127406781e-06
1849,8.379414495607307e-09,8.86542125044798e-07
1850,2.0366988096043315e-09,1.5777626458657323e-06
1851,1.096404611544699e-08,1.1486450830489048e-06
1852,1.2370036550635177e-08,1.2942964531248435e-06
1853,2.9859659189668264e-09,1.6088384882095852e-06
1854,9.352195906586758e-09,1.5774037365190452e-06
1855,1.3798036491152743e-08,1.3055065437583835e-06
1856,3.624032518523279e-09,1.608552679499553e-06
1857,7.322263795295214e-09,1.847163048296352e-06
1858,1.468102750479261e-09,1.725999482005136e-06
