year,plusieurs_DET oeufs_NOUN,plusieurs_DET jeux_NOUN
1800,2.5153315874604232e-08,2.829748080301897e-08
1801,1.4287095950749062e-08,1.0239085135310688e-07
1802,2.0140561218795483e-08,4.923248297927785e-08
1803,1.950339267864365e-08,2.5354409682876167e-08
1804,4.943701892301533e-09,2.4718509905596875e-08
1805,0.0,3.4114531644036106e-08
1806,5.76333825108577e-09,1.6137347458311524e-07
1807,0.0,7.686778502602465e-08
1808,0.0,6.798222074166915e-08
1809,2.259030518203531e-09,4.743964154840796e-08
1810,4.680253518074551e-09,2.106114038724627e-08
1811,0.0,1.1532553401139012e-07
1812,0.0,4.000812481308458e-08
1813,0.0,5.463909147351842e-08
1814,0.0,1.1642705288750221e-07
1815,0.0,5.3944472000466703e-08
1816,0.0,3.0128852301913867e-08
1817,1.0898113522728181e-08,4.0478710161551135e-08
1818,0.0,4.530047559292427e-08
1819,4.140420006848444e-09,5.072014630513877e-08
1820,1.1866481131050932e-09,2.610625848831205e-08
1821,1.97229765852569e-09,4.6348993976153e-08
1822,1.0025615893027862e-09,1.0326384369818697e-07
1823,0.0,7.510841726343642e-08
1824,2.5263338088166165e-09,6.484257131234017e-08
1825,8.805443041381977e-10,5.019102489178806e-08
1826,0.0,7.839105975460114e-08
1827,0.0,3.96342727526644e-08
1828,0.0,3.393751413227619e-08
1829,6.001223074036943e-09,3.6864657104729304e-08
1830,2.0873671680021744e-09,4.2791025167687735e-08
1831,1.5591206103948707e-09,7.171954941043168e-08
1832,1.7588959622116818e-08,4.8707889277466165e-08
1833,1.1583628500844156e-09,5.6759780875381693e-08
1834,2.8003592777992026e-09,4.4805747334564217e-08
1835,7.563087933704082e-09,6.126101226300307e-08
1836,2.016224964762614e-09,3.360375000482918e-08
1837,3.478945576063097e-09,7.514522204488117e-08
1838,6.312161904276081e-10,6.627770154921109e-08
1839,2.7965900706306e-09,5.383435786043833e-08
1840,6.369688665408546e-10,2.5478754661634184e-08
1841,3.2102742686390684e-09,4.494384064912538e-08
1842,2.0124795163667386e-09,4.8970334898257306e-08
1843,5.906911071384968e-10,3.1306630177141415e-08
1844,1.097712254427563e-09,4.7750483622710505e-08
1845,1.674068439427856e-09,1.9530797645828102e-08
1846,0.0,5.678866199509969e-08
1847,3.775256551818984e-09,3.074137477909744e-08
1848,0.0,4.907585399172021e-08
1849,0.0,5.865590524400943e-08
1850,0.0,3.4623879763273635e-08
1851,3.8696632564949596e-09,3.676180071465751e-08
1852,6.510545436100301e-10,4.8829090104618444e-08
1853,1.1943863675867306e-09,4.658106766974868e-08
1854,5.195664454227256e-10,6.078927500263731e-08
1855,0.0,5.1477289986223695e-08
1856,5.177189232874468e-10,8.128186834710505e-08
1857,1.9526036343364694e-09,4.1004675210842834e-08
1858,9.787352039936081e-10,1.3702292578354758e-08
1859,5.092173349652285e-10,4.073738613108446e-08
1860,9.154367819341758e-10,3.8906062371779626e-08
1861,0.0,4.810282866474225e-08
1862,4.066187830886747e-09,5.69266269678792e-08
1863,4.994620828036034e-10,3.696019545973428e-08
