year,quelques_DET ans_NOUN,quelques_DET gens_NOUN
1800,3.458580977167003e-08,1.13504337662107e-06
1801,2.857419123536431e-08,1.4358531359448534e-06
1802,6.713520406265161e-09,1.027168650580279e-06
1803,3.900678446910888e-09,1.0044247034102227e-06
1804,4.2021465418429216e-08,1.2285099160180835e-06
1805,1.9900143755080535e-08,9.97850079897944e-07
1806,2.5935023018064385e-08,1.8125699199345036e-06
1807,3.131650672116848e-08,8.426987108123285e-07
1808,6.798221985349073e-09,1.1217065889468358e-06
1809,5.421673243688474e-08,1.088852727093581e-06
1810,3.978215445954447e-08,1.2917499248032982e-06
1811,1.504245972228091e-08,1.3262435913929949e-06
1812,2.1337665856435706e-08,1.1095586387455114e-06
1813,1.1502966579257645e-08,1.3228411006593888e-06
1814,1.2586708564299443e-08,8.621895233318355e-07
1815,2.966945888971395e-08,8.577170689250124e-07
1816,2.5493642752394408e-08,9.432647800622362e-07
1817,1.5568734412774177e-08,1.4494492006633664e-06
1818,1.907388358368678e-08,1.2982162047592283e-06
1819,1.9666995143552413e-08,1.1686335597005382e-06
1820,1.7799721696576398e-08,1.5473891750161783e-06
1821,7.297501347647284e-08,1.7504141425206399e-06
1822,6.115625694746996e-08,1.8066159270802018e-06
1823,2.371844876059015e-08,2.107977024934371e-06
1824,1.0021123841852386e-07,2.0623305374556367e-06
1825,2.2894151241459326e-08,1.4872393876430579e-06
1826,2.201995996653494e-08,1.7968288119618592e-06
1827,2.1199728195142598e-08,1.0304911199909839e-06
1828,1.742737265608696e-08,1.021794389544084e-06
1829,1.2859763920403111e-08,1.1299445787926743e-06
1830,2.817945699007396e-08,1.1219598547995702e-06
1831,9.510635434750725e-08,8.450433952589265e-07
1832,1.488296597074168e-08,8.226221126506061e-07
1833,9.26690302271993e-09,7.540942021933006e-07
1834,1.866906118586087e-08,8.877138952811947e-07
1835,3.025235173481633e-08,9.763946593466244e-07
1836,3.22596004909137e-08,1.6284377366559966e-06
1837,5.427154992077021e-08,1.200932025824386e-06
1838,3.1560809521380406e-08,1.8513570836375948e-06
1839,1.1186360504567006e-08,1.1403096422668568e-06
1840,4.458782187910515e-08,9.172351482789054e-07
1841,2.6966304744746594e-08,6.240773302579328e-07
1842,3.287049921141261e-08,8.989075084286924e-07
1843,4.193906921745594e-08,7.029223922927486e-07
1844,2.3600813969792966e-08,5.834340583987796e-07
1845,1.729870580113868e-08,6.802297747299235e-07
1846,1.5807153586067102e-08,8.424627395697826e-07
1847,1.833696128272777e-08,6.98961791556485e-07
1848,2.413566457803995e-08,8.14176431163105e-07
1849,3.2679717376637996e-08,4.4997457848694467e-07
1850,2.7834883731259197e-08,9.40275953098535e-07
1851,2.063820425668439e-08,8.068248149584178e-07
1852,2.018269107395554e-08,6.145954785097274e-07
1853,2.6276500530997282e-08,8.330845133741605e-07
1854,3.013485427860729e-08,1.1435657114589048e-06
1855,4.139410947345823e-08,7.546464928509522e-07
1856,2.381507024917795e-08,7.009914391176153e-07
1857,3.465871334373816e-08,1.1803488888517677e-06
1858,2.88726889063895e-08,7.663496646159729e-07
1859,1.680417205385254e-08,7.755379982654631e-07
1860,3.7532908503390416e-08,7.767481093878814e-07
1861,2.4994607272788016e-08,6.319391161468957e-07
1862,2.5752522003763545e-08,7.174562313139177e-07
1863,2.0977407033662132e-08,5.179421762591119e-07
1864,1.7740493518658695e-08,5.322148162179019e-07
1865,1.3179164426446732e-08,6.198914022093049e-07
1866,2.5787747603978062e-08,7.67307149374119e-07
1867,3.445495977416613e-08,5.852490687630052e-07
1868,2.519335706718806e-08,5.532658988727235e-07
1869,2.7347706321734222e-08,5.557444922033028e-07
1870,2.6376624884250077e-08,5.636569824218896e-07
1871,2.2304472935275044e-08,3.5793367914038754e-07
1872,1.9956219454719815e-08,5.067670301173166e-07
1873,2.454261771589472e-08,5.728606495836175e-07
1874,1.1351757034372412e-08,5.699777148038265e-07
1875,2.6891177895560503e-08,6.305123143590663e-07
1876,2.176565305767042e-08,6.22134912475758e-07
1877,2.906863472151855e-08,7.118723317489639e-07
1878,1.8721174777081018e-08,6.033049331222173e-07
1879,5.8649524126153096e-08,7.557235193189626e-07
1880,2.9522092326317306e-08,6.289489213884281e-07
1881,2.5798277791810875e-08,4.783140283848297e-07
1882,4.725323421439498e-08,5.677043546370442e-07
1883,4.297150424381613e-08,4.872210475070915e-07
1884,2.706695845233753e-08,5.31436612050129e-07
1885,3.351730470946279e-08,4.1703264130887874e-07
1886,3.872078235822585e-08,5.517711372249323e-07
1887,3.3950408484528793e-08,4.1066936162792445e-07
1888,2.53624587998047e-08,4.000927944503019e-07
1889,4.510898587994916e-08,5.005844307959251e-07
1890,2.3595791986963377e-08,3.919523088313781e-07
1891,2.7409146508006188e-08,3.422956247334241e-07
1892,2.820830591332424e-08,4.237514268368159e-07
1893,1.4780200174868696e-08,3.2270102856557514e-07
1894,3.3398158905129094e-08,3.2768005375771736e-07
1895,3.5509824414248214e-08,3.3644054298065385e-07
