year,deux_DET oies_NOUN,deux_DET joies_NOUN
1800,3.458580932758082e-08,3.144164484325529e-09
1801,5.23860170797974e-08,0.0
1802,1.1860552717735118e-07,0.0
1803,9.751696339321825e-09,0.0
1804,7.4155528384522995e-09,0.0
1805,5.970043304159844e-08,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,2.039466551195801e-08,0.0
1809,4.518061036407062e-09,0.0
1810,2.3401266702194334e-08,0.0
1811,0.0,0.0
1812,7.468182872116813e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,9.440031423224582e-09,0.0
1815,2.697223555614414e-09,0.0
1816,1.622322720606917e-08,0.0
1817,7.784366928831332e-09,0.0
1818,9.536941902865692e-09,0.0
1819,1.6561680027393777e-08,0.0
1820,3.322614805512103e-08,0.0
1821,1.577838126820552e-08,0.0
1822,1.604098542884458e-08,0.0
1823,3.95307486744656e-09,5.929612356680991e-09
1824,1.2631669044083083e-08,1.6842225392110777e-09
1825,1.1447076175841175e-08,1.7610886082763955e-09
1826,1.8496766784892316e-08,8.807984341885344e-10
1827,9.217273166939322e-09,3.6869092223668076e-09
1828,0.0,9.172301251858528e-10
1829,2.914879759785549e-08,0.0
1830,1.982998831806526e-08,5.218417697960831e-09
1831,6.236482441579483e-09,0.0
1832,2.1647950210201827e-08,0.0
1833,2.548398292390175e-08,0.0
1834,1.7735608537350345e-08,2.8003592777992026e-09
1835,2.2689263801112247e-09,0.0
1836,4.099657546774438e-08,2.016224964762614e-09
1837,1.5307360268224102e-08,0.0
1838,2.651107999795954e-08,1.2624323808552163e-09
1839,1.2584655206815398e-08,0.0
1840,1.2102408297742784e-08,6.369688665408546e-10
1841,3.980740226339208e-08,1.1556987367100646e-08
1842,2.4149754196400863e-08,6.708265054555795e-10
1843,6.497602011990011e-09,1.0041748765843295e-08
1844,3.293136902060567e-08,1.6465684371524958e-09
1845,2.678509469777879e-08,1.674068439427856e-09
1846,8.781752214304106e-09,2.3418005312692003e-09
1847,2.8044763844548015e-08,5.393223645455691e-10
1848,8.84974404868899e-09,4.02261068899179e-09
1849,1.5920887941334172e-08,5.02764896381791e-09
1850,5.431196825611551e-09,4.073397619208663e-09
1851,1.3543821175687754e-08,4.514607354622058e-09
1852,1.5625309490729933e-08,1.3021090872200602e-09
1853,9.555090940693844e-09,1.7915795513800958e-09
1854,2.4419623212423858e-08,5.7152309551611324e-09
1855,2.1227748447927297e-08,0.0
1856,8.28350277259915e-09,5.177189232874468e-10
1857,1.757343248698362e-08,9.763018171682347e-10
1858,1.4681027893370668e-08,1.468102750479261e-09
1859,2.7497735644033128e-08,7.638259802433822e-09
1860,3.4328881071132855e-08,4.119465657481669e-09
1861,1.6034276573151374e-08,4.715963619617014e-09
1862,3.388489855371546e-08,0.0
1863,2.7969877358646755e-08,1.9978483312144135e-09
1864,2.1096803748399395e-08,5.274200631788517e-09
1865,3.9066808454890634e-08,2.3534221238463715e-09
1866,2.6274310116480848e-08,9.244664589402873e-09
1867,2.2808213984149006e-08,3.88224918879132e-09
1868,2.321740799615668e-08,5.9278488784286765e-09
1869,1.0743742229202269e-08,1.953407657850903e-09
1870,4.013834153937523e-09,2.8670243956696595e-09
1871,2.6552942955504477e-08,1.0621177271019633e-09
1872,1.2699412743621963e-08,7.861540751719076e-09
1873,2.514121905106137e-08,5.986004469882289e-10
1874,1.732636678575261e-08,0.0
1875,1.2015207495608138e-08,4.577221601742565e-09
1876,3.023007311142578e-08,1.0882826639857512e-08
1877,1.0514187187560253e-08,3.710889595609501e-09
1878,2.1136809524868738e-08,2.4156354694326865e-09
1879,3.299035578052667e-08,2.443730107160036e-09
1880,1.7969970178555172e-08,1.0268554007097919e-08
1881,2.6495528548942104e-08,4.183504542787375e-09
1882,2.5956002014382307e-08,1.3310770263785798e-09
1883,5.2450515042323786e-08,1.7062214752172622e-08
1884,1.3203393933736152e-08,6.601696966868076e-09
1885,2.2559724921489277e-08,5.80107206715752e-09
1886,1.097088819790315e-08,8.38950331427668e-09
1887,1.566941915109865e-08,5.876032105334161e-09
1888,2.4094334971636044e-08,1.268122939990235e-09
1889,2.380751940034287e-08,3.759081934617825e-09
1890,6.554386366985909e-09,3.277193239004106e-09
1891,2.7409145841872373e-08,8.92390783491237e-09
1892,2.4447198931909497e-08,7.522214851007902e-09
1893,1.8475249941030114e-08,4.926733243593162e-09
1894,2.3315695596437536e-08,2.520615716150587e-09
1895,4.032471756509892e-08,4.814891596538473e-09
