year,aux_ADP ans_NOUN,aux_ADP gens_NOUN
1800,2.5153315874604232e-08,5.502287628189606e-06
1801,3.0955374485941434e-08,6.057728633379611e-06
1802,6.713520406265161e-08,6.218957565806704e-06
1803,9.751696339321825e-09,5.057229415683651e-06
1804,4.943701892301533e-09,6.673997603456883e-06
1805,1.1371510844071508e-08,6.933778706752491e-06
1806,7.204172636221529e-08,6.423240523467655e-06
1807,3.131650672116848e-08,5.477541801468533e-06
1808,2.4926813502190726e-08,6.236235506662524e-06
1809,9.036122072814123e-09,5.882515466737459e-06
1810,1.4040760554223652e-08,6.149853042813902e-06
1811,8.774768645025688e-08,6.9897299184162875e-06
1812,2.1337665856435706e-08,5.033021956535322e-06
1813,1.7254450312975678e-08,7.49130701649392e-06
1814,1.8880061958270744e-08,4.767215999734731e-06
1815,4.315557688983063e-08,3.919065667545851e-06
1816,2.3176038865813098e-08,3.6849902329549877e-06
1817,1.5568734412774177e-08,5.732407693415098e-06
1818,2.6226590676969863e-08,6.12033235825038e-06
1819,4.968504008218133e-08,5.9725560106471676e-06
1820,1.6613073583471305e-08,6.7757606672103066e-06
1821,1.0847637454958203e-08,6.839928111901372e-06
1822,4.110502516141423e-08,7.119189675108828e-06
1823,1.1859224047228167e-08,6.9435756060443055e-06
1824,7.831634540877985e-08,6.390782345988555e-06
1825,2.0252518551089338e-08,7.6043805279368826e-06
1826,1.6735169472426037e-08,8.270697549050965e-06
1827,1.198245475064752e-08,7.231872345414558e-06
1828,1.9261833017480967e-08,6.097746059197107e-06
1829,1.971830487779158e-08,6.254989202147954e-06
1830,2.5048405571936883e-08,5.334266717227365e-06
1831,9.354723218280014e-09,4.8441876554505825e-06
1832,2.3000947924067816e-08,5.678528051333842e-06
1833,2.5483982257767934e-08,5.233483264532879e-06
1834,2.7070139907436896e-08,5.240405535289483e-06
1835,1.663879345414898e-08,6.105680803614177e-06
1836,2.3522625958172227e-08,6.347076563884002e-06
1837,1.2524203452102256e-08,6.0756304165465735e-06
1838,2.398621434807069e-08,7.3688177799624555e-06
1839,1.6080393461237463e-08,6.254573481356829e-06
1840,3.3759350870354865e-08,5.349264608156545e-06
1841,8.988767952189392e-09,4.5207084227172345e-06
1842,1.609983613093391e-08,5.399482610357609e-06
1843,3.366939316240547e-08,5.495790244225418e-06
1844,1.1525978838022866e-08,5.69877322220691e-06
1845,1.0044410247989077e-08,4.88939573983771e-06
1846,1.4050803187615202e-08,5.344574329768648e-06
1847,1.887628364727334e-08,5.26540407719267e-06
1848,2.091757700384278e-08,4.455443921358437e-06
1849,4.77626631578687e-08,4.121834074055641e-06
1850,2.2403687793826066e-08,4.729214484910926e-06
1851,1.805842853030981e-08,4.8409487298783915e-06
1852,2.148479971708639e-08,4.5983983625319524e-06
1853,1.4332636411040767e-08,5.592116849584272e-06
1854,1.8184825922862302e-08,5.5385784065720145e-06
1855,1.963566731433275e-08,5.328695653616933e-06
1856,1.4496130074093116e-08,5.25691805819406e-06
1857,2.147864064383498e-08,6.304957196334726e-06
1858,2.936205545367443e-08,5.988880488416726e-06
