year,mes_DET oies_NOUN,mes_DET joies_NOUN
1800,3.144164484325529e-09,1.8864987794131594e-08
1801,2.3811825844433088e-09,1.6668277424969347e-08
1802,4.475680270843441e-09,0.0
1803,0.0,5.851017448321727e-09
1804,1.730295728918918e-08,4.449331569844617e-08
1805,8.528633133053631e-09,5.685755422035754e-09
1806,0.0,3.1698359492793315e-08
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,2.259030518203531e-09,1.8072244145628247e-08
1810,1.8721014072298203e-08,6.786367379163494e-08
1811,0.0,5.0141535368197765e-09
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,0.0,5.751483289628823e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,1.0788894222457657e-08
1816,0.0,4.6352077731626196e-09
1817,0.0,3.113746771532533e-08
1818,4.768470951432846e-09,2.2650237241350624e-08
1819,0.0,2.2772310259711048e-08
1820,1.1866481131050932e-09,1.4239777357261119e-08
1821,2.9584463767662328e-09,5.1279737789400315e-08
1822,1.4035862250239006e-08,5.213320264374488e-08
1823,0.0,3.261286662947782e-08
1824,0.0,1.7684335773537896e-08
1825,0.0,3.169959650328735e-08
1826,2.642395191543301e-09,2.9947145208097936e-08
1827,9.217273055917019e-10,1.1982455028203276e-08
1828,5.503380862137419e-09,2.659967357487858e-08
1829,1.714635211591542e-09,3.429270378774163e-08
1830,1.3567886369969528e-08,5.4271545035788904e-08
1831,1.5591206103948707e-09,3.897801548191637e-08
1832,2.705993873419743e-09,5.0060886991332154e-08
1833,0.0,5.79181431703546e-08
1834,2.8003592777992026e-09,7.467625096069241e-08
1835,1.5882484660778573e-08,1.1117739262545001e-07
1836,2.016224964762614e-09,9.745087847790046e-08
1837,3.478945576063097e-09,1.1480520223372537e-07
1838,1.8936485712828244e-09,6.880256364638626e-08
1839,4.194885327990505e-09,9.019003055499297e-08
1840,3.821813088222825e-09,5.987507234461731e-08
1841,5.778493683550323e-09,1.2327453724481074e-07
1842,6.708265054555795e-10,1.1471133287699331e-07
1843,2.953455480181333e-09,8.683159352651515e-08
1844,4.9397050894128824e-09,1.0153838042592511e-07
1845,1.1160455670733427e-08,9.374782711235596e-08
1846,1.1709002656346001e-09,8.781751859032738e-08
1847,6.47186837454683e-09,4.7999690444555654e-08
1848,0.0,7.240699673172202e-08
1849,9.217356655710773e-09,9.384944821277941e-08
1850,6.788996032014438e-10,1.0455053622848709e-07
1851,1.2253933867611977e-08,7.545843550005316e-08
1852,5.859490670445666e-09,7.031388737921418e-08
1853,5.971931837933653e-10,1.3257688635803788e-07
1854,9.352196350675968e-09,8.780673166342012e-08
1855,1.0613874223963649e-09,1.1462983806609373e-07
1856,1.5531567143511893e-09,8.956537500548478e-08
1857,1.4644527812635033e-09,1.0836950292691938e-07
1858,9.787352039936081e-10,1.0961834195910569e-07
1859,2.036869339860914e-09,1.6956937431977792e-07
1860,1.8308735638683515e-09,1.4601216014042961e-07
1861,3.3011746669586728e-09,1.1884228823255683e-07
1862,9.035972858839614e-09,1.3553959465895105e-07
1863,3.496234635136375e-09,1.4734131603688638e-07
1864,1.3904711160250827e-08,1.769254637240536e-07
1865,7.530950973944073e-09,1.5156039157027124e-07
1866,1.0704348518686402e-08,1.0753004575647651e-07
1867,0.0,1.213202889260856e-07
1868,7.903798504571569e-09,8.348386870693503e-08
1869,9.767038289254515e-10,1.450405160419166e-07
1870,4.013834153937523e-09,1.244288529989035e-07
1871,9.55905954391767e-09,1.1577083469660465e-07
1872,6.047339518033823e-09,1.185278468707196e-07
1873,3.591602570907071e-09,9.936767531026902e-08
1874,4.779687312606029e-09,9.798358746593294e-08
1875,5.721527251978387e-09,1.4818754845435933e-07
1876,1.874264654588842e-08,9.492243502329245e-08
1877,1.9172929910382663e-08,1.1256365117784384e-07
1878,3.0195443923020093e-09,9.481369178665489e-08
1879,3.0546627449723474e-09,7.942122692838893e-08
1880,1.9253538763308597e-09,9.883483298445128e-08
1881,4.183504653809678e-09,9.133984946174678e-08
1882,3.9932310791357395e-09,8.585446664710616e-08
1883,8.847074184359371e-09,1.0932456717682726e-07
1884,4.621187876807653e-09,1.2411190120076299e-07
1885,5.80107206715752e-09,1.1408775479893052e-07
1886,2.5813855497602844e-09,1.1164492574877727e-07
1887,6.528924623161458e-10,8.161155551356103e-08
1888,5.07249175996094e-09,6.974676125537371e-08
1889,3.132568426877924e-09,9.084448038265691e-08
1890,2.6217545912032847e-09,7.668632362456407e-08
1891,1.2748440081367107e-09,9.561330338581087e-08
1892,3.1342561879199593e-09,9.65350883674887e-08
1893,5.542574843531156e-09,1.268633846862599e-07
1894,5.041231432301174e-09,1.1468801575098553e-07
1895,1.8055843487019274e-09,1.3902999618231604e-07
1896,1.7691086373616827e-09,1.0083919477210657e-07
1897,1.1653427112179315e-09,1.3634508988502603e-07
1898,4.52668391659472e-09,1.1825961931943851e-07
1899,1.1055156790007459e-08,1.0557674556821439e-07
1900,3.633737311048435e-09,8.98052183728737e-08
1901,3.912117296778206e-09,8.997869871407715e-08
1902,5.4013122863239005e-09,8.101968251850167e-08
1903,4.860198465905796e-09,7.452304151556177e-08
1904,1.0749250378694342e-09,9.51308649632665e-08
1905,2.0643036169332163e-09,7.276670377365235e-08
1906,4.115347618238729e-09,1.2500368029577658e-07
1907,3.5999902503469627e-09,1.0594257027207732e-07
1908,6.875944702500192e-09,1.0313917386817195e-07
1909,0.0,1.045186843739998e-07
1910,3.740905363258662e-09,9.833236891410024e-08
1911,4.788336838146279e-09,1.3247732066901108e-07
1912,7.814131564032323e-09,1.0835596303548911e-07
1913,3.181793939432964e-09,1.0977188713567898e-07
1914,6.696743715117748e-10,9.040603698995398e-08
1915,5.890381071793627e-09,6.125996043770954e-08
1916,1.0987462051303964e-09,9.449217008850042e-08
1917,3.289927441585405e-09,9.102132314531275e-08
1918,1.4932289182922887e-08,7.810735880298125e-08
1919,9.207848372660976e-10,1.1970202740130276e-07
1920,2.2716695191604686e-09,1.1509792230413041e-07
1921,3.0290989716519334e-09,1.272221616943625e-07
1922,5.164555005876537e-09,1.3132724924203032e-07
1923,6.369568872344189e-09,1.2314499819865432e-07
1924,5.156649773851996e-09,7.734974594164612e-08
1925,4.399271169575059e-09,1.1218141637847623e-07
1926,7.802296586589819e-09,1.3486827232789267e-07
1927,7.804457524684949e-09,1.7169806465489046e-07
1928,3.4278122562625413e-09,1.2568645835209225e-07
1929,2.2280812750352652e-09,9.803557476928404e-08
1930,5.2518016602221e-09,1.1448927672574882e-07
1931,4.5621426636444085e-09,9.466445938244306e-08
1932,2.1919073223131136e-09,8.43884289114527e-08
1933,6.882397318719313e-09,6.997103696448903e-08
1934,1.1981580172459871e-09,7.788027112098916e-08
1935,7.180970484910176e-09,8.856529909451183e-08
1936,0.0,6.91108694717002e-08
1937,1.2591118148108649e-09,7.554670844456268e-08
1938,5.186085783037697e-09,8.297737252860315e-08
1939,9.176430282309411e-09,9.635251885242724e-08
1940,0.0,5.832300842278926e-08
1941,0.0,7.67390702094417e-08
1942,0.0,1.1833425617169269e-07
1943,0.0,1.1032293745216748e-07
1944,6.4263723231761105e-09,1.25314262078291e-07
1945,6.535512131478072e-09,1.4378126600433916e-07
1946,0.0,1.4199525910640887e-07
1947,3.5762612871081956e-09,1.418583652768035e-07
1948,0.0,1.4785767810110428e-07
1949,1.9634016634739737e-09,8.540797091782792e-08
