year,profondes_ADJ joies_NOUN
1924,2.578324886925998e-09
1925,1.3197813508725176e-08
1926,4.458455382660986e-09
1927,2.2298449753321847e-09
1928,1.0283437212876834e-08
1929,5.570202965543558e-09
1930,4.201441416995522e-09
1931,7.983749661377715e-09
1932,2.1919073223131136e-09
1933,3.4411986593596566e-09
1934,3.5944740517379614e-09
1935,2.393656828303392e-09
1936,1.091224355320719e-08
1937,1.0072894518486919e-08
1938,1.0372171566075394e-08
1939,1.070583532936098e-08
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,0.0
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,1.1136883415474585e-08
1947,5.960435700558264e-09
1948,5.435944139264848e-09
1949,4.908504158684934e-09
1950,3.190608444114673e-09
1951,2.1322803522849654e-09
1952,0.0
1953,9.69644453618912e-09
1954,2.9317608341017376e-09
1955,6.569925492527773e-09
1956,7.849027205963921e-09
1957,2.6505113659425206e-09
1958,1.6544486891589827e-09
1959,3.875373910666724e-09
1960,2.076250060767393e-09
1961,6.25334317660986e-09
1962,4.4393695941558065e-09
1963,7.1126584622049904e-09
1964,9.73434927109551e-09
1965,3.830430195250756e-09
1966,3.323444963676536e-09
1967,3.451234853457663e-09
1968,6.737123720013116e-09
1969,4.087581828571274e-09
1970,3.2191074805787423e-09
1971,3.596878239697787e-09
1972,5.130146862875051e-09
1973,1.102640756478479e-09
1974,1.6876715580593782e-09
1975,1.1422960355389478e-09
1976,4.570821499072508e-09
1977,2.3507127355770763e-09
1978,1.1881182704343018e-09
1979,4.0963813452421505e-09
1980,1.7055452605774235e-09
1981,3.795329828193417e-09
1982,0.0
1983,3.157658134966823e-09
1984,1.1598016991243298e-09
1985,1.2031116103372597e-09
1986,0.0
1987,1.8332450557601021e-09
1988,2.99827696004229e-09
1989,0.0
1990,1.089730194969718e-09
1991,2.9307325455363298e-09
1992,2.2039776670368383e-09
1993,3.323524566667402e-09
1994,1.0549853213248639e-09
1995,1.626735190995987e-09
1996,2.135236876199542e-09
1997,3.3564262480467733e-09
1998,3.814503379828693e-09
1999,4.570201161957499e-10
2000,3.0926220473403987e-09
2001,4.3812117822561447e-10
2002,1.752488598683044e-09
2003,1.6667691671301554e-09
2004,2.2023955992267474e-09
2005,4.5037495954858286e-10
2006,0.0
2007,3.994479413904628e-09
2008,1.7029758714315335e-09
2009,9.53638501499654e-10
2010,2.3618964561933353e-09
2011,3.82397197240536e-10
2012,1.0212758416727752e-09
2013,5.578250084070646e-10
2014,2.3819897165822113e-09
2015,1.10828768384863e-09
2016,2.0713399884186856e-09
2017,1.0062445321423752e-09
2018,2.323319980845895e-09
2019,2.55098775436835e-10
