year,toutes_DET joies_NOUN
1916,2.197492410260793e-09
1917,9.869782324756216e-09
1918,1.1486376294556067e-08
1919,1.1049418269237776e-08
1920,1.2872794385998532e-08
1921,1.438822039290244e-08
1922,1.696925178151787e-08
1923,9.554353752605493e-09
1924,2.836157442231979e-08
1925,1.0998177923937646e-09
1926,1.3375366147982959e-08
1927,5.574612327308159e-09
1928,1.2568645457733396e-08
1929,1.2254447234738564e-08
1930,1.2604324362008867e-08
1931,6.843213995466613e-09
1932,1.2055489939655217e-08
1933,4.588264879146209e-09
1934,1.0783422155213884e-08
1935,5.98414207075848e-09
1936,1.4549657478823974e-08
1937,8.813782481631449e-09
1938,1.6854778905894818e-08
1939,1.070583532936098e-08
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,1.7419411690866582e-08
1944,1.927911696952833e-08
1945,1.089252066321933e-08
1946,2.3665878146061914e-08
1947,1.6689218895749036e-08
1948,2.5005341353079302e-08
1949,1.5707213085747185e-08
1950,9.571825110299415e-09
1951,1.1727542048589612e-08
1952,2.1089608281954497e-08
1953,1.2928593307037772e-08
1954,1.4658803948464083e-08
1955,4.6928039232341234e-09
1956,9.593255745343754e-09
1957,2.6505113659425206e-09
1958,1.1581140491045971e-08
1959,5.4255236969780185e-09
1960,1.3841667145797487e-08
1961,9.727422811689479e-09
1962,5.0735651235811474e-09
1963,1.3578711488548834e-08
1964,7.909158661334459e-09
1965,1.0944087081021792e-08
1966,7.754704434148607e-09
1967,1.7749208325312793e-08
1968,1.2575964214445179e-08
1969,6.358460868938209e-09
1970,1.0577067666162066e-08
1971,1.592903242642052e-08
1972,8.721249722398738e-09
1973,4.9618833486420044e-09
1974,9.000914957812967e-09
1975,8.567220266542108e-09
1976,6.284879672247001e-09
1977,6.464459911814657e-09
1978,1.3663360221016774e-08
1979,1.2289143702659544e-08
1980,8.527726136353664e-09
1981,1.960920337218397e-08
1982,6.828252518964462e-09
1983,1.0104505676622466e-08
1984,6.958810361279433e-09
1985,9.62489299372038e-09
1986,1.1988970816112499e-08
1987,9.166225112267057e-09
1988,5.99655392008458e-09
1989,1.207386890467177e-08
1990,6.538381169818308e-09
1991,1.3481370075840715e-08
1992,1.1570883196032611e-08
1993,1.2740176913439427e-08
1994,5.802419378309054e-09
1995,6.506940930517402e-09
1996,8.007137841659073e-09
1997,8.151320618488e-09
1998,1.0013071261028017e-08
1999,5.941261455033597e-09
2000,6.185244316725402e-09
2001,8.762423842068046e-09
2002,5.695587723675288e-09
2003,9.167230363704704e-09
2004,1.1452457204796929e-08
2005,8.106749049829887e-09
2006,6.176834821403077e-09
2007,6.79061532005143e-09
2008,6.386159684401704e-09
2009,5.721831008997924e-09
2010,5.196172381261022e-09
2011,7.647943611743813e-09
2012,4.425528388196653e-09
2013,1.1435412727855976e-08
2014,7.795602663396295e-09
2015,6.206411051756788e-09
2016,1.2013772004992873e-08
2017,3.773417051045058e-09
2018,8.518840077798018e-09
2019,6.632568272380013e-09
