year,des_DET iles_NOUN,des_DET gilles_NOUN
1800,3.584347454399506e-07,0.0
1801,3.0002900719416914e-07,0.0
1802,2.7077865638602816e-07,0.0
1803,4.1542226791868586e-07,0.0
1804,3.4605912624385837e-07,0.0
1805,4.4633179796527145e-07,0.0
1806,1.6425513926776603e-07,0.0
1807,2.135216305987342e-07,0.0
1808,3.489753863661349e-07,0.0
1809,2.756017205562955e-07,0.0
1810,2.363527977777835e-07,0.0
1811,3.6854028939714567e-07,0.0
1812,4.267533113555544e-07,0.0
1813,2.4156230171712423e-07,0.0
1814,1.7621391412703247e-07,3.1466771410748606e-09
1815,3.2096960111971384e-07,0.0
1816,4.959672210702593e-07,0.0
1817,2.522134935345477e-07,0.0
1818,2.813397803613782e-07,1.1921177378582115e-09
1819,2.546358294219786e-07,0.0
1820,2.7530236756945214e-07,0.0
1821,2.0709126091755792e-07,0.0
1822,3.398683645627898e-07,0.0
1823,4.882047340837303e-07,0.0
1824,3.023179395711395e-07,4.210556348027694e-09
1825,2.888185297589274e-07,1.7610886082763955e-09
1826,3.576041787134443e-07,0.0
1827,2.5624019173164925e-07,0.0
1828,3.4029238227262226e-07,9.172301251858528e-10
1829,4.2265756683423916e-07,0.0
1830,2.974498249930235e-07,1.0436835840010872e-09
1831,2.946737971409874e-07,0.0
1832,4.383709959476789e-07,0.0
1833,5.189465461796772e-07,1.1583628500844156e-09
1834,3.4071037724459075e-07,0.0
1835,4.0462519734774105e-07,0.0
1836,4.509623268145191e-07,2.016224964762614e-09
1837,5.114049805854393e-07,1.3915781860163179e-09
1838,4.1597145616911746e-07,1.2624323808552163e-09
1839,6.35525085890265e-07,0.0
1840,4.4396729736995155e-07,0.0
1841,4.6741593262566994e-07,0.0
1842,4.04508388118785e-07,0.0
1843,5.079943405927878e-07,0.0
1844,4.544528633410039e-07,0.0
1845,4.871539065476327e-07,0.0
1846,4.1391324367978655e-07,0.0
1847,4.185141433410422e-07,0.0
1848,4.030656070574956e-07,0.0
1849,5.354446133143398e-07,0.0
1850,4.1684435014843757e-07,0.0
1851,3.766472331800941e-07,0.0
1852,4.186280719853386e-07,0.0
1853,3.744401331218228e-07,0.0
1854,3.0134853934438155e-07,0.0
1855,3.614024244313896e-07,0.0
1856,3.085604831087885e-07,0.0
1857,3.168099457773188e-07,0.0
1858,3.205357820279531e-07,0.0
1859,3.1775161080105363e-07,5.092173349652285e-10
1860,3.3321898651461623e-07,4.577183909670879e-10
1861,2.749406818880473e-07,0.0
1862,2.760489586917103e-07,0.0
1863,3.2265250871077455e-07,0.0
1864,3.0350628155151327e-07,0.0
1865,3.0688625868302566e-07,0.0
1866,3.561628514892057e-07,0.0
1867,2.562284500129408e-07,0.0
1868,2.5390953117820914e-07,0.0
1869,2.3685068195611336e-07,0.0
1870,2.8899606308030457e-07,0.0
1871,2.8252331540912223e-07,0.0
1872,2.64268726568595e-07,0.0
1873,3.3461764692432894e-07,0.0
1874,3.202390500001151e-07,0.0
1875,2.408762899697159e-07,0.0
1876,2.6118783247319755e-07,0.0
1877,2.6903949634782265e-07,6.184815992682502e-10
1878,3.5147495380805083e-07,0.0
1879,2.55369798862759e-07,6.10932526790009e-10
1880,2.5928099334215915e-07,6.417846254436199e-10
1881,2.398542626735889e-07,0.0
1882,2.4891141303662323e-07,0.0
1883,2.8437025501037994e-07,0.0
1884,2.6208736603194893e-07,6.601696966868076e-10
1885,2.5524716767977296e-07,0.0
1886,4.1302168496404335e-07,6.453463874400711e-10
1887,2.7356194121086475e-07,0.0
1888,2.6250144835593403e-07,0.0
1889,2.8381070227290195e-07,0.0
1890,3.080561583601593e-07,0.0
1891,3.065999781837192e-07,0.0
1892,3.3661910570081943e-07,6.268512375839919e-10
1893,3.1469507943970854e-07,0.0
1894,2.999532626724033e-07,0.0
1895,4.02645318642314e-07,0.0
1896,3.0723520905162616e-07,0.0
1897,2.517140242908056e-07,0.0
1898,3.202628796605822e-07,1.13167097914868e-09
1899,3.0788611304899405e-07,1.1055156790007459e-09
1900,3.457241364301922e-07,0.0
1901,2.827901864344007e-07,1.676621730339889e-09
1902,2.9265292644797825e-07,4.910283846193408e-10
1903,2.862116745827592e-07,5.400220270956879e-10
1904,2.977542230553354e-07,1.6123875568041512e-09
1905,3.2203136557384937e-07,1.0321518084666081e-09
1906,3.0042038612343447e-07,0.0
1907,3.065134617785681e-07,0.0
1908,2.7307323913206005e-07,4.4202499438483756e-09
1909,2.3764248185953463e-07,1.6502950672681038e-09
1910,2.2071342020701934e-07,0.0
1911,2.851720566354743e-07,0.0
1912,2.2660981902067334e-07,1.0418842455450772e-09
1913,2.9007354140908603e-07,1.060597942803554e-09
1914,3.1273792622243946e-07,1.3393487430235496e-09
1915,1.9673872431180683e-07,0.0
1916,2.329341886042613e-07,0.0
1917,2.7745054276273606e-07,1.0966424435210342e-09
1918,3.779017720972888e-07,1.1486376294556067e-09
1919,2.633444605160129e-07,0.0
1920,2.4685474775409944e-07,0.0
1921,2.764052838277742e-07,0.0
1922,2.8036153909560824e-07,0.0
1923,3.089240911968716e-07,3.1847844361720945e-09
1924,2.900615425627251e-07,0.0
1925,3.6733915020903396e-07,0.0
