year,véritables_ADJ oeufs_NOUN,véritables_ADJ jeux_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,0.0,4.7623651688866175e-09
1802,1.7902721083373763e-08,2.2378401354217203e-09
1803,2.7304748684287006e-08,0.0
1804,2.4718509461507665e-09,9.887403784603066e-09
1805,1.7057265822018053e-08,0.0
1806,0.0,1.4408345627714425e-08
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,3.506390555685357e-08
1816,0.0,6.952811659743929e-09
1817,0.0,1.8682481339737933e-08
1818,0.0,1.4305412854298538e-08
1819,5.175524897538253e-09,1.0351049795076506e-08
1820,2.3732962262101864e-09,5.933240565525466e-09
1821,0.0,7.88919063410276e-09
1822,0.0,1.0025615893027862e-08
1823,0.0,6.917880934764753e-09
1824,5.052667617633233e-09,1.1789557774477544e-08
1825,0.0,8.805443485471187e-09
1826,8.807984341885344e-10,6.1655889282974385e-09
1827,0.0,9.217273166939322e-09
1828,3.668920500743411e-09,3.668920500743411e-09
1829,0.0,3.429270423183084e-09
1830,0.0,5.218417697960831e-09
1831,1.5591206103948707e-09,2.3386808933878456e-08
1832,0.0,9.470978667991403e-09
1833,0.0,2.7800709290204395e-08
1834,6.534171426153534e-09,2.14694217959277e-08
1835,0.0,6.050470346963266e-09
1836,6.72075017860152e-09,1.1425274948351216e-08
1837,0.0,6.957891152126194e-09
1838,1.2624323808552163e-09,5.049729523420865e-09
1839,6.9914751765765e-10,9.788065469251706e-09
1840,0.0,8.280594876453051e-09
1841,6.420548537278137e-10,1.3483152372373297e-08
1842,6.708265054555795e-10,9.391571076378114e-09
1843,1.7720733769266417e-09,1.063243981747064e-08
1844,5.488561272137815e-10,1.756339607084101e-08
1845,5.580227946389016e-10,1.1160455892778032e-09
1846,5.854501328173001e-10,8.196302303531411e-09
1847,2.6966118227278457e-09,1.4022381478184798e-08
1848,8.04522137798358e-09,1.206783295515379e-08
1849,5.02764896381791e-09,1.0893239199560867e-08
1850,3.394498016007219e-09,4.073397619208663e-09
1851,2.579775504329973e-09,7.739326512989919e-09
1852,2.6042181744401205e-09,1.9531636308300904e-09
1853,5.971931837933653e-10,5.971931837933653e-09
1854,5.195664454227256e-10,5.195664454227256e-10
1855,0.0,3.714855978387277e-09
1856,5.177189232874468e-10,7.248064815001953e-09
1857,0.0,2.636014961865385e-08
1858,0.0,3.4255731584664773e-09
1859,1.018434669930457e-09,1.5785737161877478e-08
1860,0.0,2.746310290291376e-09
1861,9.431927461278633e-10,3.772770984511453e-09
1862,4.517986262886353e-10,2.1686334505943705e-08
1863,0.0,0.0
1864,0.0,1.3904710605139314e-08
1865,4.706844358715045e-10,8.943004559114343e-09
1866,0.0,1.6543083347642096e-08
1867,4.85281148598915e-10,8.73506067478047e-09
1868,0.0,1.3831646938911035e-08
1869,0.0,1.660396442559886e-08
1870,5.734048791339319e-10,8.601073631098188e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,6.652073114565837e-09
1873,1.1972008939764578e-09,1.6760813181804224e-08
1874,1.7923826867161097e-09,1.732636717433067e-08
1875,5.721527140956084e-10,1.3731664694205392e-08
1876,0.0,8.464420275799966e-09
1877,0.0,1.48435581603934e-08
1878,0.0,9.662541822219595e-09
1879,0.0,1.8938909107646396e-08
1880,6.417846254436199e-10,2.5671385017744797e-09
1881,0.0,8.367009307619355e-09
1882,1.9966155395678697e-09,8.652000893505374e-09
1883,6.319338941018771e-10,6.319338829996468e-09
1884,0.0,1.5844072720483382e-08
1885,0.0,7.090199094506033e-09
1886,0.0,1.7424351739236954e-08
