year,anciennes_ADJ joies_NOUN
1922,1.0329110011753073e-08
1923,0.0
1924,1.289162443462999e-09
1925,4.399271169575059e-09
1926,6.687683296036084e-09
1927,4.4596899506643695e-09
1928,5.713020723163709e-09
1929,1.3368487650211591e-08
1930,4.201441416995522e-09
1931,3.4216069977333063e-09
1932,1.0959536611565568e-09
1933,1.0323596200123575e-08
1934,2.3963160344919743e-09
1935,5.98414207075848e-09
1936,3.6374143697059935e-09
1937,1.2591118370153254e-08
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,0.0
1946,1.1136883415474585e-08
1947,5.960435700558264e-09
1948,1.7395020535104777e-08
1949,3.9268033269479474e-09
1950,3.190608444114673e-09
1951,8.529121409139861e-09
1952,2.1089607837865287e-09
1953,3.232148326759443e-09
1954,1.07497895029951e-08
1955,4.6928039232341234e-09
1956,5.232684952005684e-09
1957,1.7670075402875796e-09
1958,4.1361216673863055e-09
1959,3.8753737996444215e-09
1960,3.460416619915918e-09
1961,8.33779090214648e-09
1962,2.5367825617905737e-09
1963,3.879631726988464e-09
1964,1.1559539991878864e-08
1965,3.2832261354087677e-09
1966,1.1078149508847446e-09
1967,1.9721342336964653e-09
1968,4.4914158503495116e-10
1969,4.087581828571274e-09
1970,5.978342709767048e-09
1971,5.138397263237948e-09
1972,1.5390440033513642e-09
1973,3.859242703185828e-09
1974,3.937900228123681e-09
1975,1.7134440533084216e-09
1976,6.2848797277581525e-09
1977,1.7630346071939584e-09
1978,1.7821774056514528e-09
1979,2.3407893401383717e-09
1980,1.1370301367108482e-09
1981,1.2651099057237047e-09
1982,6.828252629986764e-09
1983,2.5261264191556165e-09
1984,5.219107812592938e-09
1985,2.4062232206745193e-09
1986,1.7983456945813714e-09
1987,1.8332451112712533e-09
1988,2.99827696004229e-09
1989,1.6464366536794728e-09
1990,7.083246433836621e-09
1991,5.861465202094962e-10
1992,5.509944167592096e-10
1993,2.7696036575264316e-09
1994,5.802419433820205e-09
1995,5.422450821690461e-10
1996,2.135236876199542e-09
1997,9.58978896292706e-10
1998,2.3840645013706308e-09
1999,9.140402323914998e-10
2000,0.0
2001,1.3143635069212678e-09
2002,1.752488598683044e-09
2003,2.083461403401543e-09
2004,1.3214374039449694e-09
2005,9.007499190971657e-10
2006,0.0
2007,1.997239706952314e-09
2008,3.8316958494988285e-09
2009,2.384096253749135e-09
2010,2.8342759250676863e-09
2011,1.911985902935953e-09
2012,3.063827413996023e-09
2013,1.9523875849358774e-09
2014,2.815078836704288e-09
2015,3.768178213903184e-09
2016,5.178350193091319e-09
2017,2.7671724911471074e-09
2018,3.0977600484760615e-09
2019,4.08158040698936e-09
