year,bons_ADJ ans_NOUN,bons_ADJ gens_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,2.2378401354217203e-08
1803,0.0,1.1702034896643454e-08
1804,0.0,4.943701892301533e-09
1805,0.0,1.421438877713399e-08
1806,0.0,5.76333825108577e-09
1807,0.0,2.8469551160981155e-09
1808,0.0,1.8128591960930862e-08
1809,0.0,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,1.0668832928217853e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,4.670620334934483e-09
1818,0.0,0.0
1819,1.035105001712111e-09,1.1386155307491208e-07
1820,0.0,7.238553223487543e-08
1821,0.0,0.0
1822,2.606660132187244e-08,1.0025615893027862e-08
1823,0.0,0.0
1824,2.7789671008804362e-08,2.4421226818560626e-08
1825,2.641632912414593e-09,1.1799293986314296e-07
1826,8.807984341885344e-10,1.6735169694470642e-08
1827,9.217273055917019e-10,2.3043183361437514e-08
1828,6.420610709767516e-09,5.503380862137419e-09
1829,0.0,8.57317605795771e-10
1830,1.0436835840010872e-09,1.3567886369969528e-08
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,0.0
1833,0.0,1.0425265983826648e-08
1834,0.0,1.3068342852307069e-08
1835,7.563087933704082e-10,6.201732105637348e-08
1836,5.376600054063374e-09,4.570110045953868e-08
1837,0.0,4.940102726891382e-08
1838,7.574594285131298e-09,3.1560809077291196e-08
1839,7.690622361167243e-09,2.4470162784950844e-08
1840,0.0,2.0383003729307347e-08
1841,0.0,1.6693427085101575e-08
1842,0.0,1.677066263638949e-08
1843,5.906911071384968e-10,6.497602011990011e-09
1844,0.0,5.488561216626664e-09
1845,0.0,6.138250796539069e-09
1846,1.7563503984519002e-09,5.854501328173001e-09
1847,0.0,2.1572894581822766e-08
1848,1.287235473768078e-08,4.82713291560799e-09
1849,0.0,6.703531951757213e-09
1850,6.788996032014438e-09,6.788996032014438e-09
1851,1.2898877521649865e-09,7.094382858952031e-09
1852,6.510545436100301e-10,1.4323200403509873e-08
1853,5.971931837933653e-10,1.0749477752369785e-08
1854,2.5978321716024766e-09,1.5586992863081406e-08
1855,5.837630823180007e-09,3.714855978387277e-09
1856,1.5531567143511893e-09,1.5531566865956137e-08
1857,1.9526036343364694e-09,1.6597130780837688e-08
1858,0.0,5.872411001917044e-09
1859,2.036869339860914e-09,1.018434669930457e-08
1860,4.577183909670879e-10,7.781213007262977e-09
1861,1.4147891747029462e-09,1.4147891747029462e-09
1862,2.2589932147099034e-09,2.2589931314431766e-09
1863,1.4983863039219614e-09,1.2486552236623538e-08
1864,1.9178911792039344e-09,1.9178911792039344e-09
1865,0.0,4.706844358715045e-10
1866,9.731225603104576e-09,1.216403244796993e-08
1867,3.88224918879132e-09,1.261730986357179e-08
1868,9.87974813071446e-10,2.0253484223076157e-08
1869,4.883519144627257e-10,1.3185501579471293e-08
1870,1.1468097582678638e-09,6.307453670473251e-09
1871,8.496941816815706e-09,1.6993883633631413e-08
1872,3.0236697590169115e-09,1.4513614310374123e-08
1873,2.9930022904522957e-09,7.781805422268917e-09
1874,2.9873046258899194e-09,8.961913877669758e-09
1875,5.721527140956084e-10,1.3159512590732447e-08
1876,0.0,9.069021977836655e-09
1877,6.184815992682502e-10,5.6281827198745304e-08
1878,2.4156354694326865e-09,4.831270938865373e-09
1879,1.0385853066452455e-08,5.498392852132383e-09
1880,6.417846254436199e-09,9.626769825743509e-09
1881,0.0,2.091752193678076e-08
1882,0.0,7.320923423037584e-09
1883,4.423537092179686e-09,1.2006744043446815e-08
1884,6.601696966868076e-10,8.582206056928499e-09
1885,6.445635691854079e-10,2.127059772760731e-08
1886,0.0,9.680196200179125e-09
1887,1.9586774424595887e-09,5.223139698529167e-09
1888,6.340614699951175e-10,6.340614699951175e-09
1889,0.0,6.891650361495749e-09
1890,6.554386478008212e-10,1.3764211992395303e-08
1891,0.0,1.9122659011827636e-09
1892,0.0,5.014809900671935e-09
1893,0.0,8.005941687372342e-09
1894,1.2603078580752936e-09,8.192000855444803e-09
1895,6.018614495673091e-10,5.416753268150387e-09
1896,0.0,2.5357223876198987e-08
1897,3.4960281336537946e-09,1.1653427112179315e-09
1898,5.6583548957434e-10,2.8291773368493978e-09
1899,2.2110313580014918e-09,9.949641111006713e-09
1900,2.07642125715779e-09,5.710158568206225e-09
1901,5.588738916095792e-10,3.912117296778206e-09
1902,1.9641135384773634e-09,1.9641135384773634e-09
1903,1.6200660812870638e-09,0.0
1904,1.6123875568041512e-09,4.299700151477737e-09
1905,2.580379465655369e-09,1.5482277682110634e-09
1906,5.144184522798412e-10,2.572092261399206e-09
1907,0.0,1.5428529565042481e-09
