year,plusieurs_DET iles_NOUN
1800,3.772997292372793e-08
1801,3.5717738544605027e-08
1802,4.2518962573012686e-08
1803,4.8758479920252285e-08
1804,5.6852570651244605e-08
1805,4.264316544322355e-08
1806,2.881669125542885e-08
1807,3.9857373401730456e-08
1808,3.852325791697808e-08
1809,3.6144488291256494e-08
1810,5.616304221689461e-08
1811,6.267691565753353e-08
1812,2.1337665856435706e-08
1813,2.0130191291656274e-08
1814,1.8880061958270744e-08
1815,6.473336511270134e-08
1816,3.7081662185300956e-08
1817,3.113746771532533e-08
1818,2.2650237685439834e-08
1819,1.7596785029105888e-08
1820,5.933240565525466e-08
1821,2.0709125858608957e-08
1822,3.8097340393505874e-08
1823,2.8659791428964354e-08
1824,5.642145595174952e-08
1825,5.547428960639422e-08
1826,5.7251897223054016e-08
1827,5.253845775099464e-08
1828,4.769596506637441e-08
1829,8.144517060770795e-08
1830,6.36646975138433e-08
1831,1.8709447990872263e-08
1832,6.764984983309574e-08
1833,1.8881314556296047e-07
1834,6.627516691004587e-08
1835,6.277362984974388e-08
1836,3.427582545567631e-08
1837,6.331680624249714e-08
1838,7.385229161549489e-08
1839,6.571986554959608e-08
1840,7.452535866203647e-08
1841,7.961480319451653e-08
1842,4.494537542143462e-08
1843,5.670634461996116e-08
1844,5.762989474522584e-08
1845,6.361459825576787e-08
1846,5.1519611243833197e-08
1847,5.3932235566378495e-08
1848,4.58577624762313e-08
1849,4.1897074698482584e-08
1850,6.856885992334583e-08
1851,4.385618246338652e-08
1852,4.882909210301989e-08
1853,6.808002450675588e-08
1854,4.98783807589831e-08
1855,4.139410947345823e-08
1856,3.20985731327994e-08
1857,2.782460128969433e-08
1858,2.8383320527236577e-08
1859,2.291478007343528e-08
1860,2.1512764236675253e-08
1861,2.735258886055192e-08
1862,2.3945328053720516e-08
1863,2.347471755870245e-08
1864,2.397363974004918e-08
1865,1.7415324904401785e-08
1866,2.773399376820862e-08
1867,1.4073153309368536e-08
1868,1.7783546413241424e-08
1869,1.3185502134582805e-08
