year,deux_DET îles_NOUN,deux_DET iles_NOUN
1800,7.483111250650154e-07,3.45858084394024e-08
1801,3.9765748249820376e-07,1.904946067554647e-08
1802,4.31903146136392e-07,1.5664880947952042e-08
1803,4.349256375046906e-07,5.851017448321727e-09
1804,5.166168648429448e-07,3.707776485839531e-08
1805,2.3595885068061762e-07,1.421438877713399e-08
1806,2.5935023462153595e-07,2.305335300434308e-08
1807,3.843389411173348e-07,1.4234775580490577e-08
1808,5.982435360429861e-07,2.7192888385485503e-08
1809,4.3599290422413617e-07,6.7770917766551975e-09
1810,2.316725460360658e-07,5.616304044053777e-08
1811,3.0586337373961214e-07,1.2535384286138651e-08
1812,2.1337665412346496e-07,1.0668832484128643e-08
1813,5.262607203349035e-07,2.0130191291656274e-08
1814,1.9194729983240677e-07,1.5733386149463513e-08
1815,2.859056831283624e-07,2.697223555614414e-09
1816,3.963102663817608e-07,1.3905623319487859e-08
1817,2.117347893682009e-07,7.784366928831332e-09
1818,1.7285707087921764e-07,8.34482416500748e-09
1819,3.0535596629022166e-07,2.070209959015301e-08
1820,4.509262723217944e-07,1.5426425470366212e-08
1821,2.6231558702960456e-07,1.1833786284221048e-08
1822,1.6442010064565693e-07,1.0025615893027862e-08
1823,2.7078562614413215e-07,3.557767380701904e-08
1824,2.2147527012350565e-07,2.189489389792243e-08
1825,2.395080560546603e-07,1.937197424695114e-08
1826,3.44392194762122e-07,3.082794441944259e-08
1827,2.3872736854002596e-07,2.3964910667029216e-08
1828,2.9901702625068083e-07,1.7427372100975447e-08
1829,3.369258259056096e-07,4.115124341286247e-08
1830,2.5465880226782645e-07,2.5048406682159907e-08
1831,3.3365179863409367e-07,7.795603274018958e-09
1832,1.7994858581005246e-07,2.841293600397421e-08
1833,1.167629784859514e-06,7.529358647673234e-08
1834,4.0885244345645333e-07,3.360431177767964e-08
1835,3.705913158569274e-07,4.235329242874286e-08
1836,2.2044059821979545e-07,2.4194700021240578e-08
1837,3.298040418542314e-07,2.991893077730623e-08
1838,2.196632369333429e-07,2.335499993399992e-08
1839,2.754641155178206e-07,1.3283802724473048e-08
1840,2.458699883689519e-07,4.1402977490889725e-08
1841,2.7929387425018604e-07,2.1829865026745665e-08
1842,2.8040548016861067e-07,1.9453968658211807e-08
1843,2.7230861343596757e-07,4.0757687003178944e-08
1844,2.1350503587314051e-07,2.0307677539577185e-08
1845,2.0479436502185422e-07,2.4553003186156275e-08
1846,2.534999152814521e-07,3.21997570829069e-08
1847,1.763584132064011e-07,2.7505441480002446e-08
1848,2.3974761276246426e-07,2.976732055293141e-08
1849,1.5166740441330262e-07,3.351766042491988e-08
1850,1.8601849305355245e-07,2.4440385715251978e-08
1851,2.2831012813639973e-07,1.7413484432182713e-08
1852,2.2656698561718258e-07,2.9948508117882966e-08
1853,1.9528216643749374e-07,2.7470886676539408e-08
1854,1.5638950401353213e-07,2.805658755322682e-08
1855,2.4199632520094383e-07,3.449509122788186e-08
1856,1.6152830717430788e-07,2.1744194667050465e-08
1857,1.791513866145067e-07,2.001418675234845e-08
1858,9.053300509265227e-08,1.761723378290725e-08
1859,2.388229241034878e-07,1.78226069458276e-08
1860,1.32280611353508e-07,1.1442959996221802e-08
1861,1.9052492827853484e-07,1.1318312787000906e-08
1862,1.572259273885379e-07,1.6264750907213354e-08
1863,2.4823265132312144e-07,2.0477945228414285e-08
1864,1.7021283538198873e-07,4.794727948009836e-09
1865,1.8450830108207583e-07,1.4591218067128153e-08
1866,1.7078301617345915e-07,3.649209645573137e-08
1867,1.7518649642056516e-07,1.4073153309368536e-08
1868,1.0472533151784091e-07,9.38576083520104e-09
1869,1.762950416761555e-07,8.30198221279943e-09
1870,1.2614906896857292e-07,5.160643912205387e-09
1871,1.072738911034321e-07,1.4869647735338276e-08
1872,1.0824737595171996e-07,1.3908880824864411e-08
1873,1.7179833156077962e-07,1.3169209722718733e-08
1874,9.977597548171957e-08,8.961913544602851e-09
1875,1.5333693204055976e-07,8.01013810836082e-09
1876,1.8379885036168275e-07,1.2092029821886285e-08
1877,2.0719134230517966e-07,9.27722387800145e-09
1878,1.5158112359747733e-07,1.992899334446463e-08
1879,1.6678458258923e-07,1.527331294770562e-08
1880,1.578790174150413e-07,7.059630657835214e-09
1881,1.3945015553407103e-07,1.743126931685879e-08
1882,1.5240832507146251e-07,1.0648616211028639e-08
1883,1.6619861709088468e-07,1.1374810038322636e-08
1884,2.3039922325551743e-07,2.8387296957532726e-08
1885,1.527615696161888e-07,1.0313017162477678e-08
1886,1.1938907817921063e-07,2.452316305578961e-08
1887,1.8803302270775646e-07,1.893388101859017e-08
1888,1.6295379889896822e-07,2.409433608185907e-08
1889,1.8544805158171584e-07,2.1927978266500503e-08
1890,1.8876632701392282e-07,1.4419650584684973e-08
1891,1.262095494780624e-07,1.2748439637277897e-08
1892,1.2411654815025486e-07,2.0059238936553925e-08
1893,2.007643775669976e-07,3.3871290439080326e-08
1894,1.2288001727256415e-07,1.8274463942091757e-08
1895,1.3602068182905214e-07,1.865770427045277e-08
1896,1.4978454121461482e-07,7.666137447071009e-09
1897,1.0138481565391544e-07,1.0488084623005989e-08
1898,1.024162261664685e-07,2.150174893689183e-08
1899,1.2547602956658466e-07,8.844125432005967e-09
1900,1.287381148351585e-07,2.1283317330755835e-08
1901,1.1065703026114093e-07,1.6207343189744705e-08
1902,1.031159615472177e-07,9.820567470342212e-09
1903,1.2582512542991253e-07,1.944079364157858e-08
1904,1.1770429342305988e-07,1.9886113200584532e-08
1905,1.2747074240593292e-07,1.23858218126216e-08
1906,1.368353057529248e-07,1.9547901686234326e-08
1907,8.177120625063594e-08,9.257117905558943e-09
1908,1.055948657402439e-07,5.893666887857307e-09
1909,8.691554365114484e-08,3.850688656825696e-09
1910,9.726354033290363e-08,8.550640973048473e-09
1911,1.0853562937285233e-07,1.6493159393782264e-08
1912,9.689523627898211e-08,5.2094213387476884e-09
1913,1.2037786678575912e-07,5.833288574397244e-09
1914,7.969124848905551e-08,8.036092680185902e-09
1915,6.950649467096781e-08,1.1780761699498044e-08
1916,1.1976333436081177e-07,1.3184954461564757e-08
1917,8.444147003849878e-08,8.773139770212879e-09
1918,9.189101213280537e-08,6.89182577673364e-09
1919,6.721729267633592e-08,6.445493860862683e-09
1920,8.783788763011557e-08,9.086678076641874e-09
1921,6.739745006534292e-08,3.0290989716519334e-09
1922,1.1140682276700176e-07,8.115729144275718e-09
1923,4.246379381456222e-08,3.1847844361720945e-09
1924,6.83256118350073e-08,5.156649773851996e-09
1925,1.0558250940206904e-07,1.5397449537601915e-08
1926,6.353298909189675e-08,7.802296808634424e-09
1927,8.250426319911242e-08,4.4596899506643695e-09
1928,1.0968999353266895e-07,5.713020723163709e-09
1929,8.800920880958074e-08,1.0026365737658693e-08
1930,9.033098891109148e-08,1.2604324250986565e-08
1931,1.0949142570382264e-07,7.983749661377715e-09
1932,1.1726704063352855e-07,9.863582839386709e-09
1933,9.520649735250686e-08,1.8353059516584835e-08
1934,1.72534756259779e-07,2.3963160344919743e-08
1935,1.1250187181843785e-07,1.3165112555668657e-08
1936,1.2003467553256542e-07,1.9399543305098632e-08
1937,1.1835650814973064e-07,8.813782481631449e-09
1938,9.853562854544862e-08,1.5558257460135394e-08
1939,9.482311202901883e-08,1.5294050470515685e-09
1940,1.0396709626547818e-07,2.0286263113789005e-08
1941,1.0625409219144899e-07,1.1806010391524069e-08
1942,7.282108316353231e-08,9.102635090130207e-09
1943,7.258088219330716e-08,5.806470415592457e-09
1944,1.3816700850100005e-07,1.2852744646352221e-08
1945,1.1763921747842687e-07,4.357008087652048e-09
1946,1.030161707049615e-07,2.7842208538686464e-09
1947,8.463818335080475e-08,9.536696765621855e-09
1948,7.39288372741953e-08,6.523132700664291e-09
1949,1.128955959828204e-07,3.9268033269479474e-09
1950,9.99723981376377e-08,9.571825110299415e-09
1951,1.066140189465159e-07,7.462981232997379e-09
