year,ses_DET iles_NOUN,ses_DET gilles_NOUN
1800,2.2009150946189493e-08,6.288328968651058e-09
1801,1.6668277424969347e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,5.070882092006457e-08,0.0
1804,1.7302956623055366e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,2.562259648897225e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,6.7770915546105925e-09,0.0
1810,1.6380887313260928e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,1.8880061958270744e-08,0.0
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,9.341240447824362e-09,3.113746815941454e-09
1818,1.192117760062672e-08,1.1921177378582115e-09
1819,2.0702100700376036e-08,2.070210003424222e-09
1820,9.493184904840746e-09,0.0
1821,1.676452932031225e-08,1.1833785507064931e-08
1822,2.2056354964661296e-08,1.0025615893027862e-09
1823,2.2730180404550993e-08,9.882686891060644e-10
1824,1.6842225392110777e-08,2.5263338088166165e-09
1825,1.6730341556581152e-08,5.283265824829186e-09
1826,2.025836387531399e-08,7.0463874735082754e-09
1827,1.0139000472531023e-08,1.8434546111834038e-09
1828,1.742737271159811e-08,3.668920500743411e-09
1829,2.0575622650120806e-08,1.714635211591542e-09
1830,3.5485241411947754e-08,1.0436835840010872e-09
1831,1.2472964883158966e-08,4.677361609140007e-09
1832,2.8412935226818092e-08,1.7588959622116818e-08
1833,1.2162810070215357e-07,1.1583628500844156e-09
1834,4.1071934298031465e-08,0.0
1835,4.0084366048631637e-08,7.563087933704082e-10
1836,3.6964125316174545e-08,6.720750067579218e-10
1837,2.9223142350431885e-08,2.0873671680021744e-09
1838,3.661053993297969e-08,2.5248647617104325e-09
1839,3.07624906659143e-08,2.0974426639952526e-09
1840,5.541628994576442e-08,6.369688665408546e-10
1841,2.760835826620678e-08,0.0
1842,2.951636535186708e-08,0.0
1843,3.5441467149954775e-08,5.906911071384968e-10
1844,4.1713065890292e-08,5.488561272137815e-10
1845,2.9017185987356697e-08,0.0
1846,3.3956108591581824e-08,1.7563503984519002e-09
1847,2.8584084432736745e-08,1.0786447290911383e-09
1848,3.218088684420195e-08,8.045221711050488e-10
1849,4.022119171054328e-08,2.513824481908955e-09
1850,2.5119284430275002e-08,2.0366988096043315e-09
1851,2.8377531213763518e-08,0.0
1852,4.687592758401138e-08,6.510545436100301e-10
1853,3.1651238074914545e-08,1.1943863675867306e-09
1854,4.000661590897181e-08,1.0391328908454511e-09
1855,2.2819829581521844e-08,1.5920811335945473e-09
1856,3.2616293277332176e-08,5.177189232874468e-10
1857,2.2943092981009272e-08,9.763018171682347e-10
1858,2.3489644895846595e-08,9.787352039936081e-10
1859,2.8006954311265986e-08,1.018434669930457e-09
1860,1.876645416842848e-08,0.0
1861,1.8863854756023812e-08,9.431927461278633e-10
1862,3.252950192544901e-08,1.3553959066214816e-09
1863,2.6970953470595305e-08,0.0
1864,2.6850476286810476e-08,0.0
1865,1.7886008230050265e-08,4.706844358715045e-10
1866,9.244664644914025e-09,0.0
1867,2.4749338578544666e-08,0.0
1868,1.877152078222366e-08,0.0
1869,1.7092317228240006e-08,9.767038289254515e-10
1870,2.69500293192948e-08,5.734048791339319e-10
1871,2.6552943621638292e-08,0.0
1872,1.5118348350995348e-08,0.0
1873,2.933142162486746e-08,1.1972008939764578e-09
1874,2.0911131548562167e-08,0.0
1875,2.5746871634702018e-08,5.721527140956084e-10
1876,3.023007355551499e-08,6.04601479992084e-10
