year,les_DET ans_NOUN,les_DET gens_NOUN
1800,1.693132617219817e-05,3.8792701616330305e-05
1801,1.832796260714531e-05,4.0265798816108145e-05
1802,1.82630137715023e-05,4.080029975739308e-05
1803,1.89514466910623e-05,3.407047643122496e-05
1804,1.9670989786391146e-05,4.1979443267337047e-05
1805,1.4603862837248016e-05,4.1571400288376026e-05
1806,1.6134465113282204e-05,3.868640669679735e-05
1807,1.3924457562097814e-05,3.781895202337182e-05
1808,2.0578218027367257e-05,3.846660592898843e-05
1809,2.5804905817494728e-05,3.944945046896464e-05
1810,1.5220184650388546e-05,3.67727502634807e-05
1811,1.898358459584415e-05,4.309664973334293e-05
1812,1.2181139936728869e-05,3.583127363526728e-05
1813,1.2598624380188994e-05,4.357323859949247e-05
1814,1.43394081533188e-05,3.8729301650164416e-05
1815,1.360209807899082e-05,2.9264875593071338e-05
1816,1.250347304448951e-05,2.684712353584473e-05
1817,1.3660007425642107e-05,4.028565808766871e-05
1818,1.4607018783863168e-05,4.187551894574426e-05
1819,1.5006952708063181e-05,4.1278953631262993e-05
1820,1.4165018910716753e-05,4.90168740725494e-05
1821,1.4544709301844705e-05,4.869504391535884e-05
1822,1.308543414779706e-05,4.709733593699639e-05
1823,1.2178435099485796e-05,4.7176980842777994e-05
1824,1.1067026207456365e-05,5.061173033027444e-05
1825,1.3106901860737707e-05,5.7137638577842154e-05
1826,1.3817965736961924e-05,6.07469082751777e-05
1827,1.2623977454495616e-05,4.6616360123152845e-05
1828,1.181117204396287e-05,3.870711043418851e-05
1829,1.2647149560507387e-05,3.8223503906920087e-05
1830,1.240835445059929e-05,3.7213583709672093e-05
1831,1.045702174451435e-05,3.4026246567009366e-05
1832,1.1064808859373443e-05,3.608848828662303e-05
1833,1.223231174662942e-05,3.5902299259760184e-05
1834,1.3057141586614307e-05,3.4831802622647956e-05
1835,1.317868100159103e-05,4.277228708815528e-05
1836,1.1751231795642525e-05,4.3901282424485544e-05
1837,1.2489414075389504e-05,4.256350484865834e-05
1838,1.424023685103748e-05,5.017537478124723e-05
1839,1.132199486164609e-05,4.178315384706366e-05
1840,1.148263800132554e-05,3.702827552842791e-05
1841,1.129374504671432e-05,3.156791035507922e-05
1842,1.1474487109808251e-05,3.53143191205163e-05
1843,1.1633661415544339e-05,3.354830073476478e-05
1844,1.2247724043845665e-05,3.625469071266707e-05
1845,1.1073404493799899e-05,3.40650594807812e-05
1846,1.2638697626243811e-05,3.3779887644413975e-05
1847,1.2484773833421059e-05,3.075323911616579e-05
1848,1.2595599400810897e-05,3.198860645170498e-05
1849,1.1974183507845737e-05,2.8445600264603854e-05
1850,1.2649257769226097e-05,3.222532677682466e-05
1851,1.1113673281215597e-05,3.2483243785463856e-05
1852,1.1776274732255843e-05,3.065620489905996e-05
1853,1.1919975804630667e-05,3.494535599202209e-05
1854,1.1197176718269475e-05,3.57882574917312e-05
1855,1.1140853530378081e-05,3.6640153666667175e-05
1856,1.0548523277975619e-05,3.5415599541011034e-05
1857,1.0285827556799632e-05,4.313692124924273e-05
1858,9.45213560044067e-06,3.741753516806057e-05
1859,9.868123015621677e-06,3.711074259626912e-05
1860,1.0040510460385121e-05,3.640005616034614e-05
1861,9.688475984148681e-06,3.413178774280823e-05
1862,1.0097247468365822e-05,3.303235280327499e-05
1863,1.0330873919883743e-05,3.5874362311005825e-05
1864,9.519452760287095e-06,3.5757164368988015e-05
1865,9.946033060259651e-06,3.60426606675901e-05
1866,9.192115612677298e-06,3.57588505721651e-05
1867,9.765797585714608e-06,3.832896027233801e-05
1868,1.0073391422338318e-05,3.557894751793356e-05
1869,9.157086424238514e-06,3.660734728327952e-05
1870,9.029407010530122e-06,3.413708691368811e-05
1871,8.709364919923246e-06,3.309877547508222e-05
1872,9.156276064459234e-06,3.419286622374784e-05
1873,8.97002792044077e-06,3.131937342004676e-05
1874,1.0045110684586689e-05,3.875012043863535e-05
1875,9.419922207598574e-06,3.5980966458737385e-05
1876,9.910022527037654e-06,3.6794835978071205e-05
1877,9.389169463247526e-06,3.802115588769084e-05
1878,9.713874533190392e-06,3.593439032556489e-05
1879,1.0815949281095527e-05,4.433354206412332e-05
1880,9.620993296266533e-06,3.3964525300689274e-05
1881,9.83193331194343e-06,3.597395516408142e-05
1882,1.0076918442791793e-05,3.471848049230175e-05
1883,1.0116629709955305e-05,3.596588612708729e-05
1884,9.628574844100513e-06,3.387462720638723e-05
1885,9.615599083190318e-06,3.6865812489850214e-05
1886,9.386562851432245e-06,3.676538290164899e-05
1887,9.400998351338785e-06,3.2579986509517767e-05
1888,9.421519280294888e-06,3.5218944958614884e-05
1889,9.19220838113688e-06,3.396267993593938e-05
1890,9.003761078929529e-06,3.065027749471483e-05
1891,8.952591997513082e-06,3.219873497073422e-05
1892,8.901287401386071e-06,3.2265912977891276e-05
1893,8.342806722794194e-06,3.05315816149232e-05
1894,8.549928679713048e-06,3.1745894375490025e-05
1895,8.554859050491359e-06,3.387396600373904e-05
1896,8.641506610729266e-06,3.345030654600123e-05
1897,8.419600817433093e-06,3.173519553456572e-05
1898,8.237999281845987e-06,3.161888707836624e-05
1899,9.059148396772798e-06,3.155418107780861e-05
1900,8.995575626613572e-06,3.314850846436457e-05
1901,8.17911950434791e-06,3.1711621431895765e-05
1902,7.427295258821687e-06,2.810351770676789e-05
1903,8.568529665353708e-06,3.1675532227382064e-05
1904,8.498895113007165e-06,2.9872167488065315e-05
1905,8.56840779306367e-06,3.08128287542786e-05
1906,8.298084139823914e-06,3.249529891036218e-05
1907,8.477462870359886e-06,3.143048661513603e-05
1908,8.340030035469681e-06,3.2555633879383095e-05
1909,8.003380571608432e-06,3.1377059713122435e-05
1910,7.751690645818599e-06,3.196443458364229e-05
1911,7.850743713788688e-06,3.2959718737402e-05
1912,7.621904387633549e-06,3.060534936594195e-05
1913,7.231156814668793e-06,3.090158179475111e-05
1914,6.806570127082523e-06,3.0480229725071695e-05
1915,6.017613031872315e-06,2.7169970508111874e-05
1916,5.304746537149185e-06,2.882890248656622e-05
1917,5.152026005816879e-06,3.082552257183124e-05
1918,5.2573145694623236e-06,3.052849024243187e-05
1919,5.5311543292191345e-06,3.1658424177294364e-05
1920,5.472451903187903e-06,3.1055994440976065e-05
1921,5.203234650252853e-06,2.9816178539476823e-05
1922,5.073068223282462e-06,3.2994865705404663e-05
1923,5.827093900734326e-06,3.260582298025838e-05
1924,5.576916919380892e-06,3.322300517538679e-05
1925,5.7465481404506136e-06,3.5405334529059473e-05
1926,5.318937382980948e-06,3.4026931643893477e-05
1927,5.533360308618285e-06,3.9765941892255796e-05
1928,5.39766188012436e-06,3.1838663744565565e-05
1929,5.891046839678893e-06,3.428571517360979e-05
1930,5.328477982402546e-06,3.157383116558776e-05
1931,5.560111276281532e-06,2.967103591799969e-05
1932,5.027139650337631e-06,3.218706297047902e-05
1933,4.939267000736436e-06,2.9929251923022093e-05
1934,5.011895154893864e-06,3.1319851132138865e-05
1935,5.340248208085541e-06,3.0484416129183955e-05
1936,4.579504548019031e-06,2.779590840873425e-05
1937,4.5453934944816865e-06,2.946699487438309e-05
1938,4.676552634919062e-06,2.9682562399102608e-05
1939,4.670802809414454e-06,2.814105346260476e-05
1940,4.412262114783516e-06,2.8175083571113646e-05
1941,3.825147359748371e-06,3.5317680612934055e-05
1942,4.308580628276104e-06,3.5254506656201556e-05
1943,4.105174411961343e-06,3.636011661001248e-05
1944,3.6662454476754647e-06,3.529042351146927e-05
1945,3.224186002626084e-06,3.737441511475481e-05
1946,3.3104386147897458e-06,3.606122800192679e-05
1947,3.6847411593043944e-06,3.547889627952827e-05
1948,3.527927674440434e-06,3.231668642911245e-05
1949,3.9680348891124595e-06,3.07095647258393e-05
1950,4.111630914849229e-06,3.3733239433786366e-05
1951,4.114234798180405e-06,3.327636659378186e-05
1952,3.5504353945725597e-06,3.1753568691783585e-05
