year,ses_DET îles_NOUN,ses_DET iles_NOUN,ses_DET gilles_NOUN
1800,4.3389470505417194e-07,2.2009150946189493e-08,6.288328968651058e-09
1801,2.619300805140057e-07,1.6668277424969347e-08,0.0
1802,3.849085032925359e-07,1.7902721083373763e-08,0.0
1803,1.7553052944485614e-07,5.070882092006457e-08,0.0
1804,4.2268651512245015e-07,1.7302956623055366e-08,0.0
1805,2.5870187414511747e-07,1.1371510844071508e-08,0.0
1806,2.0459850702536642e-07,0.0,0.0
1807,1.7651121630990474e-07,2.562259648897225e-08,0.0
1808,2.7646103717415826e-07,1.3596443970698147e-08,0.0
1809,3.4337264054329353e-07,6.7770915546105925e-09,0.0
1810,1.8721014605205255e-07,1.6380887313260928e-08,0.0
1811,1.579458341893769e-07,2.2563691359778204e-08,0.0
1812,3.78743580053964e-07,1.8670457180292033e-08,0.0
1813,1.4091134414861983e-07,1.1502966579257645e-08,2.8757416448144113e-09
1814,3.618678761085903e-07,1.8880061958270744e-08,0.0
1815,2.6972236688571627e-07,5.394447111228828e-09,0.0
1816,2.2017236567251075e-07,4.6352077731626196e-09,0.0
1817,2.693390968033782e-07,9.341240447824362e-09,3.113746815941454e-09
1818,3.433298989552469e-07,1.192117760062672e-08,1.1921177378582115e-09
1819,1.8528379541749018e-07,2.0702100700376036e-08,2.070210003424222e-09
1820,5.684044559473023e-07,9.493184904840746e-09,0.0
1821,2.50481804964231e-07,1.676452932031225e-08,1.1833785507064931e-08
1822,1.965020715033461e-07,2.2056354964661296e-08,1.0025615893027862e-09
1823,2.9252754529807135e-07,2.2730180404550993e-08,9.882686891060644e-10
1824,2.560018250719054e-07,1.6842225392110777e-08,2.5263338088166165e-09
1825,3.4605392329467577e-07,1.6730341556581152e-08,5.283265824829186e-09
1826,4.095712813345642e-07,2.025836387531399e-08,7.0463874735082754e-09
1827,1.9448445698344585e-07,1.0139000472531023e-08,1.8434546111834038e-09
1828,3.0452039823103405e-07,1.742737271159811e-08,3.668920500743411e-09
1829,2.6919773238320843e-07,2.0575622650120806e-08,1.714635211591542e-09
1830,3.2354192147643346e-07,3.5485241411947754e-08,1.0436835840010872e-09
1831,3.0870588374476426e-07,1.2472964883158966e-08,4.677361609140007e-09
1832,3.1930727573126205e-07,2.8412935226818092e-08,1.7588959622116818e-08
1833,6.081404961832959e-07,1.2162810070215357e-07,1.1583628500844156e-09
1834,4.023182853529761e-07,4.1071934298031465e-08,0.0
1835,3.3504479546309085e-07,4.0084366048631637e-08,7.563087933704082e-10
1836,3.2326808785398953e-07,3.6964125316174545e-08,6.720750067579218e-10
1837,2.95710352204992e-07,2.9223142350431885e-08,2.0873671680021744e-09
1838,2.625859272242792e-07,3.661053993297969e-08,2.5248647617104325e-09
1839,2.1883318002124952e-07,3.07624906659143e-08,2.0974426639952526e-09
1840,3.337716814044711e-07,5.541628994576442e-08,6.369688665408546e-10
1841,3.2616385325923147e-07,2.760835826620678e-08,0.0
1842,2.455224952235824e-07,2.951636535186708e-08,0.0
1843,2.534064984516249e-07,3.5441467149954775e-08,5.906911071384968e-10
1844,2.5796238167785646e-07,4.1713065890292e-08,5.488561272137815e-10
1845,1.8637961129996938e-07,2.9017185987356697e-08,0.0
1846,2.335946014397905e-07,3.3956108591581824e-08,1.7563503984519002e-09
1847,2.389197959473677e-07,2.8584084432736745e-08,1.0786447290911383e-09
1848,2.60665183882125e-07,3.218088684420195e-08,8.045221711050488e-10
1849,2.5473421616517555e-07,4.022119171054328e-08,2.513824481908955e-09
1850,1.9144969520823452e-07,2.5119284430275002e-08,2.0366988096043315e-09
1851,2.3217979294720692e-07,2.8377531213763518e-08,0.0
1852,2.610728859764322e-07,4.687592758401138e-08,6.510545436100301e-10
1853,2.544043002927765e-07,3.1651238074914545e-08,1.1943863675867306e-09
1854,2.5614625798198176e-07,4.000661590897181e-08,1.0391328908454511e-09
1855,2.876360021275559e-07,2.2819829581521844e-08,1.5920811335945473e-09
1856,2.474696452203773e-07,3.2616293277332176e-08,5.177189232874468e-10
1857,2.3577688956777365e-07,2.2943092981009272e-08,9.763018171682347e-10
1858,2.1923669257795098e-07,2.3489644895846595e-08,9.787352039936081e-10
1859,2.378044952067171e-07,2.8006954311265986e-08,1.018434669930457e-09
1860,2.4945652743468827e-07,1.876645416842848e-08,0.0
1861,1.825077915462714e-07,1.8863854756023812e-08,9.431927461278633e-10
1862,2.3403169538416257e-07,3.252950192544901e-08,1.3553959066214816e-09
1863,2.0228214614448348e-07,2.6970953470595305e-08,0.0
1864,1.8555597591785045e-07,2.6850476286810476e-08,0.0
1865,2.1604415523235332e-07,1.7886008230050265e-08,4.706844358715045e-10
1866,1.6786365242271728e-07,9.244664644914025e-09,0.0
