year,les_DET iles_NOUN,les_DET gilles_NOUN
1800,1.3016840654245243e-06,6.288328968651058e-09
1801,1.776362196892478e-06,0.0
1802,1.4322177150916104e-06,4.475680270843441e-09
1803,1.2930749153650112e-06,1.950339223455444e-09
1804,1.5696252999575222e-06,2.4718509461507665e-09
1805,9.324638874375069e-07,1.7057266488151868e-08
1806,9.653591570568665e-07,8.645007376628655e-09
1807,1.5601314018454104e-06,3.701041606518629e-08
1808,1.2259460362429309e-06,1.5862518409903714e-08
1809,1.2447258184167254e-06,0.0
1810,1.2355869429825361e-06,4.680253518074551e-09
1811,1.7975740078668423e-06,2.5070767684098882e-09
1812,9.415245187938126e-07,2.6672082320544632e-09
1813,1.4234921295042113e-06,3.450889907163912e-08
1814,1.0446967912969285e-06,3.1466771410748606e-09
1815,1.1544116735873189e-06,2.697223555614414e-09
1816,9.919344758912985e-07,1.1588019432906549e-08
1817,1.0804701418010154e-06,3.892183553233508e-08
1818,9.250833867824326e-07,1.7881766067873173e-08
1819,7.701181243824351e-07,9.315945015409e-09
1820,1.1427421213738853e-06,1.5426425470366212e-08
1821,8.332957381895767e-07,4.141825171721791e-08
1822,1.1990636892278417e-06,1.804610860745015e-08
1823,1.305502955517568e-06,3.063633013944411e-08
1824,1.0374810957003433e-06,3.3684450784221553e-09
1825,1.7276279447031584e-06,1.5849797252442954e-08
1826,1.7334113504574589e-06,1.7615968683770689e-09
1827,1.2931834527663e-06,1.2904182056239222e-08
1828,1.4629820253020398e-06,1.834460272576166e-08
1829,2.082424478189182e-06,1.9718304600235825e-08
1830,1.3463518362399896e-06,8.349468672008697e-09
1831,1.0025145353864673e-06,3.1182412207897414e-09
1832,1.5789474296923345e-06,3.5177921464679685e-08
1833,3.2874338788957402e-06,5.791814250422078e-09
1834,1.6662138371259516e-06,4.573920087125316e-08
1835,1.8983350216217332e-06,5.294161553592858e-09
1836,1.582064548699691e-06,1.0753200108126748e-08
1837,1.9983063177519966e-06,6.957891041103892e-09
1838,2.006636307783083e-06,2.0830134062066463e-08
1839,2.2260856979983146e-06,8.389770322914103e-09
1840,2.1440371433811833e-06,1.592422194107712e-08
1841,1.8542543935851086e-06,4.494383976094696e-09
1842,1.5522925451705305e-06,2.683306021822318e-09
1843,2.031977416550035e-06,1.4767277289884362e-08
1844,1.69706311581308e-06,0.0
1845,1.697505346953676e-06,5.580227946389016e-10
1846,1.7926482769325958e-06,8.781752214304106e-09
1847,2.0273127852021844e-06,7.550513103637968e-09
1848,1.8849954379618339e-06,8.045221711050488e-10
1849,2.047929022808148e-06,7.54147322368226e-09
1850,1.8045151213286204e-06,2.0366988096043315e-09
1851,1.46402260980949e-06,1.2898877521649865e-09
1852,1.8815476305888978e-06,2.6042181744401205e-09
