year,elles_PRON eurent_VERB,elles_PRON jurent_VERB
1800,5.596612595581973e-07,0.0
1801,6.50062858653655e-07,4.7623651688866175e-09
1802,6.131681971055514e-07,2.0140561218795483e-08
1803,6.767677120933513e-07,9.75169611727722e-09
1804,5.289761020321748e-07,0.0
1805,5.799470415013275e-07,0.0
1806,5.187004390450056e-07,0.0
1807,5.580031938734464e-07,2.8469551160981155e-09
1808,6.798221932058368e-07,0.0
1809,6.167153401293035e-07,2.25903047379461e-08
1810,5.33548899284142e-07,0.0
1811,7.044885563800563e-07,1.0028306629550343e-08
1812,6.214595060782813e-07,0.0
1813,6.039057609541487e-07,2.8757416448144113e-09
1814,7.992560142611183e-07,9.440031423224582e-09
1815,6.473336640056004e-07,0.0
1816,5.446369186756783e-07,0.0
1817,7.410717444145121e-07,1.556873407970727e-09
1818,6.68778056933661e-07,7.152706427149269e-09
1819,6.086417272399558e-07,1.035105001712111e-09
1820,7.155487935506244e-07,0.0
1821,7.208747945242067e-07,8.875339130298698e-09
1822,7.97036463495715e-07,1.2030739071633434e-08
1823,8.153216697337484e-07,0.0
1824,7.646370505653977e-07,1.6842225392110777e-09
1825,6.331113695523527e-07,2.641632912414593e-09
1826,5.364062545254455e-07,2.025836387531399e-08
1827,5.816099388766816e-07,0.0
1828,6.209647978039357e-07,2.7516903755575584e-09
1829,6.944272570308385e-07,7.715858174606183e-09
1830,7.013553613433032e-07,1.0436835840010872e-09
1831,5.846702251233182e-07,9.354723218280014e-09
1832,5.520227546185197e-07,1.082397538265667e-08
1833,6.67216994543196e-07,1.1583628500844156e-09
1834,7.159584924920637e-07,7.467624518753269e-09
1835,6.723585102008656e-07,1.3613558280667348e-08
1836,6.270459991242205e-07,5.376600054063374e-09
1837,7.730216822210423e-07,3.478945576063097e-09
1838,7.328419968644084e-07,2.5248647617104325e-09
1839,7.250159796967637e-07,5.5931801412612e-09
1840,6.274143515838659e-07,1.2739377275305941e-08
1841,6.895669031337093e-07,1.4125206782011901e-08
1842,6.25210304860957e-07,3.3541325272778977e-09
1843,5.570216998762589e-07,5.906911182407271e-09
1844,6.1526772299203e-07,9.330554162634286e-09
1845,6.400521357363687e-07,9.48638723130557e-09
1846,6.533623491122853e-07,5.854501328173001e-09
1847,6.61209227814652e-07,7.011190739092399e-09
1848,7.015433425294759e-07,6.43617736884039e-09
1849,5.496896307022325e-07,1.6758829879393033e-09
1850,6.368078260265975e-07,9.504594444820214e-09
1851,5.836742218434665e-07,3.8696632564949596e-09
1852,6.289186700314531e-07,9.114764054629632e-09
1853,6.366079503550282e-07,4.777545470346922e-09
1854,6.525754372432857e-07,5.195664565249558e-09
1855,6.893711486100074e-07,1.0613874223963649e-08
1856,6.191918373588123e-07,1.1389816645390738e-08
1857,6.653496740227638e-07,1.0251168802710708e-08
1858,5.994753067284364e-07,4.893675908945738e-09
1859,9.104806224513595e-07,1.5276520048956854e-09
1860,5.59789611997985e-07,5.034902272882391e-09
1861,6.050581475847139e-07,1.650587266865955e-08
1862,6.284518860866228e-07,4.066187636597718e-09
1863,6.897571154240723e-07,1.048870368336452e-08
1864,6.137251915561137e-07,5.274200631788517e-09
1865,6.49544517727918e-07,6.589582102201064e-09
1866,6.529652551989784e-07,2.432806400776144e-09
1867,5.503088260638833e-07,1.455843445796745e-09
1868,6.723168581856953e-07,1.4819622196071691e-09
1869,6.465779165409913e-07,1.5627260818718014e-08
1870,6.175570632649396e-07,1.9495766334642894e-08
1871,5.533633284926509e-07,3.18635318130589e-09
1872,6.319469463278438e-07,6.047339295989218e-10
1873,5.02824391901413e-07,5.38740402289406e-09
1874,6.100076035409074e-07,1.1949218281515073e-08
1875,7.037478439997358e-07,1.602027577263243e-08
1876,5.779990317478223e-07,3.02300739996042e-09
1877,5.572519086172179e-07,3.710889595609501e-09
1878,5.743173261407719e-07,4.831270938865373e-09
1879,5.553376496436613e-07,5.498392630087778e-09
1880,4.999502323244087e-07,4.492492378105339e-09
1881,6.038191884272237e-07,1.743126937236994e-08
1882,6.449068195024665e-07,4.6587693702804245e-09
1883,5.763237140854471e-07,8.847074461915128e-09
1884,5.31436612050129e-07,1.5183903023796574e-08
1885,5.427225175935746e-07,7.090199316550638e-09
1886,5.666141333904307e-07,1.6133659963557534e-08
1887,5.503883357960149e-07,5.223139698529167e-09
1888,5.186622900055227e-07,1.268122939990235e-09
1889,5.38175243036676e-07,1.1903760199771796e-08
1890,4.6601688552527776e-07,6.554386478008212e-10
1891,4.5958125838296837e-07,5.099376032546843e-09
1892,4.425569812838148e-07,7.522214628963297e-09
1893,4.4463767778779584e-07,9.853466542697475e-09
1894,4.530806876346105e-07,2.0164925729204697e-08
1895,5.57323701855239e-07,4.814891596538473e-09
1896,4.658652983380307e-07,5.89702897624278e-10
1897,4.52152960406238e-07,2.330685422435863e-09
1898,5.381095604661823e-07,8.487532010548193e-09
1899,4.4828661316387297e-07,1.0502398950507086e-08
1900,4.978219863005506e-07,7.267474400052265e-09
1901,5.046631201821583e-07,6.706486699314951e-09
1902,3.952778442339877e-07,7.856454375954058e-09
1903,5.141009751241654e-07,1.2420506845245427e-08
1904,4.890908940069494e-07,1.2361637935498493e-08
1905,5.140116030588615e-07,1.9610884471887857e-08
1906,5.524854174154825e-07,7.716276839708769e-09
1907,4.3354170031761896e-07,2.0571372938427146e-09
1908,4.842629550694255e-07,6.875944702500192e-09
1909,4.7528497759685706e-07,3.3005901345362076e-09
1910,5.338806516874683e-07,1.0688301688155377e-08
