year,deux_DET oeufs_NOUN,deux_DET jeux_NOUN
1800,1.792173778270012e-07,6.288328791015374e-08
1801,1.5239568051939045e-07,6.667310969987739e-08
1802,1.1636768704192946e-07,1.5664880947952042e-07
1803,7.118738443168127e-07,9.75169611727722e-09
1804,1.8786066657838774e-07,1.2359254952798437e-08
1805,2.5585899399160894e-08,1.6772977939893963e-07
1806,2.305335300434308e-08,4.3225035106786436e-08
1807,3.701041606518629e-08,9.679647661187119e-08
1808,3.3991110370834576e-08,1.5862517965814504e-08
1809,2.710836710662079e-08,4.292158095609011e-08
1810,2.8081521108447305e-08,8.658469230482524e-08
1811,1.2535384286138651e-08,4.011322829455821e-08
1812,2.6672082320544632e-09,1.0668832484128643e-08
1813,4.3136124450171565e-08,2.300593315851529e-08
1814,1.2586708564299443e-08,3.776012658107675e-08
1815,4.0458352890127e-08,2.4275012222574333e-08
1816,1.622322720606917e-08,2.5493642752394408e-08
1817,9.029865566390072e-08,1.5568733857662664e-08
1818,1.2517236314124602e-07,7.510341681893351e-08
1819,4.140420006848444e-09,3.933399084221634e-08
1820,2.3732963150280284e-08,3.559944161679596e-08
1821,1.7750679148775816e-08,1.577838126820552e-08
1822,1.1028177482330648e-08,4.712039469723095e-08
1823,4.644862983127496e-08,1.1365090168968806e-07
1824,1.0947446504872005e-08,2.77896727851612e-08
1825,2.905796137042671e-08,8.805443307835503e-08
1826,2.9947145208097936e-08,3.435113926641975e-08
1827,1.3825909916942436e-08,3.779082058397165e-08
1828,1.9261833017480967e-08,3.4854744257462045e-08
1829,1.2002446148073886e-08,5.572564409916936e-08
1830,1.2524203230057651e-08,1.1480518979922749e-08
1831,2.494592976631793e-08,3.4300654760954785e-08
1832,5.411987746839486e-09,5.27668808647519e-08
1833,1.7375443306377747e-08,6.023486887052343e-08
1834,1.120143711119681e-08,3.9205031665545675e-08
1835,2.3445572594482655e-08,2.4201881387853064e-08
1836,1.7473950453261722e-08,1.6129800217701273e-08
1837,9.74104708006962e-09,6.818733178093339e-08
1838,1.009945904684173e-08,3.282324256836944e-08
1839,1.5381245721535208e-08,3.0762489999780485e-08
1840,1.7198159785181133e-08,6.688173348479154e-08
1841,1.4767261635739715e-08,4.7512058731769e-08
1842,1.0062397581833693e-08,4.226206806734467e-08
1843,7.088293230150811e-09,2.8353173198159e-08
1844,1.591682791124427e-08,4.006649595433842e-08
1845,6.696273757711424e-09,2.5669047776233356e-08
1846,1.1123552079439492e-08,3.4541557392131494e-08
1847,7.011190739092399e-09,4.584240098637338e-08
1848,1.0458788002321029e-08,2.815827571112095e-08
1849,1.5920887719289567e-08,6.619737846769169e-08
1850,1.5614690873633208e-08,2.104588681106634e-08
1851,1.3543821175687754e-08,7.352359920886897e-08
1852,2.6042181744401205e-09,3.7761165305738587e-08
1853,1.4332635966951557e-08,5.852493312197282e-08
1854,6.754363734984281e-09,4.1045748133683446e-08
1855,7.960405667972736e-09,5.306937111981824e-08
1856,8.28350277259915e-09,6.367942417817574e-08
1857,6.345961978126979e-09,6.590037537890225e-08
1858,1.1744822003834088e-08,4.012814502907247e-08
1859,3.5645213447565993e-09,7.63825969141152e-08
1860,5.034902272882391e-09,5.538392686132987e-08
1861,5.187559992680946e-09,4.008569298719067e-08
1862,3.6595690033891515e-08,4.382446786022065e-08
1863,1.148762801550518e-08,4.545104959063906e-08
1864,7.1920918109924514e-09,5.0824114694592026e-08
1865,6.118897832863013e-09,1.0260920535465345e-07
1866,3.8924903300596725e-09,5.011581416525246e-08
1867,9.7056229719783e-10,5.968957950130971e-08
1868,9.385760613156435e-09,3.803703052529528e-08
1869,3.4184632902167778e-09,1.0792577531670844e-07
1870,5.160643912205387e-09,3.727131892006241e-08
1871,4.248470908407853e-09,5.098165090089424e-08
1872,9.071008721939222e-09,4.354084326418928e-08
1873,6.58460502789282e-09,6.524744566860363e-08
1874,9.559374625212058e-09,6.811054475974743e-08
1875,6.293679688518239e-09,5.8931730329003784e-08
1876,5.441413541973361e-09,5.0181923949566e-08
1877,8.658742389755503e-09,5.8755752263550676e-08
1878,1.8117265465633636e-09,8.152769476188482e-08
1879,9.163987568783227e-09,4.9485533670790005e-08
1880,6.417846032391594e-09,6.867095403428891e-08
1881,8.367009307619355e-09,3.974329199074589e-08
1882,3.9932310791357395e-09,5.523969504039883e-08
1883,7.583206618200222e-09,4.3603439081607576e-08
1884,5.281357573494461e-09,5.3473744543452995e-08
1885,1.0957580676151935e-08,1.0184104670685201e-07
1886,7.744156427236248e-09,1.0970888753014663e-07
1887,3.9173548849191775e-09,5.0272720708566254e-08
1888,7.60873763994141e-09,1.0462014410350662e-07
1889,8.14467782106476e-09,6.641044958399789e-08
1890,1.245333464128251e-08,8.061895179212186e-08
1891,5.099376032546843e-09,9.242619425364751e-08
1892,1.002961980134387e-08,6.958048359706481e-08
1893,2.0938616618337846e-08,8.621783198492494e-08
1894,1.1972924207626079e-08,7.435816495870995e-08
1895,7.22233739480771e-09,9.328852623724515e-08
1896,6.486731873867058e-09,1.0142890083386646e-07
1897,7.574727511894253e-09,9.847145776564759e-08
1898,7.921696743018458e-09,7.751946107248386e-08
1899,1.3818945987509323e-08,8.180816379876887e-08
1900,1.3496738171525635e-08,8.461416922678211e-08
1901,6.14761275219422e-09,1.0953928303303329e-07
1902,1.276673833316977e-08,4.36033210426956e-07
1903,7.560308379339631e-09,8.856361310982663e-08
1904,5.374625189347171e-09,8.86813147360499e-08
1905,1.8062656703676794e-08,9.186151128659503e-08
1906,7.201858387428928e-09,8.539346463276587e-08
1907,1.3371392937333582e-08,6.068555258309516e-08
1908,1.3260750053589732e-08,1.0608600220507469e-07
1909,1.3202360427122528e-08,8.856583200156365e-08
1910,1.0153886287334046e-08,7.588694295179721e-08
1911,2.3409646110472693e-08,1.0747156053980689e-07
1912,1.458637982620914e-08,1.1512821129766593e-07
1913,1.007568034561146e-08,1.4265042885819312e-07
1914,1.3393487763302403e-08,1.76124366035868e-07
1915,3.534228543156104e-08,6.361611670779865e-08
1916,4.394984820521586e-09,6.59247731960022e-08
1917,8.773139548168274e-09,7.018511549716777e-08
1918,1.1486376294556067e-08,1.2060695198101712e-07
1919,1.012863304339362e-08,1.491671427489294e-07
1920,8.329454903588385e-09,1.1812681455225515e-07
1921,1.287367074054302e-08,1.1131938976172151e-07
1922,1.4018077698629838e-08,1.4682091276085885e-07
1923,2.5478275045287546e-08,1.0828267082985121e-07
1924,2.7072411756812187e-08,1.0700048391765193e-07
1925,2.0896537389347714e-08,1.2097995449877885e-07
1926,3.1209186346359274e-08,1.1146138589879229e-07
1927,2.3413372574054847e-08,9.476841100752864e-08
1928,1.3711249802206282e-08,1.5996457913836082e-07
1929,2.2280812750352652e-08,8.243900406768034e-08
1930,2.100720719599991e-08,1.1238856068018777e-07
1931,1.9389106320488736e-08,1.4941017489888964e-07
1932,1.7535258800549514e-08,1.8083235631127792e-07
1933,4.588264879146209e-09,1.8811885560410246e-07
1934,1.0783422155213884e-08,1.1382501163836878e-07
1935,8.377798899061872e-09,1.0891138568780434e-07
1936,8.487299751891442e-09,1.37009270151367e-07
1937,1.3850230295986421e-08,1.1961562129680914e-07
1938,1.555825723809079e-08,9.853563298634072e-08
1939,1.070583532936098e-08,1.2235240198776864e-07
1940,2.2822046474857416e-08,7.607348773142064e-08
1941,1.4757512545315876e-08,9.739958661825199e-08
1942,9.102635312174812e-09,9.709477444275194e-08
1943,1.161294105322952e-08,9.290352664947932e-08
1944,6.4263723231761105e-09,1.0603514510876266e-07
1945,1.9606536838523425e-08,1.481382696510991e-07
1946,1.8097434661967782e-08,1.350347176298783e-07
1947,1.1920871401116528e-08,9.298279479708071e-08
1948,3.479004129225416e-08,1.391601596179015e-07
1949,1.7670614971265763e-08,1.639440385670099e-07
1950,1.3825970146541522e-08,1.4145030835521766e-07
1951,2.8785785421980847e-08,1.194077015043149e-07
1952,2.9525451195056007e-08,1.7398926510647783e-07
1953,2.2625037843226892e-08,1.4975619477830548e-07
1954,2.1499579672124014e-08,1.45610786761452e-07
1955,1.407841221379158e-08,1.6049389017780413e-07
1956,2.8779767902165077e-08,1.4128250036549161e-07
1957,2.650511243817988e-08,1.448946123083772e-07
1958,2.2335057803246627e-08,1.7288989140329392e-07
1959,1.4726421193600459e-08,1.6199063690436333e-07
1960,2.0762499552962055e-08,1.5364249483784675e-07
1961,1.8760030306985698e-08,1.1672907501703023e-07
1962,1.7123282014530616e-08,1.369862596689586e-07
1963,1.6165133009948818e-08,1.3708032753356747e-07
1964,1.3384730435106462e-08,1.441900525644968e-07
1965,8.755269675919664e-09,1.3297065226680616e-07
1966,1.1632056873267516e-08,1.3127606823815086e-07
1967,1.5284040255636455e-08,1.410075989305426e-07
1968,1.1228539820162808e-08,1.374373277129859e-07
1969,8.175164045720607e-09,1.2626086570710626e-07
1970,1.9314645188783786e-08,1.099095253143112e-07
1971,1.2332154297745035e-08,1.464443341037125e-07
