year,aucuns_ADJ jeux_NOUN
1800,0.0
1801,2.6193008650921e-08
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,1.152667650217154e-08
1807,2.8469551160981155e-09
1808,1.3596443970698147e-08
1809,3.6144488291256494e-08
1810,0.0
1811,1.504245972228091e-08
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,1.1588019432906549e-08
1817,0.0
1818,1.0729059418679299e-08
1819,2.070210003424222e-09
1820,2.3732962262101864e-09
1821,9.861488514673056e-09
1822,8.02049271442229e-09
1823,2.9648061783404955e-09
1824,8.421112696055388e-10
1825,1.3208164340028361e-08
1826,3.2589542509064984e-08
1827,1.013900075008678e-08
1828,1.8344602503717056e-09
1829,1.2002446148073886e-08
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,1.1583628500844156e-09
1834,9.334530925997342e-10
1835,5.294161553592858e-09
1836,6.72075017860152e-09
1837,4.174734336004349e-09
1838,3.1560809077291196e-08
1839,1.3283802502428443e-08
1840,2.5478754661634184e-09
1841,9.630822361827995e-09
1842,6.708265054555795e-09
1843,1.7720733769266417e-09
1844,6.586273748609983e-09
1845,3.9061593959388574e-09
1846,8.196302303531411e-09
1847,9.168480197274675e-09
1848,0.0
1849,3.603148357456121e-08
1850,6.1100964288129944e-09
1851,1.483370937194195e-08
1852,1.9531636308300904e-09
1853,8.360704129017904e-09
1854,2.8056588163849483e-08
1855,3.714855978387277e-09
1856,1.2942972638096961e-08
1857,2.9289055625270066e-09
1858,3.9149408159744326e-09
1859,4.582956236731661e-09
1860,3.204028820036342e-09
1861,5.187560159214399e-09
1862,2.2589931314431766e-09
1863,1.897955925755923e-08
1864,6.233146332412787e-09
1865,3.765475486972036e-09
1866,0.0
1867,8.73506067478047e-09
1868,5.433861360870651e-09
1869,8.30198221279943e-09
1870,7.454262984651905e-09
1871,6.37270636261178e-09
1872,5.442605477412599e-09
1873,4.788803575905831e-09
1874,4.182226565063729e-09
1875,8.010138052849669e-09
1876,3.02300739996042e-09
1877,1.2369631985365004e-09
1878,3.6234530931267273e-09
1879,9.774920428640144e-09
1880,3.4656370218044685e-08
1881,4.880755410940907e-09
1882,3.3276925659464496e-09
1883,1.8326083761621703e-08
1884,2.6406787867472303e-09
