year,aux_ADP oeufs_NOUN,aux_ADP jeux_NOUN
1800,6.917161954334006e-08,1.996544462201655e-06
1801,6.667310969987739e-08,3.1074433763933484e-06
1802,4.699464284385613e-08,5.082135089651274e-06
1803,3.1400460898112215e-07,3.387739255344968e-06
1804,7.662737999680758e-08,3.0230737166903054e-06
1805,7.960057502032214e-08,2.1634299578465743e-06
1806,8.645007376628655e-09,2.455182031013692e-06
1807,1.4234775580490577e-08,1.8248981845658818e-06
1808,1.8128592405020072e-08,2.9277675892558364e-06
1809,4.518061036407062e-09,2.3674640488025034e-06
1810,5.8503168531842675e-08,2.5811597126335073e-06
1811,5.0141537144554604e-08,3.6202188127276713e-06
1812,1.3336040716183106e-08,2.304467859204351e-06
1813,5.4639092583741444e-08,2.5364040538988775e-06
1814,1.0698702368472368e-07,2.1932340743546774e-06
1815,3.7761129112467984e-08,2.260273447518557e-06
1816,3.012885052555703e-08,1.2955405388481722e-06
1817,5.916119061311065e-08,2.2636938723508138e-06
1818,3.814776827759658e-08,2.13508280211272e-06
1819,3.726378139390363e-08,2.0495078203452977e-06
1820,2.4919610375206958e-08,2.774383354164911e-06
1821,5.916893086599373e-09,2.8894159740389114e-06
1822,1.804610860745015e-08,2.4773297013780393e-06
1823,3.656594182999129e-08,2.087223514024572e-06
1824,8.421112696055388e-09,1.9292769444234636e-06
1825,2.993850611865412e-08,2.239224105693438e-06
1826,1.673516958344834e-08,2.159717855221288e-06
1827,9.032927417162995e-08,1.8849323950576036e-06
1828,2.2013523004460467e-08,1.6280834245208098e-06
1829,1.371708191477694e-08,1.7077766472084477e-06
1830,2.713577385016208e-08,2.0612751328030754e-06
1831,3.1182412207897414e-09,1.6401948812472256e-06
1832,1.2176972319366541e-08,1.9807875233368577e-06
1833,5.096796495962508e-08,2.007442837737017e-06
1834,4.760610750054184e-08,1.7922298809480708e-06
1835,1.285724948729694e-08,2.0677482339692688e-06
1836,2.2178474501366452e-08,1.7910799101628072e-06
1837,1.669893889832963e-08,1.8584526593201645e-06
1838,2.524864739505972e-08,2.18905785231982e-06
1839,3.705481832483315e-08,1.4912816297396603e-06
1840,1.2739376997750185e-08,1.595606956783513e-06
1841,2.1829864138567245e-08,1.7534517553485784e-06
1842,1.2074877098200432e-08,1.674382975380695e-06
1843,2.067418880535854e-08,1.8346865715557215e-06
1844,3.0187086219601866e-08,1.6992585152308948e-06
1845,1.0602433431206038e-08,1.8933713796798202e-06
1846,2.4588905578326603e-08,1.4882142842509438e-06
1847,3.235934187273415e-08,1.5818324570204823e-06
1848,4.263967390283341e-08,1.4191770976168527e-06
1849,3.192557191944445e-07,1.4312041187736213e-06
1850,3.1229382635444836e-08,1.6605884383125158e-06
1851,1.3543821397732358e-08,1.4898203595237192e-06
1852,1.2370036106545967e-08,1.6074536421939456e-06
1853,2.1498954394516545e-08,1.4487906518922955e-06
1854,1.1430461910322265e-08,1.7488607042537296e-06
1855,1.0083180512765466e-08,1.6504574489317747e-06
1856,1.656700471253103e-08,1.5945742912748528e-06
1857,1.2691923734209354e-08,1.5903956835927602e-06
1858,1.810660127388175e-08,1.4314002498849732e-06
1859,1.8841041837802663e-08,1.5021911750068284e-06
1860,4.9433585891378584e-08,1.4482209351740494e-06
1861,2.4523011954435958e-08,1.5996548725638604e-06
1862,1.2198563326126788e-08,1.772857824988705e-06
1863,1.1487628237549785e-08,1.4539340718044969e-06
1864,2.0137857159596706e-08,1.569793884215187e-06
1865,1.6003270930653457e-08,1.6111528253759388e-06
1866,1.800276755448138e-08,1.4742806921930196e-06
1867,1.552899675516528e-08,1.7018809614910424e-06
1868,2.1735446775750233e-08,1.226076740579174e-06
1869,2.051078074050139e-08,1.3151317617143832e-06
1870,1.6055336615750093e-08,1.6588602953504505e-06
1871,1.911811908783534e-08,1.253298897552213e-06
1872,2.8422494247060115e-08,1.2832454245881308e-06
1873,1.975381419550004e-08,1.2397015707321657e-06
1874,1.852128866941527e-08,1.2349517337639782e-06
1875,1.773673402594156e-08,1.3663006583897186e-06
1876,1.6928840995689143e-08,1.236410074767491e-06
1877,2.3502301438327322e-08,1.2932449742208973e-06
1878,1.5701630662334765e-08,1.3883865292996234e-06
1879,1.8327975470633362e-08,1.2469132855130738e-06
1880,1.4119261759759638e-08,1.4966417793971232e-06
1881,1.6036767469529423e-08,1.3945014849525705e-06
1882,2.4624924765959122e-08,1.3284148216996527e-06
1883,1.9589950550624735e-08,1.3902545958899282e-06
1884,2.178559999066465e-08,1.292612246572844e-06
1885,2.7716233141905633e-08,1.3993474841100806e-06
1886,1.677900607344185e-08,1.4178260698827216e-06
1887,2.1545451422966266e-08,1.2450659632179395e-06
1888,1.6485597775783845e-08,1.2617823355043356e-06
1889,2.7566601890072207e-08,1.339486239260168e-06
1890,1.769684393471138e-08,1.226981190427523e-06
1891,2.039750490734349e-08,1.0785180801775596e-06
1892,2.1939793759528925e-08,1.2555830295468695e-06
1893,6.220000881018706e-08,1.1423862904536009e-06
1894,2.7726772655611853e-08,1.2369921549293394e-06
1895,2.1667012406467734e-08,1.104415760622146e-06
1896,4.304831285883992e-08,1.2383760630285678e-06
1897,2.5054868624252435e-08,1.1210597037347725e-06
1898,1.923840697859447e-08,1.0875358036344096e-06
1899,1.6029977345510815e-08,1.118229135954607e-06
1900,1.8687791869531623e-08,1.1607194423390865e-06
1901,1.5089594740391732e-08,1.2317580981857645e-06
1902,1.964113566232939e-08,1.0503097094272107e-06
1903,2.6461078883599498e-08,1.0363022457937632e-06
1904,2.579820090886642e-08,1.1743556029841784e-06
1905,2.477164318115399e-08,1.1668475625725705e-06
1906,4.629766126029722e-08,1.1080573010247008e-06
1907,2.9314207394826042e-08,1.1427397987873178e-06
1908,3.0941750717161653e-08,1.1728396698273968e-06
1909,3.630649092478677e-08,1.2091162151506296e-06
1910,2.4583093671814993e-08,1.1115832929675662e-06
1911,2.1813534423209546e-08,1.0874844846853193e-06
1912,2.9172759097306766e-08,1.3185044647201494e-06
1913,2.969674284258872e-08,1.4015801745870249e-06
1914,2.7456650120161186e-08,1.2830961217957793e-06
1915,3.534228543156104e-08,8.364341024247324e-07
1916,2.966614820465452e-08,9.53711712270433e-07
1917,2.4126132980306636e-08,9.57368860188268e-07
1918,2.756730221875614e-08,8.729646188143647e-07
1919,3.314825314237879e-08,1.1758422218122178e-06
1920,2.2716694747515476e-08,1.2532043598412201e-06
1921,3.7106463346425755e-08,1.3502209199600657e-06
1922,3.6889676535700744e-08,1.3081079792698347e-06
1923,3.3971033097657255e-08,1.6550263453041225e-06
1924,1.933743609683347e-08,1.7777549654596214e-06
1925,5.389107027298223e-08,1.5551424041859718e-06
1926,5.015762494231524e-08,1.6418261381545562e-06
1927,5.6861045205636174e-08,1.5096050525187366e-06
1928,6.398583118905066e-08,1.2682905587979576e-06
1929,2.1166771890790415e-08,1.2811467264839393e-06
