year,nos_DET iles_NOUN,nos_DET gilles_NOUN
1800,2.5153315874604232e-08,1.5720821977538435e-08
1801,2.3811825844433088e-08,0.0
1802,9.398928568771225e-08,0.0
1803,5.070881914370773e-08,0.0
1804,4.44933170307138e-08,0.0
1805,2.55858996212055e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,2.574139346123161e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,5.176335027279322e-08,1.1502966579257645e-08
1814,2.5173417572688095e-08,0.0
1815,4.045835311217161e-08,2.697223555614414e-09
1816,1.622322720606917e-08,4.6352077731626196e-09
1817,5.449057050022077e-08,1.0898113966817391e-08
1818,2.98029441125891e-08,5.960588467246453e-09
1819,5.175525008560555e-09,2.070210003424222e-09
1820,1.0679833017945839e-08,2.3732962262101864e-09
1821,1.972297702934611e-08,1.0847637454958203e-08
1822,9.023054303725075e-09,5.012807946513931e-09
1823,2.0753642027138142e-08,1.9765373782121287e-09
1824,1.0947446504872005e-08,0.0
1825,1.0566531649658373e-08,1.0566531649658373e-08
1826,2.7304752237000685e-08,0.0
1827,1.6591091167583727e-08,8.295545583791863e-09
1828,2.2013523448549677e-08,9.172301251858528e-10
1829,1.8860986994440054e-08,1.714635211591542e-09
1830,2.400472176589119e-08,5.218417920005436e-09
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,6.764984572527055e-09,2.1647950210201827e-08
1833,1.6217079235048004e-08,0.0
1834,1.0267984240641681e-08,1.213489042584115e-08
1835,3.781543966852041e-08,7.563087933704082e-10
1836,2.5538850312312178e-08,0.0
1837,3.3397877241547747e-08,4.87052354003481e-09
1838,2.4617430982587507e-08,6.312161904276081e-10
1839,4.1249704096912865e-08,4.894032734625853e-09
1840,4.395085273500854e-08,8.280594876453051e-09
1841,3.017657768111803e-08,0.0
1842,3.4882977395511716e-08,0.0
1843,2.7171790650815097e-08,1.1813822142769936e-09
1844,2.2503100327586623e-08,0.0
1845,1.3392546849289033e-08,5.580227946389016e-10
1846,1.5807153808111707e-08,1.7563503984519002e-09
1847,2.534815113364175e-08,5.393223645455691e-10
1848,1.2067832733109185e-08,0.0
1849,5.865590679832167e-09,0.0
1850,1.2220192857625989e-08,0.0
1851,1.0964046337491595e-08,1.2898877521649865e-09
1852,2.40890174474373e-08,0.0
1853,1.791579506971175e-08,5.971931837933653e-10
1854,1.1430461910322265e-08,0.0
1855,2.2819829581521844e-08,5.306937111981824e-10
1856,1.3460691894451315e-08,0.0
1857,1.2203772437047178e-08,9.763018171682347e-10
1858,1.565976370798694e-08,2.4468380654951716e-09
1859,1.4258085379026397e-08,0.0
1860,1.327383358784573e-08,0.0
1861,1.9335450851531988e-08,9.431927461278633e-10
1862,2.0782737364388737e-08,4.517986262886353e-10
1863,1.4983863039219614e-08,0.0
1864,1.1986819759002287e-08,0.0
1865,9.884373597390805e-09,0.0
1866,1.8489329178805747e-08,9.731225825149181e-10
1867,1.6014277903764196e-08,9.7056229719783e-10
1868,9.87974813071446e-09,0.0
1869,6.836926691455858e-09,4.883519144627257e-10
1870,5.734048791339319e-09,1.1468097582678638e-09
1871,4.248470908407853e-09,0.0
1872,2.4189357183956872e-09,0.0
1873,1.2570609608797412e-08,5.986004469882289e-10
1874,1.5533983654947292e-08,3.5847653734322193e-09
1875,3.432916173551348e-09,0.0
1876,9.673623679873344e-09,1.209202959984168e-09
1877,1.7317484335421796e-08,0.0
1878,9.058633121394877e-09,6.039088673581716e-10
1879,9.774920428640144e-09,0.0
1880,1.2835692730917003e-08,1.2835692508872398e-09
1881,1.9523020977629812e-08,5.5780060570498335e-09
1882,3.9932310791357395e-09,0.0
1883,8.847074461915128e-09,0.0
1884,1.0562715146988921e-08,6.601696966868076e-10
1885,1.2891271161663553e-08,1.933690763067375e-09
