year,longs_ADJ ans_NOUN
1800,0.0
1801,0.0
1802,1.3427040812530322e-08
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,1.2586708564299443e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,5.175524897538253e-09
1820,3.322614716694261e-08
1821,0.0
1822,0.0
1823,0.0
1824,1.2631669044083083e-08
1825,7.924898959288385e-09
1826,1.76159691278599e-08
1827,2.1199728195142598e-08
1828,0.0
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,1.3529969367098715e-09
1833,0.0
1834,3.733812370398937e-09
1835,1.5126175867408165e-09
1836,5.376600054063374e-09
1837,9.810626266926192e-08
1838,4.418513555037862e-09
1839,0.0
1840,2.5478754661634184e-09
1841,0.0
1842,3.3541325272778977e-09
1843,5.31621990873532e-09
1844,0.0
1845,0.0
1846,5.269050973311096e-09
1847,0.0
1848,0.0
1849,8.379414939696517e-10
1850,8.82569484161877e-09
1851,5.8044946626978344e-09
1852,0.0
1853,1.1943863675867306e-09
1854,3.63696517347023e-09
1855,1.5920811335945473e-09
1856,5.694908100650764e-09
1857,8.78671624349181e-09
1858,4.893676019968041e-10
1859,6.110608019582742e-09
1860,5.950338888283113e-09
1861,6.13075279431996e-09
1862,5.873382225018986e-09
1863,5.4441368746438457e-08
1864,7.719511785353461e-08
1865,2.0710114512212385e-08
1866,9.731225603104576e-09
1867,3.396968040192405e-09
1868,1.975949626142892e-09
1869,2.441759683335931e-09
1870,5.734048791339319e-10
1871,3.18635318130589e-09
1872,3.628403577593531e-09
1873,3.591602570907071e-09
1874,0.0
1875,3.432916173551348e-09
1876,4.232210137899983e-09
1877,1.2369631985365004e-09
1878,3.6234530931267273e-09
1879,6.109325489944695e-09
1880,1.1552122813895949e-08
1881,6.9725074602899895e-09
1882,1.9966155395678697e-09
1883,3.791603475633565e-09
1884,2.6406787867472303e-09
1885,4.511945039809007e-09
1886,5.808117542471791e-09
1887,4.570247291724172e-09
1888,6.340614699951175e-09
1889,1.8795409673089125e-09
1890,1.9663159989136147e-09
1891,5.736798147637501e-09
1892,3.1342561879199593e-09
1893,1.2316833108982905e-09
1894,6.301539290376468e-09
1895,5.416753268150387e-09
1896,4.717623180994224e-09
1897,2.330685422435863e-09
1898,2.8291773368493978e-09
1899,1.6582735185011188e-09
1900,4.15284251431558e-09
1901,3.912117296778206e-09
1902,4.910283735171106e-09
1903,7.020286574288548e-09
1904,5.374625189347171e-09
1905,2.0643036169332163e-09
1906,1.5432553013283723e-09
1907,9.771402353919711e-09
1908,1.3260750719723546e-08
1909,9.351672325408344e-09
1910,4.275320542035388e-09
1911,3.7242617878519013e-09
1912,3.646594803896619e-09
1913,6.363587878865928e-09
1914,6.696743715117748e-10
1915,8.246533234057551e-09
1916,0.0
1917,1.6449636319748606e-08
