year,ils_PRON eurent_VERB,ils_PRON jurent_VERB
1800,4.137720452490612e-06,2.232356806075586e-07
1801,4.2480297679503565e-06,3.143160989260707e-07
1802,4.3458855998324e-06,1.5217312920867698e-07
1803,5.1625480637085275e-06,2.223386714739206e-07
1804,4.24663994635921e-06,2.644880510160874e-07
1805,4.602618901117239e-06,2.0468719608146557e-07
1806,4.0545083948018146e-06,7.492339815229343e-08
1807,4.429862087818037e-06,1.423477522521921e-07
1808,5.064675406174501e-06,1.4502873035837638e-07
1809,5.301944497659861e-06,1.5361407790237536e-07
1810,4.743436988974281e-06,1.8721013717026835e-07
1811,5.665993398906721e-06,1.2535383575595915e-07
1812,4.3155429807484325e-06,6.934741492159446e-08
1813,3.603304378430039e-06,1.2940837024189022e-07
1814,5.154256996320328e-06,1.825072732941635e-07
1815,4.757902274832304e-06,2.9669458667669346e-07
1816,4.065077177983767e-06,1.923611225862487e-07
1817,4.796726898348425e-06,2.662253525409497e-07
1818,5.511160338755872e-06,1.6570436622842522e-07
1819,5.929081339672848e-06,2.0909120568290973e-07
1820,5.7540564739611e-06,3.3107483510264046e-07
1821,5.337037350727769e-06,3.40221333772206e-07
1822,4.989749072592531e-06,1.744457165386848e-07
1823,5.807066827401286e-06,2.5694986893753935e-07
1824,8.504481684212806e-06,1.852644864186459e-07
1825,7.138572868825577e-06,2.0692791613541317e-07
1826,7.0851427835805225e-06,3.628889553297654e-07
1827,4.961658191859897e-06,2.1660591603689383e-07
1828,4.873243597103283e-06,2.2655583475916785e-07
1829,4.842987209485727e-06,1.285976387599419e-07
1830,4.858347097069782e-06,2.056056676025264e-07
1831,4.203389266876911e-06,1.5903030092800918e-07
1832,3.768096405565302e-06,1.772426045931752e-07
1833,4.546574245978263e-06,1.4827045102805414e-07
1834,4.259346610524517e-06,1.5215285276148904e-07
1835,6.061058911654982e-06,1.4521128832711838e-07
1836,6.356485641845211e-06,1.4718442853389746e-07
1837,5.1050046749878675e-06,1.5655253959856452e-07
1838,6.2660832327310345e-06,1.3318661928884978e-07
1839,4.557742613542359e-06,1.1116445197689728e-07
1840,5.511054496309953e-06,2.420481663989449e-07
1841,4.109151177544845e-06,2.3049769737326642e-07
1842,4.629373734132969e-06,2.26068527453549e-07
1843,4.424276426107099e-06,1.577145298803373e-07
1844,4.709185589035769e-06,1.6520569279254715e-07
1845,4.188519255876599e-06,1.2946128435942228e-07
1846,4.2796405068656895e-06,1.7270778984723734e-07
1847,4.252017561157118e-06,2.2489743134457285e-07
1848,3.6396582459019555e-06,1.295280700475132e-07
1849,3.771574711208814e-06,1.1312210390634903e-07
1850,4.560168690659339e-06,1.1405512978512888e-07
1851,3.7922699789305625e-06,1.6639552358199694e-07
1852,3.6693434708467976e-06,1.4453410401848998e-07
1853,4.182143868547428e-06,1.3138249910227273e-07
1854,4.0276789832205395e-06,1.3404814308559665e-07
1855,3.466491250492254e-06,1.2895857182115833e-07
1856,3.7570862900793145e-06,1.1338044758613108e-07
1857,4.078988922628923e-06,1.0739320188690726e-07
1858,3.626703346526483e-06,1.2821430933618316e-07
1859,3.900604724549339e-06,1.4716380980495103e-07
1860,3.6054478300684423e-06,1.5928600238801494e-07
1861,3.5577229482441908e-06,1.4666647124572663e-07
1862,3.559721449164499e-06,2.3086909806124822e-07
1863,3.6136081007498433e-06,1.2736283228065304e-07
1864,3.66988473388119e-06,1.0404559558363502e-07
1865,3.5776724303104857e-06,1.1437631919353208e-07
1866,3.6331530850475247e-06,1.3380435481824549e-07
1867,3.6454320593293232e-06,8.638004622696371e-08
1868,3.3591144301681197e-06,7.508608401707306e-08
1869,3.3080958132813976e-06,1.250180865497441e-07
1870,3.4163463737968414e-06,1.2270864191421538e-07
1871,3.0323460009640257e-06,1.5931766328414199e-07
1872,3.3804627150857414e-06,1.251799268686682e-07
1873,2.9247617021610495e-06,9.996627525765689e-08
1874,3.2017930493566382e-06,7.946230162758638e-08
1875,3.1262424045053194e-06,8.353429475915775e-08
1876,3.130021809738537e-06,1.1487427897804992e-07
1877,3.320627683933708e-06,8.967983045060635e-08
1878,3.317271477953909e-06,1.8056874917515842e-07
1879,3.588006791233056e-06,1.044694649676714e-07
1880,3.019596647391154e-06,1.3477477378565084e-07
1881,2.941003629075567e-06,1.513034129652091e-07
1882,3.0900952765477996e-06,9.450646998310219e-08
1883,2.7811409495370754e-06,1.0426909347049929e-07
1884,2.9641619221365545e-06,1.1222884754857887e-07
1885,2.981751038078073e-06,9.475084183918625e-08
1886,2.796285855310998e-06,1.1035423064242877e-07
1887,2.6481318400328746e-06,9.140494228176976e-08
1888,2.7867001790582435e-06,8.3062052791405e-08
1889,2.7290935236123914e-06,9.961567037919394e-08
