year,autres_ADJ oies_NOUN,autres_ADJ joies_NOUN
1800,1.5720821977538435e-08,0.0
1801,4.7623651688866175e-09,7.143547975374531e-09
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,0.0,3.900678446910888e-09
1804,4.943701892301533e-09,7.4155526164076946e-09
1805,0.0,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,8.540865792383556e-09
1808,4.5321479902327155e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,9.440030979135372e-09
1815,1.0788894222457657e-08,0.0
1816,0.0,8.1116134253989e-08
1817,0.0,0.0
1818,2.026600220972341e-08,0.0
1819,0.0,4.140420006848444e-09
1820,4.746592452420373e-09,3.5599443393152796e-09
1821,2.9584463767662328e-09,6.903041693817613e-09
1822,1.0025615893027862e-09,2.0051231786055723e-08
1823,1.8777105759149038e-08,5.929612356680991e-09
1824,0.0,1.0105335235266466e-08
1825,2.905796137042671e-08,2.289415235168235e-08
1826,0.0,1.4973572604048968e-08
1827,0.0,9.217273166939322e-09
1828,5.503380862137419e-09,1.0089530988466322e-08
1829,8.57317605795771e-10,8.573175946935407e-09
1830,2.0873671680021744e-09,4.0703660886265425e-08
1831,1.5591206103948707e-09,2.8064171431196883e-08
1832,0.0,2.705993829010822e-08
1833,0.0,3.59092489077284e-08
1834,5.600718555598405e-09,3.733812548034621e-08
1835,2.2689263801112247e-09,3.6302822081779595e-08
1836,2.688300027031687e-09,5.443807538085821e-08
1837,1.3915781860163179e-09,2.0177884252348122e-08
1838,1.8936485712828244e-09,5.1759727170974656e-08
1839,1.3982950353153e-09,3.425822825420255e-08
1840,3.821813199245128e-09,2.993753511759678e-08
1841,6.420548537278137e-10,4.4301785351308354e-08
1842,2.683306021822318e-09,3.152884531232303e-08
1843,0.0,4.430183153658618e-08
1844,1.2074834465636286e-08,4.50062032086862e-08
1845,2.2878934136105755e-08,6.807878349945895e-08
1846,1.1709002656346001e-09,6.030136034951283e-08
1847,3.235934187273415e-09,2.3730184040005042e-08
1848,2.413566457803995e-09,3.378993085334514e-08
1849,8.379414939696517e-10,3.603148357456121e-08
1850,6.788996032014438e-10,2.647708541303473e-08
1851,6.449438760824933e-09,3.8696633453128015e-08
1852,6.510545436100301e-10,4.817803755940986e-08
1853,1.1943863675867306e-09,3.881755716861335e-08
1854,3.63696517347023e-09,4.624141425324524e-08
1855,2.653468555990912e-09,5.73149208094037e-08
1856,5.177189232874468e-10,4.711242240773572e-08
1857,9.763018171682347e-10,2.636014961865385e-08
1858,4.893676019968041e-10,4.7468656561022726e-08
1859,0.0,6.976277688863775e-08
1860,1.3731551729012637e-09,5.767251565202969e-08
1861,3.7727710400226044e-09,7.026785908692545e-08
1862,1.355395878865906e-09,8.990792821350624e-08
1863,6.992469381295052e-09,4.145535115185339e-08
1864,4.794727948009836e-10,7.14414483127257e-08
1865,0.0,6.165966226490127e-08
1866,2.919367692033603e-09,4.7683005988119476e-08
1867,0.0,5.241036404868282e-08
1868,9.87974813071446e-10,4.6928803953960596e-08
1869,9.278686263769487e-09,8.008971263961939e-08
1870,3.4404292748035914e-09,7.282241654138488e-08
1871,1.0621177271019633e-09,2.973929724703339e-08
1872,5.442605477412599e-09,8.587221600464545e-08
1873,1.1972008939764578e-09,3.052862140862089e-08
1874,1.0156835372754358e-08,3.7042575229406793e-08
1875,5.149374260327022e-09,3.776207790906483e-08
1876,1.209202959984168e-09,2.8416270225761764e-08
1877,5.566334504436554e-09,5.318941731502491e-08
1878,3.0195443923020093e-09,3.623453181944569e-08
1879,7.331190321480108e-09,4.3376211067425174e-08
1880,2.5671385017744797e-09,3.5939940801199555e-08
1881,2.7890030285249168e-09,3.9046042843438045e-08
