year,cents_ADJ ans_NOUN,cents_ADJ gens_NOUN
1800,4.904896400148573e-07,2.2009151834367913e-08
1801,3.881327472754492e-07,0.0
1802,7.026818025224202e-07,0.0
1803,4.797834662895184e-07,2.5354410126965377e-08
1804,4.053835596096178e-07,4.943701892301533e-09
1805,7.192480779849575e-07,2.245873389483677e-07
1806,5.763338322140044e-07,3.458002950651462e-08
1807,5.209927849136875e-07,5.693910232196231e-09
1808,5.551881372412026e-07,2.039466551195801e-08
1809,4.969867291038099e-07,1.129515236897305e-08
1810,4.820661274607119e-07,3.042164919975221e-08
1811,4.888799480795569e-07,2.757784400841956e-08
1812,6.214594918674266e-07,0.0
1813,4.457399427337805e-07,1.4378708002027452e-08
1814,5.2234838676668e-07,4.090680150170556e-08
1815,8.253504120148136e-07,5.394447111228828e-09
1816,5.330488761501329e-07,1.3905623319487859e-08
1817,9.123278346123698e-07,4.670620334934483e-09
1818,7.093100293786847e-07,3.5763532135746345e-09
1819,9.999114354286576e-07,0.0
1820,5.577246042776096e-07,1.1866481131050932e-08
1821,8.323096380991046e-07,4.930744257336528e-09
1822,5.875010629097233e-07,2.0051231786055723e-09
1823,6.957411642360967e-07,3.9530747564242574e-09
1824,5.103194098410313e-07,4.210556348027694e-09
1825,7.044354219942761e-07,1.584979791857677e-08
1826,6.45625277684303e-07,1.9377566218281572e-08
1827,7.152603984650341e-07,0.0
1828,6.429783070416306e-07,2.2930752408001354e-08
1829,7.510102477681357e-07,1.0287811491593857e-08
1830,8.203352876989811e-07,1.7742621594152297e-08
1831,7.99828853814688e-07,2.3386808933878456e-08
1832,7.306183533728472e-07,1.2176972319366541e-08
1833,6.660586109319411e-07,1.0425265983826648e-08
1834,7.084909157129005e-07,2.9870498963191494e-08
1835,7.290816483873641e-07,3.781543966852041e-08
1836,6.277180659708392e-07,3.2259599436201825e-08
1837,7.19445949926012e-07,4.1051556820548285e-08
1838,6.173294195832568e-07,1.5780405249188334e-07
1839,5.579196908911399e-07,4.9639474752893875e-08
1840,6.337839977277326e-07,2.229391071750797e-08
1841,7.248799533954298e-07,4.1091510638580075e-08
1842,6.486892516477383e-07,2.3478927246856074e-08
1843,1.1382617230992764e-06,2.539971788451112e-08
1844,7.837665521037707e-07,1.2568804663715127e-07
1845,8.816759873297997e-07,1.0602432709561072e-08
1846,7.757214461889816e-07,2.6345256642912318e-08
1847,6.3370379166372e-07,2.6966118227278457e-08
1848,7.763638905089465e-07,2.896279838182636e-08
1849,6.737049602634215e-07,2.513824481908955e-09
1850,7.990648214217799e-07,1.0183494048021657e-08
1851,7.919910558484844e-07,7.739326512989919e-09
1852,9.017105639941292e-07,8.463708844885787e-09
1853,9.119140145230631e-07,7.166318205520383e-09
1854,7.050516614981461e-07,1.4028294081924741e-08
1855,8.724604754206666e-07,6.368324534378189e-09
1856,8.029820719457348e-07,6.73034605824796e-08
1857,6.995202284088009e-07,1.4644527368545823e-08
1858,7.736902034594095e-07,1.468102794888182e-08
1859,8.157661568475305e-07,7.638259802433822e-09
1860,8.783616181062825e-07,7.323494255473406e-09
1861,7.932251264719525e-07,3.772770984511453e-09
1862,7.386907441286894e-07,1.490935552794781e-08
1863,1.0278929494234035e-06,1.9978482868054925e-08
1864,1.0150439493372687e-06,1.582260189536555e-08
1865,8.39230324345408e-07,1.2237795665726026e-08
1866,8.84568407855113e-07,8.076917623611735e-08
1867,8.235221002905746e-07,9.220341823379385e-09
1868,7.10847871232545e-07,8.89177353968762e-09
1869,7.530386483267648e-07,1.2208797528501236e-08
1870,6.961135454730538e-07,1.77755516972411e-08
1871,5.225619474913401e-07,0.0
1872,7.414038236674969e-07,7.256807155187062e-09
1873,5.878256388314185e-07,6.584604861359367e-09
1874,5.168037091607403e-07,1.6131444624534197e-08
1875,6.705629971293092e-07,2.2313955128083762e-08
1876,6.584110110452457e-07,4.232210137899983e-09
1877,5.819911734761263e-07,3.710889595609501e-09
1878,5.839798973283905e-07,5.435179861734696e-09
1879,7.42283020827017e-07,7.331190321480108e-09
1880,5.64128697533306e-07,1.6686399817444908e-08
1881,5.480391109813354e-07,1.8128519130300447e-08
1882,5.304341925693734e-07,1.2645231528551903e-08
1883,4.5499240286517306e-07,8.847074184359371e-09
1884,5.690662874258123e-07,1.1883054540362536e-08
1885,4.4797167220167466e-07,2.4493415295978593e-08
1886,4.1302169506707287e-07,1.0325542199041138e-08
1887,5.11867710883962e-07,1.3057849246322917e-09
1888,4.305277343519265e-07,1.3315291091942072e-08
1889,5.187533247408282e-07,2.0674951528576457e-08
1890,4.515972307217453e-07,1.9663159989136147e-09
1891,4.3918376491092204e-07,1.466070642663908e-08
1892,4.50079198799358e-07,1.002961980134387e-08
1893,4.97600069593318e-07,1.1700991287000306e-08
1894,4.3228558865848754e-07,3.780923574225881e-09
1895,4.1648812043604266e-07,3.0093072478365457e-09
1896,4.369698558548407e-07,2.948514543632541e-09
1897,3.3736671412043506e-07,4.661370844871726e-09
1898,3.8363646126526874e-07,3.3950129374460403e-09
1899,3.5100123341180733e-07,5.527578395003729e-10
1900,4.220326275117259e-07,1.038210628578895e-09
1901,3.8003423696864047e-07,3.912117296778206e-09
1902,2.700656125398382e-07,9.820567692386817e-10
1903,3.283333853687509e-07,6.480264325148255e-09
1904,3.1280319490178954e-07,5.374625189347171e-10
1905,3.411261673136323e-07,2.0643036169332163e-09
1906,3.153385250698193e-07,6.173021205313489e-09
1907,2.8285637654335005e-07,7.71426478252124e-09
1908,2.882985370433744e-07,4.911389073214423e-09
1909,3.14106159748917e-07,0.0
1910,3.2332110322386143e-07,5.344150677544235e-10
1911,2.931526239535742e-07,2.128149656499545e-09
1912,2.875600557672442e-07,1.5628263128064646e-09
1913,3.568912063656171e-07,3.71209285532359e-09
1914,2.9666574619113817e-07,8.036092680185902e-09
1915,2.8038212462888623e-07,0.0
1916,3.3182135439346894e-07,0.0
1917,3.235095107356756e-07,7.676496771580332e-09
1918,2.77970315210041e-07,2.2972752589112133e-09
1919,3.176707821239688e-07,0.0
1920,2.74114796638969e-07,0.0
1921,2.9912351351413236e-07,3.7863738810983705e-09
1922,3.032331505892216e-07,5.902348387820666e-09
1923,2.887537959850306e-07,6.369568872344189e-09
1924,2.823265674578579e-07,2.578324886925998e-09
1925,2.9475117457877786e-07,0.0
1926,2.8979960120523174e-07,5.57306911730393e-09
1927,2.887649372951273e-07,0.0
