year,quels_DET jeux_NOUN
1800,1.5720822421627645e-08
1801,9.524730337773235e-09
1802,8.951360541686881e-09
1803,3.5106107132421016e-08
1804,1.4831105232815389e-08
1805,8.528633133053631e-09
1806,2.0171682990621775e-08
1807,3.131650672116848e-08
1808,2.4926814390369145e-08
1809,9.036122072814123e-09
1810,1.8721014072298203e-08
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,1.4378708002027452e-08
1814,3.776012391654149e-08
1815,2.697223555614414e-09
1816,1.3905623319487859e-08
1817,4.826307442584721e-08
1818,2.8610825264507866e-08
1819,2.0702100700376036e-08
1820,3.797273961936298e-08
1821,3.254291103260698e-08
1822,5.6143449000956025e-08
1823,4.4472090010572174e-08
1824,1.1789557774477544e-08
1825,1.3208164340028361e-08
1826,3.082794552966561e-08
1827,1.7512818750731185e-08
1828,6.420610709767516e-09
1829,1.714635211591542e-09
1830,8.349468894053302e-09
1831,3.1182412207897414e-09
1832,3.788391378378719e-08
1833,1.1583628500844156e-09
1834,2.0535968481283362e-08
1835,2.571449897459388e-08
1836,2.0834325820118238e-08
1837,5.5663127440652715e-09
1838,2.7142295522253335e-08
1839,2.307186797168015e-08
1840,2.3567847673433562e-08
1841,1.6051370899106132e-08
1842,1.475818312002275e-08
1843,1.3585895519696578e-08
1844,1.6465684149480353e-08
1845,1.2276501148988928e-08
1846,1.5221703231205197e-08
1847,1.941560512364049e-08
1848,1.528592141752938e-08
1849,2.9327952510982414e-08
1850,1.425689166723032e-08
1851,7.094382636907426e-09
1852,9.114764054629632e-09
1853,8.957897978945084e-09
1854,2.961528799971802e-08
1855,1.0613874223963649e-08
1856,9.836659820017246e-09
1857,1.8549734304151855e-08
1858,2.3489645339935805e-08
1859,1.833182472488204e-08
1860,4.577183909670879e-09
1861,1.0846716413936974e-08
1862,2.4397126985320483e-08
1863,1.548332440037825e-08
1864,2.3973639518004575e-08
1865,2.1651484383156117e-08
1866,2.8220555670088743e-08
1867,1.3102591012170706e-08
1868,1.7289559117728004e-08
1869,1.3185502023560502e-08
1870,2.752343508660715e-08
1871,5.310588635509816e-09
1872,1.5723082058549664e-08
1873,1.915521447015678e-08
1874,3.345781252050983e-08
1875,2.0597498262553415e-08
1876,1.1487428341894201e-08
1877,8.658742167710898e-09
1878,1.3889904115771401e-08
1879,1.5884245807562536e-08
1880,2.2462461446437487e-08
1881,2.440377599999266e-08
1882,2.728707926280549e-08
1883,1.7694148368718743e-08
1884,1.914492120391742e-08
1885,3.802925130358403e-08
1886,2.0651085175238393e-08
1887,1.958677448010704e-08
1888,1.6485598219873054e-08
1889,1.566284169030041e-08
1890,1.2453334363726754e-08
1891,9.561330172047633e-09
1892,2.005923960268774e-08
1893,1.3548516197836591e-08
1894,1.5123694296903523e-08
1895,1.6852119699706236e-08
1896,8.845543408853018e-09
1897,2.8550896424839323e-08
1898,1.697506513131941e-08
1899,1.2160672469008205e-08
1900,1.764958135197503e-08
1901,1.0059729937950124e-08
1902,2.8479647085077886e-08
1903,7.020286574288548e-09
1904,1.5586413049106795e-08
1905,1.4966200945210062e-08
1906,2.4692084821253957e-08
1907,2.4685647970201785e-08
1908,1.4243028312321826e-08
1909,3.080550747824873e-08
1910,2.8323998479962142e-08
1911,1.8621309827437926e-08
1912,2.5526164293410147e-08
1913,1.8560463166394925e-08
1914,9.37544086809794e-09
1915,1.0602685840410686e-08
1916,8.789969641043172e-09
1917,7.676497215669542e-09
1918,1.8378202071289707e-08
1919,1.3811772614502615e-08
1920,1.4387239843927091e-08
1921,2.8019164766135418e-08
1922,2.951174149501412e-08
1923,1.6985516992917837e-08
1924,3.480738675065709e-08
1925,2.1996355403786083e-08
1926,3.009457305580554e-08
1927,5.0171511389862644e-08
1928,2.0566874314731365e-08
1929,1.893869105984436e-08
1930,2.8359730563920493e-08
1931,3.9918748306888574e-08
1932,1.9727165900818022e-08
1933,2.40883908375622e-08
1934,1.9170528275935794e-08
1935,5.98414207075848e-09
1936,2.0612014761667297e-08
1937,1.1332006333297784e-08
1938,1.2965214124527336e-08
1939,1.070583532936098e-08
1940,7.607348528892999e-09
1941,2.6563523380929155e-08
1942,3.3376329255929704e-08
1943,1.4516176038981143e-08
1944,2.2492303131116387e-08
1945,2.178504132643866e-08
1946,2.3665877257883494e-08
1947,3.2186350917839945e-08
1948,3.044128549234415e-08
1949,4.417653842736513e-08
1950,2.4461331626923766e-08
1951,2.7719644357659945e-08
1952,3.057993058774855e-08
1953,1.508335811806205e-08
1954,1.9545072227344917e-08
1955,2.3464019616170617e-08
1956,2.529131082340541e-08
1957,2.473810578607072e-08
1958,2.5643954515430778e-08
1959,2.325224413013416e-08
1960,2.7683332959327345e-08
1961,1.737039800886464e-08
1962,2.4099434670077358e-08
1963,2.0691369506664614e-08
1964,2.251068265124445e-08
1965,2.188817305182056e-08
1966,3.378835522482859e-08
1967,2.662381248796919e-08
1968,2.3804503923585685e-08
1969,2.9975601889553616e-08
1970,2.5292987704261805e-08
1971,2.4664307485267045e-08
1972,2.103360258187692e-08
1973,2.866865944639585e-08
1974,2.1939730254771916e-08
1975,2.4559364319998167e-08
1976,1.71405803994773e-08
1977,2.2331771543093737e-08
1978,2.970295653881294e-08
1979,2.867466886158354e-08
1980,2.217208683319427e-08
1981,3.795329739375575e-08
1982,3.5382762497704334e-08
1983,1.89459470334441e-08
1984,4.001315812018902e-08
1985,2.285912081845254e-08
1986,2.997242676272549e-08
1987,2.9331921336250844e-08
1988,1.9188971744910077e-08
1989,1.975723917801986e-08
1990,2.7243255651399068e-08
1991,1.9342835999580643e-08
1992,2.3141764726730685e-08
1993,1.550978101505507e-08
1994,2.479215543971236e-08
1995,3.199245979246257e-08
1996,2.1352368761995422e-08
1997,2.3494982848148993e-08
1998,3.2900092428178596e-08
1999,2.8792267237065516e-08
2000,2.6066385494516453e-08
2001,3.855466390589868e-08
2002,3.4611650434612784e-08
2003,1.91678459771083e-08
2004,3.259545522382723e-08
2005,2.2969122381866214e-08
2006,2.8825228426399008e-08
2007,2.756190786712409e-08
2008,2.426740630667723e-08
2009,3.051643204798893e-08
2010,4.2514137987836875e-08
2011,3.9004512508711287e-08
2012,5.072336417555334e-08
2013,4.462599978438675e-08
2014,5.17541387523579e-08
2015,4.2779904951828485e-08
2016,4.101253292532192e-08
2017,4.5029441508859236e-08
2018,3.94964390082464e-08
2019,4.183619850550713e-08
