year,deux_DET iles_NOUN
1800,3.45858084394024e-08
1801,1.904946067554647e-08
1802,1.5664880947952042e-08
1803,5.851017448321727e-09
1804,3.707776485839531e-08
1805,1.421438877713399e-08
1806,2.305335300434308e-08
1807,1.4234775580490577e-08
1808,2.7192888385485503e-08
1809,6.7770917766551975e-09
1810,5.616304044053777e-08
1811,1.2535384286138651e-08
1812,1.0668832484128643e-08
1813,2.0130191291656274e-08
1814,1.5733386149463513e-08
1815,2.697223555614414e-09
1816,1.3905623319487859e-08
1817,7.784366928831332e-09
1818,8.34482416500748e-09
1819,2.070209959015301e-08
1820,1.5426425470366212e-08
1821,1.1833786284221048e-08
1822,1.0025615893027862e-08
1823,3.557767380701904e-08
1824,2.189489389792243e-08
1825,1.937197424695114e-08
1826,3.082794441944259e-08
1827,2.3964910667029216e-08
1828,1.7427372100975447e-08
1829,4.115124341286247e-08
1830,2.5048406682159907e-08
1831,7.795603274018958e-09
1832,2.841293600397421e-08
1833,7.529358647673234e-08
1834,3.360431177767964e-08
1835,4.235329242874286e-08
1836,2.4194700021240578e-08
1837,2.991893077730623e-08
1838,2.335499993399992e-08
1839,1.3283802724473048e-08
1840,4.1402977490889725e-08
1841,2.1829865026745665e-08
1842,1.9453968658211807e-08
1843,4.0757687003178944e-08
1844,2.0307677539577185e-08
1845,2.4553003186156275e-08
1846,3.21997570829069e-08
1847,2.7505441480002446e-08
1848,2.976732055293141e-08
1849,3.351766042491988e-08
1850,2.4440385715251978e-08
1851,1.7413484432182713e-08
1852,2.9948508117882966e-08
1853,2.7470886676539408e-08
1854,2.805658755322682e-08
1855,3.449509122788186e-08
1856,2.1744194667050465e-08
1857,2.001418675234845e-08
1858,1.761723378290725e-08
1859,1.78226069458276e-08
1860,1.1442959996221802e-08
1861,1.1318312787000906e-08
1862,1.6264750907213354e-08
1863,2.0477945228414285e-08
1864,4.794727948009836e-09
1865,1.4591218067128153e-08
1866,3.649209645573137e-08
1867,1.4073153309368536e-08
1868,9.38576083520104e-09
1869,8.30198221279943e-09
1870,5.160643912205387e-09
1871,1.4869647735338276e-08
1872,1.3908880824864411e-08
1873,1.3169209722718733e-08
1874,8.961913544602851e-09
1875,8.01013810836082e-09
1876,1.2092029821886285e-08
1877,9.27722387800145e-09
1878,1.992899334446463e-08
1879,1.527331294770562e-08
1880,7.059630657835214e-09
1881,1.743126931685879e-08
1882,1.0648616211028639e-08
1883,1.1374810038322636e-08
1884,2.8387296957532726e-08
1885,1.0313017162477678e-08
1886,2.452316305578961e-08
1887,1.893388101859017e-08
1888,2.409433608185907e-08
1889,2.1927978266500503e-08
1890,1.4419650584684973e-08
1891,1.2748439637277897e-08
1892,2.0059238936553925e-08
1893,3.3871290439080326e-08
1894,1.8274463942091757e-08
1895,1.865770427045277e-08
1896,7.666137447071009e-09
1897,1.0488084623005989e-08
1898,2.150174893689183e-08
1899,8.844125432005967e-09
1900,2.1283317330755835e-08
1901,1.6207343189744705e-08
1902,9.820567470342212e-09
1903,1.944079364157858e-08
1904,1.9886113200584532e-08
1905,1.23858218126216e-08
1906,1.9547901686234326e-08
1907,9.257117905558943e-09
1908,5.893666887857307e-09
1909,3.850688656825696e-09
1910,8.550640973048473e-09
1911,1.6493159393782264e-08
1912,5.2094213387476884e-09
1913,5.833288574397244e-09
1914,8.036092680185902e-09
1915,1.1780761699498044e-08
1916,1.3184954461564757e-08
1917,8.773139770212879e-09
1918,6.89182577673364e-09
1919,6.445493860862683e-09
1920,9.086678076641874e-09
1921,3.0290989716519334e-09
1922,8.115729144275718e-09
1923,3.1847844361720945e-09
1924,5.156649773851996e-09
1925,1.5397449537601915e-08
1926,7.802296808634424e-09
1927,4.4596899506643695e-09
1928,5.713020723163709e-09
1929,1.0026365737658693e-08
1930,1.2604324250986565e-08
1931,7.983749661377715e-09
1932,9.863582839386709e-09
1933,1.8353059516584835e-08
1934,2.3963160344919743e-08
1935,1.3165112555668657e-08
1936,1.9399543305098632e-08
1937,8.813782481631449e-09
1938,1.5558257460135394e-08
1939,1.5294050470515685e-09
1940,2.0286263113789005e-08
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,2.7842208538686464e-09
1947,9.536696765621855e-09
1948,6.523132700664291e-09
1949,3.9268033269479474e-09
1950,9.571825110299415e-09
1951,7.462981232997379e-09
1952,4.2179215675730575e-09
1953,3.2321482157371406e-09
1954,1.074978994708431e-08
1955,7.508486277174597e-09
1956,9.593255523299149e-09
1957,5.3010225653515874e-09
1958,3.3088973783179654e-09
1959,6.200598479111363e-09
1960,8.304999965513815e-09
1961,1.3896318873385383e-08
1962,8.878738855244706e-09
1963,5.1728423766661535e-09
1964,1.034274621503073e-08
1965,9.849678184181698e-09
1966,1.0524241811360469e-08
1967,1.627010748350699e-08
1968,1.077939790206095e-08
1969,7.26681231855153e-09
1970,1.0577067277584007e-08
1971,1.0276795192609711e-08
1972,6.156176124427759e-09
1973,1.488565032348177e-08
1974,1.5751600412894362e-08
