year,des_DET oies_NOUN,des_DET joies_NOUN
1800,3.772997354545282e-07,2.106590231143457e-07
1801,4.643306181772999e-07,2.571677271134831e-07
1802,4.1400042505301826e-07,1.2979472785445978e-07
1803,4.5442904728076883e-07,8.581492494386112e-08
1804,3.3617172467970136e-07,9.887404028852131e-08
1805,4.0368864784312564e-07,7.107194477384837e-08
1806,1.9595349609602408e-07,9.22134111291939e-08
1807,2.9893028363758845e-07,1.5942949005420815e-07
1808,2.809931678449118e-07,9.744117868137891e-08
1809,5.195770000909761e-07,5.1957702140725814e-08
1810,3.9314129374190543e-07,1.2168659679900884e-07
1811,3.183987451471637e-07,6.016983888912364e-08
1812,1.520308643421231e-07,1.2002436733382638e-07
1813,2.0705340375570813e-07,1.121539270343419e-07
1814,3.27254436438551e-07,1.1328037885505182e-07
1815,2.751168040049379e-07,2.1577788800186681e-07
1816,2.2248996955909206e-07,1.9004352225238108e-07
1817,1.9149542329621738e-07,1.3077737115452237e-07
1818,3.31408723130977e-07,2.0027577773973348e-07
1819,2.1944226169523517e-07,1.5009023179857195e-07
1820,2.385162769513727e-07,2.0885007501192376e-07
1821,2.790801291174816e-07,2.1202200484182754e-07
1822,2.1254305693219067e-07,1.4336630727029842e-07
1823,2.15442573114899e-07,2.3520794911746634e-07
1824,1.5158002586446173e-07,2.1726470578187218e-07
1825,2.4391076713925486e-07,3.266819303959778e-07
1826,2.3164998708136153e-07,2.4133876808107857e-07
1827,2.2582319425534791e-07,2.0093655156427914e-07
1828,2.1830077412410276e-07,2.4398321818441815e-07
1829,2.3490502504275312e-07,2.280464883597233e-07
1830,2.536151120224872e-07,2.703140482562816e-07
1831,3.3053355763534853e-07,4.958003319011084e-07
1832,2.1783250325757564e-07,4.47841995043774e-07
1833,3.475088590221276e-07,4.957792765214464e-07
1834,2.623003139134994e-07,4.620592892745634e-07
1835,2.6243915129953166e-07,4.598357605800629e-07
1836,2.473235943822871e-07,4.4558573719655215e-07
1837,2.9710193816256947e-07,3.8546715763754236e-07
1838,2.1650715620324945e-07,3.648429707237e-07
1839,2.481973737644694e-07,4.041072636518095e-07
1840,1.9427551034567614e-07,4.038382686033515e-07
1841,2.2471919214339664e-07,4.2696648483442345e-07
1842,2.508891068231378e-07,4.876908827888826e-07
1843,1.8665839540688012e-07,4.701901326065183e-07
1844,2.3820356265247256e-07,5.817875008418127e-07
1845,2.985421990731041e-07,6.266595962145516e-07
1846,1.8266044810033577e-07,5.462249557108834e-07
1847,2.3244794267185398e-07,4.168961993400444e-07
1848,2.260707319123867e-07,4.263967414153136e-07
1849,1.9188860278518405e-07,3.988601644522305e-07
1850,1.8058729089887038e-07,4.086975664563397e-07
1851,2.4636856132964624e-07,3.4697981265985334e-07
1852,1.5950836518285882e-07,5.136820298012879e-07
1853,2.573902571079145e-07,4.5625559064177423e-07
1854,1.8860262152031737e-07,5.450252000827049e-07
1855,2.2819829226250476e-07,6.071136056107207e-07
1856,1.8948512314764798e-07,6.409360540082787e-07
1857,1.6694761151292425e-07,4.920560936483298e-07
1858,1.942789422115787e-07,5.980072335098896e-07
1859,2.2762014584287726e-07,6.074962750624024e-07
1860,2.1970482655397916e-07,6.842890121205869e-07
1861,2.5371885348235423e-07,6.111888821713762e-07
1862,2.4442305335270476e-07,5.837238044037463e-07
1863,2.3075147836948418e-07,6.338174047826328e-07
1864,2.1672170014142011e-07,5.90231013397613e-07
1865,2.1557346707723468e-07,5.525835209407859e-07
1866,1.761351877682671e-07,5.133221852027248e-07
1867,2.4167001555497336e-07,6.386299968852427e-07
1868,2.4402978426874e-07,5.498079825860813e-07
1869,2.1389813420480408e-07,6.998082882070378e-07
1870,2.2534811972008129e-07,5.596431646992528e-07
1871,2.2729319937297987e-07,3.3987768532917073e-07
1872,2.2737995664101618e-07,4.964865742973501e-07
1873,2.789478137366075e-07,4.3039371244724123e-07
1874,2.168783148626119e-07,4.929052579427662e-07
1875,2.2428386659001376e-07,5.189425376084245e-07
1876,2.4788660191177314e-07,4.5284652183674723e-07
1877,2.5172201389978e-07,4.298447251471771e-07
1878,2.451869884900759e-07,4.3179484854327654e-07
1879,2.107717258503783e-07,4.98520964509197e-07
1880,2.2205747929326947e-07,3.84428993083219e-07
1881,2.175422397776572e-07,4.818002792283949e-07
1882,2.549012436681153e-07,4.785221832115383e-07
1883,2.6414836507004935e-07,4.6067980186137447e-07
1884,2.983967073433291e-07,4.5815778282332076e-07
1885,1.946581920653223e-07,4.550618852849908e-07
1886,2.110282685263698e-07,5.698408540588673e-07
1887,2.5136359083077764e-07,5.360246986274575e-07
1888,2.390411708574902e-07,5.782640526419414e-07
1889,2.1802676442028712e-07,5.337896450963164e-07
1890,2.3005895988248426e-07,5.31560737870862e-07
1891,2.2692223011766544e-07,5.813288836975516e-07
1892,2.0811460554881478e-07,6.080456760315656e-07
1893,2.1492873392148226e-07,5.246971008787682e-07
1894,2.0290956026514095e-07,5.715496382840968e-07
1895,1.7273423869035298e-07,6.590382675142337e-07
1896,1.8929463729833174e-07,6.398276521935031e-07
1897,2.1442305975227782e-07,5.803406817328494e-07
1898,1.8559404235674037e-07,5.584796038959894e-07
1899,2.2884174910586808e-07,6.063753392737681e-07
1900,2.2944454647344514e-07,6.836617201244621e-07
1901,1.5201369540918108e-07,5.812288397244458e-07
1902,1.5663804786569813e-07,5.548620825024386e-07
1903,1.8900771436847208e-07,5.972643766227748e-07
