year,ces_DET oeufs_NOUN,ces_DET jeux_NOUN
1800,3.615789267996661e-07,2.112878540572183e-06
1801,6.976865258856435e-07,2.6264443810930516e-06
1802,4.788977889802482e-07,3.117311337064166e-06
1803,1.9054813833463413e-06,2.4535267488801082e-06
1804,3.781931923185766e-07,3.5841838084138544e-06
1805,2.1321583432154512e-07,2.2401875803268467e-06
1806,3.1698359492793315e-08,2.394666978489113e-06
1807,1.2811298155668283e-07,1.4547940985210062e-06
1808,6.571614541428517e-08,2.9980158515741095e-06
1809,2.0331274441787173e-08,1.9292120612135477e-06
1810,6.084329395861232e-08,2.2839637452420902e-06
1811,1.7549537822958428e-08,2.1310152078513056e-06
1812,5.867858199337661e-08,2.344476081717062e-06
1813,7.189354267467252e-08,1.938249869937181e-06
1814,1.1013369771717407e-07,1.5355783951065405e-06
1815,2.1577788444915313e-08,1.375584012919262e-06
1816,5.7940095388175905e-08,1.281634919081398e-06
1817,7.784367150875937e-08,1.988127381835625e-06
1818,1.2994083675721413e-07,1.8775854009334125e-06
1819,1.6354659493345025e-07,2.22444069031269e-06
1820,4.153268395867826e-08,2.215471955224757e-06
1821,2.465372128668264e-08,2.2927961307317446e-06
1822,3.208197085768916e-08,1.8487236275177565e-06
1823,1.9765373338032077e-08,1.8589334622731712e-06
1824,3.705289586264371e-08,1.984014179612359e-06
1825,3.698285966358128e-08,1.751402585625783e-06
1826,4.4039921931471326e-08,1.928067765888386e-06
1827,1.0415518292283821e-07,1.660030850558769e-06
1828,6.787503004090922e-08,1.512512492141127e-06
1829,2.4004893184326193e-08,1.7077766614193024e-06
1830,5.009681003365074e-08,1.663631586268366e-06
1831,2.962329048727952e-08,1.484282842412199e-06
1832,2.1647950543268735e-08,1.7291300817845467e-06
1833,3.011743432423941e-08,1.9356243328161327e-06
1834,2.426977996350388e-08,1.9042442751526778e-06
1835,4.689114518896531e-08,1.7939644010311895e-06
1836,2.8227149950765806e-08,1.4711721707527659e-06
1837,3.757261257675282e-08,1.655978030257188e-06
1838,5.996553897880119e-08,2.0596583762966247e-06
1839,3.425822836522485e-08,1.5590990116720604e-06
1840,1.2102408630809691e-08,1.4777677250776833e-06
1841,1.9903700021473014e-08,1.3733553814176958e-06
1842,6.372851713010164e-08,1.4744767113938906e-06
1843,2.3036953011867922e-08,1.632079479563231e-06
1844,3.51267913645259e-08,1.4006808353173028e-06
1845,2.622707162558413e-08,1.456997478221922e-06
1846,5.0348711866377016e-08,1.3348262655199505e-06
1847,4.96176593145492e-08,1.297609601991212e-06
