year,ces_DET iles_NOUN,ces_DET gilles_NOUN
1800,2.2952400957620966e-07,0.0
1801,2.5954890969792643e-07,0.0
1802,2.551137754380761e-07,0.0
1803,2.125869797975355e-07,0.0
1804,4.770672230591799e-07,0.0
1805,1.4498676925711607e-07,0.0
1806,1.7578181132904547e-07,0.0
1807,3.3024679613191665e-07,0.0
1808,2.5606635878361317e-07,0.0
1809,2.50752382413566e-07,0.0
1810,5.07807524030568e-07,0.0
1811,4.838658114181271e-07,0.0
1812,1.653669094991983e-07,0.0
1813,2.041776518968419e-07,0.0
1814,1.44747149377622e-07,0.0
1815,1.0249449222676787e-07,0.0
1816,1.0197456745686395e-07,9.270415546325239e-09
1817,1.0431052022141785e-07,4.670620334934483e-09
1818,1.0133000749590337e-07,4.768470951432846e-09
1819,1.0972113195784061e-07,8.280840013696888e-09
1820,1.530776057023786e-07,0.0
1821,1.2819934880337058e-07,0.0
1822,2.0552512580707116e-07,6.015369535816717e-09
1823,1.9567720066504535e-07,9.882686891060644e-10
1824,1.8021180814287163e-07,8.421112696055388e-10
1825,2.2101662167095526e-07,8.805443041381977e-10
1826,3.0387546656740483e-07,0.0
1827,2.442577334837992e-07,5.530363722527909e-09
1828,2.2380415504175133e-07,0.0
1829,4.466624755616877e-07,3.429270478694235e-09
1830,1.9203777990028925e-07,0.0
1831,1.5747117698694524e-07,0.0
1832,2.55716420038965e-07,3.247192648103692e-08
1833,8.201208896441159e-07,0.0
1834,2.9310427596129784e-07,9.334530925997342e-10
1835,3.7512914730086777e-07,7.563087933704082e-10
1836,2.574047193171225e-07,2.6882999715205358e-09
1837,3.833797962426999e-07,0.0
1838,4.248085065938767e-07,6.312161904276081e-10
1839,3.3139591604225416e-07,4.194884994923598e-09
1840,4.5989152175351933e-07,1.2739377330817092e-09
1841,3.338685270470876e-07,0.0
1842,2.864429156090864e-07,2.0124795163667386e-09
1843,4.140744707115118e-07,5.906911071384968e-10
1844,2.810143364673223e-07,0.0
1845,3.4262599513112946e-07,0.0
1846,3.711753784330085e-07,5.854501328173001e-10
1847,3.7105379391277893e-07,1.6179670936367074e-09
1848,3.2904956581703004e-07,0.0
1849,3.770736656250051e-07,0.0
1850,2.7020204296235306e-07,2.7155984128057753e-09
1851,2.3604946530753068e-07,0.0
1852,2.7214079700854654e-07,0.0
1853,3.0815168550191174e-07,1.1943863675867306e-09
1854,2.2757009610074874e-07,0.0
1855,3.0143402085514026e-07,1.0613874223963649e-09
1856,2.2520773690359874e-07,0.0
1857,2.2064420956979802e-07,9.763018171682347e-10
1858,1.766617074849819e-07,0.0
1859,2.1539893424460388e-07,0.0
1860,1.4463901543138036e-07,1.373155145145688e-09
1861,1.6128595969888693e-07,4.715963730639317e-10
1862,1.7394247731061796e-07,0.0
1863,2.1526815974226565e-07,9.989241656072068e-10
1864,1.8747385976958242e-07,0.0
1865,1.741532420496128e-07,0.0
1866,2.04355741661999e-07,0.0
1867,1.3927569142424545e-07,0.0
1868,1.4473830578509705e-07,9.87974813071446e-10
1869,1.318550193474266e-07,4.883519144627257e-10
1870,1.1869481175708074e-07,0.0
1871,1.1258447996098653e-07,0.0
1872,1.215515206265394e-07,6.047339295989218e-10
1873,2.5260938296689517e-07,0.0
1874,9.141151990910146e-08,0.0
1875,1.2987866870872722e-07,0.0
1876,1.348261280398333e-07,6.04601479992084e-10
1877,1.224593546567121e-07,6.184815992682502e-10
1878,1.3708731083639236e-07,0.0
1879,1.0141480155656524e-07,6.720257683667796e-09
1880,1.3284941902114156e-07,0.0
1881,1.1992712645181314e-07,6.972507571312292e-10
1882,1.0981385645258968e-07,0.0
1883,1.162758399009256e-07,6.319338941018771e-10
1884,1.802263236427848e-07,0.0
1885,1.5533982034021676e-07,0.0
1886,2.9363261333514856e-07,0.0
1887,1.358016349373159e-07,0.0
1888,2.3143244010093156e-07,6.340614699951175e-10
1889,1.9296621045494788e-07,0.0
1890,2.0384142374041403e-07,0.0
1891,1.823026873903899e-07,0.0
1892,2.613969622977663e-07,0.0
1893,2.0877031947641456e-07,0.0
1894,1.0964678542890738e-07,0.0
1895,2.9370837761888424e-07,1.8055843487019274e-09
1896,1.810387856293616e-07,0.0
1897,1.7771476845673817e-07,1.1653427112179315e-09
1898,1.9012072449697826e-07,0.0
1899,2.736151341053983e-07,5.527578395003729e-10
1900,1.7805311758323228e-07,0.0
1901,1.905760034226489e-07,5.588738916095792e-10
1902,1.8609976448757948e-07,0.0
1903,1.8360749054480152e-07,5.400220270956879e-10
1904,1.2092906764848976e-07,0.0
1905,1.5637099670673393e-07,0.0
1906,1.7490227133265535e-07,0.0
1907,1.265139495387757e-07,0.0
1908,1.1639991792655735e-07,0.0
1909,1.2322203318815284e-07,5.500983557560346e-10
1910,1.063485997043756e-07,2.137660271017694e-09
