year,tels_ADJ gens_NOUN
1800,3.772997558826319e-08
1801,5.2386017301842e-08
1802,2.9091921760482364e-08
1803,4.8758479920252285e-08
1804,3.460591457837836e-08
1805,6.538618890772341e-08
1806,8.645007198992971e-08
1807,6.832692633906845e-08
1808,6.118399653587403e-08
1809,6.09938268780752e-08
1810,3.042164919975221e-08
1811,1.1532553401139012e-07
1812,3.200649700829672e-08
1813,2.5881674581285097e-08
1814,1.1642705288750221e-07
1815,1.1328339155625144e-07
1816,2.7811246638975717e-08
1817,5.1376822796100896e-08
1818,9.536942013887995e-08
1819,7.763287612760905e-08
1820,9.967844505354151e-08
1821,1.0551792684054817e-07
1822,8.120748873352568e-08
1823,9.487379770689586e-08
1824,2.3326481723984216e-07
1825,2.2013607292592496e-07
1826,1.470933409519759e-07
1827,2.1476246558904677e-07
1828,8.988855171310206e-08
1829,1.0116347937128012e-07
1830,1.2106730196137505e-07
1831,6.548306430431694e-08
1832,6.900284432731496e-08
1833,5.79181431703546e-08
1834,5.600718466780563e-08
1835,1.3084142125308063e-07
1836,1.4449612811828771e-07
1837,1.5794412333569596e-07
1838,2.1524472515466186e-07
1839,1.3143973376372742e-07
1840,1.0318895382610549e-07
1841,6.741576186186649e-08
1842,6.104521332872537e-08
1843,8.624090352959968e-08
1844,6.476502534269457e-08
1845,6.194053270291988e-08
1846,1.0596647670446657e-07
1847,4.7460368080010085e-08
1848,6.918891010121442e-08
1849,2.6814127807028854e-08
1850,5.091747024010829e-08
1851,9.609663464971163e-08
1852,8.333498024981623e-08
1853,7.763511256086986e-08
1854,6.962190468584595e-08
1855,4.617035287424187e-08
1856,8.231730563856843e-08
1857,8.347380497930601e-08
1858,9.591604799297215e-08
1859,8.656694916453489e-08
1860,4.0279219154504275e-08
1861,4.951761845006786e-08
1862,5.5571231227791174e-08
1863,6.792684131839977e-08
1864,1.0260718141807956e-07
1865,6.260102836108672e-08
1866,8.076917090704683e-08
1867,7.133632884404051e-08
1868,7.755602382530924e-08
1869,1.0987918319660395e-07
1870,4.6445795209848484e-08
1871,1.168329473166807e-07
1872,5.805445890683103e-08
