year,petits_ADJ oeufs_NOUN,petits_ADJ jeux_NOUN
1800,4.7162465932615305e-08,1.886498623981936e-07
1801,5.2386017301842e-08,1.5953923560019234e-07
1802,2.9091921760482364e-08,2.0364345232337655e-07
1803,4.095712213825209e-08,1.618781624301846e-07
1804,2.7190360185613827e-08,1.5819846588271957e-07
1805,1.421438877713399e-08,2.1321582721611776e-07
1806,2.881669125542885e-08,2.4494187300660997e-07
1807,3.4163463169534225e-08,1.3095993267597805e-07
1808,4.5321479902327155e-09,1.744876954035135e-07
1809,2.259030518203531e-09,1.5587311197329257e-07
1810,1.6380887757350138e-08,2.386929338626942e-07
1811,1.0028307073639553e-08,1.6546707115594472e-07
1812,2.6672082320544632e-09,2.1070944455914287e-07
1813,0.0,1.5241430162404868e-07
1814,0.0,9.754699048514226e-08
1815,1.0788894222457657e-08,1.0249449644561537e-07
1816,2.3176038865813098e-09,1.1356259221884102e-07
1817,6.227493631882908e-09,2.4754286531702974e-07
1818,2.1458118837358597e-08,1.0729059596314983e-07
1819,1.449147024601416e-08,1.4905511358520585e-07
1820,4.746592452420373e-09,1.2341141086835705e-07
1821,2.9584463767662328e-09,2.2780037278735676e-07
1822,7.017931125119503e-09,1.6341753905635414e-07
1823,9.882686891060644e-10,2.2631353469027005e-07
1824,6.736890156844311e-09,2.2147526657079197e-07
1825,3.522177216552791e-09,4.068114718425164e-07
1826,1.4973572604048968e-08,1.4797413605549536e-07
1827,1.8434546111834038e-09,1.4194599984307388e-07
1828,4.586150570418113e-09,1.1281930528683759e-07
1829,5.143905745796928e-09,9.087566416043913e-08
1830,4.174734336004349e-09,1.2524202475105994e-07
1831,1.5591206103948707e-09,1.1537492694557727e-07
1832,4.058990921151917e-09,9.065079309422686e-08
1833,5.791814139399776e-09,1.4827044592102823e-07
1834,2.8003592777992026e-09,8.86780415765287e-08
1835,7.563087933704082e-10,8.848812882433776e-08
1836,1.3441500135158435e-09,1.1425275159293591e-07
1837,7.653680356156656e-09,7.862417006343492e-08
1838,6.312161904276081e-10,1.1993107951191462e-07
1839,4.194885327990505e-09,1.0067724298679082e-07
1840,0.0,5.223144716737238e-08
1841,1.926164561183441e-09,7.76886350806194e-08
1842,5.366612043644636e-09,7.915753030829364e-08
1843,5.31621990873532e-09,1.0809647493781327e-07
1844,2.7442805805577564e-09,7.354671988091255e-08
1845,2.7901139176833567e-09,1.0156014695894555e-07
1846,5.854501328173001e-10,7.903576704215709e-08
1847,2.6966118227278457e-09,5.986478157637976e-08
1848,0.0,6.91889070481011e-08
1849,1.6758829879393033e-09,1.1144621625547302e-07
1850,2.7155984128057753e-09,4.2091777174846357e-08
1851,3.2247193804124663e-09,5.997978291816253e-08
1852,5.208436348880241e-09,6.445440292601745e-08
1853,4.180352064508952e-09,7.942669277838377e-08
1854,1.558699391779328e-09,1.5690906707277463e-07
1855,0.0,7.960405312701369e-08
1856,1.5531567143511893e-09,1.5117393004082658e-07
1857,0.0,1.459571197237608e-07
1858,9.787352039936081e-10,1.5512952589169515e-07
1859,2.036869339860914e-09,1.323965075350486e-07
1860,4.577183909670879e-10,1.04359793862141e-07
1861,1.4147891747029462e-09,9.667725775486247e-08
1862,0.0,1.0888346979598396e-07
1863,9.989241656072068e-10,9.889349517067103e-08
1864,4.794727948009836e-10,1.0596348687386126e-07
1865,4.706844358715045e-10,1.0684536949634449e-07
1866,3.8924903300596725e-09,1.0655692506134073e-07
1867,3.396968040192405e-09,5.7263173758315133e-08
1868,4.93987406535723e-10,1.0126741889493474e-07
1869,0.0,1.0353060719836549e-07
1870,1.7202146374017957e-09,4.6445796542116113e-08
1871,0.0,1.0196330002543164e-07
1872,3.0236697590169115e-09,7.317280736884868e-08
1873,1.7958012854535355e-09,7.662085410586883e-08
1874,1.1949218281515073e-09,7.826738190885862e-08
1875,4.005069165202713e-09,7.380770261633529e-08
1876,0.0,6.529696161550191e-08
1877,1.8554447978047506e-09,8.844286925047129e-08
1878,0.0,8.635896753261818e-08
1879,6.10932526790009e-10,8.614148405694522e-08
1880,1.9253538763308597e-09,8.150664854156275e-08
