year,les_DET oeufs_NOUN,les_DET jeux_NOUN
1800,1.050150927994764e-06,8.042772734029313e-06
1801,1.750169179359773e-06,9.231845140789119e-06
1802,1.635861167414987e-06,1.0186648637500184e-05
1803,5.74569926703461e-06,9.061276244892724e-06
1804,1.4015394937949566e-06,1.0564690555270317e-05
1805,1.4356532724857374e-06,8.127787246792195e-06
1806,3.0257525018839715e-07,1.0814903980360668e-05
1807,3.387876525984268e-07,7.322368645645838e-06
1808,3.172503699744311e-07,1.0312903100384574e-05
1809,3.004510509274638e-07,7.280855434999012e-06
1810,4.937667354987241e-07,9.402628904808807e-06
1811,1.6797414126301646e-07,1.0477073544734594e-05
1812,2.0270783229747735e-07,7.484186102857393e-06
1813,3.911008619184031e-07,9.193745661661978e-06
1814,5.349350913341766e-07,6.951009780209461e-06
1815,2.2656678222432447e-07,7.034359047253247e-06
1816,3.963102610526903e-07,5.787057062889289e-06
1817,6.196355881726845e-07,7.4262862099772065e-06
1818,4.828076922702706e-07,7.999110039236257e-06
1819,5.775886062764357e-07,7.9879053203058e-06
1820,2.7174242323013686e-07,7.776104915535598e-06
1821,1.2425475581778755e-07,8.295483844733553e-06
1822,1.9349438673543773e-07,7.0931230737869555e-06
1823,1.8678277735606486e-07,6.2290577815815595e-06
1824,2.147383737494124e-07,7.101524495567446e-06
1825,1.9107811288776588e-07,7.289145891320459e-06
1826,1.6030530847199742e-07,6.599822739872252e-06
1827,6.756261352047765e-07,6.932311269025604e-06
1828,3.1460993210608024e-07,6.142690196497824e-06
1829,1.7746473929269868e-07,5.900917077639178e-06
1830,2.0143092882562996e-07,5.930210118521018e-06
1831,1.7773974980705987e-07,5.1373023879364155e-06
1832,1.9483155533350782e-07,6.330672761123424e-06
1833,1.8997151052246863e-07,7.364870853621142e-06
1834,2.240287466648283e-07,6.358682401952365e-06
1835,1.8680827196249083e-07,7.075268641187904e-06
1836,2.083432480426417e-07,5.861166222587144e-06
1837,2.866651082067406e-07,5.733997726409257e-06
1838,2.9793404321409866e-07,7.296859241279208e-06
1839,2.0415107082616402e-07,5.688264089087625e-06
1840,1.1911317832069557e-07,5.594497519467723e-06
1841,1.5280905474313045e-07,5.3213504429550085e-06
1842,2.8912622784815767e-07,5.2519006672469e-06
1843,1.7720733613835193e-07,5.739745667199259e-06
1844,2.2064016780287687e-07,5.339821150585067e-06
1845,1.8414752256390443e-07,5.802320849568332e-06
1846,1.7504959481939864e-07,5.63964130151362e-06
1847,3.1658221377739437e-07,5.125180450704647e-06
1848,2.051531546864993e-07,4.800583607078579e-06
1849,2.0864742733550656e-07,5.637670319913468e-06
1850,1.7379830286046172e-07,5.1800038392002534e-06
1851,2.3024495665602274e-07,5.060229682385398e-06
1852,1.9401425377374437e-07,5.357528024774183e-06
1853,1.9229620096261613e-07,5.212302088608567e-06
1854,1.1430461621664278e-07,5.629502325632529e-06
1855,1.719447624282111e-07,5.7107948450152435e-06
1856,1.1234500962853389e-07,5.337164374452641e-06
1857,1.571845890113721e-07,4.916167611668243e-06
1858,8.514996041597556e-08,5.026294552124e-06
1859,1.4461772246399107e-07,5.572874549386597e-06
1860,5.60705014196472e-07,4.93283127056543e-06
1861,1.763770467455572e-07,5.3526186079011495e-06
1862,1.0888347223847461e-07,5.566159096304091e-06
1863,9.439833159596844e-08,5.429152775349166e-06
1864,1.486365611702567e-07,4.928021240857561e-06
1865,1.2237795188330125e-07,5.2151836449354505e-06
1866,1.3429091927363856e-07,4.568324079912145e-06
1867,1.0918825665839904e-07,5.151744687736937e-06
1868,1.0966520536115354e-07,4.495779279523049e-06
1869,8.790334371511221e-08,4.674992705844261e-06
1870,1.5481931425753714e-07,4.83781675342243e-06
1871,9.452847815616394e-08,4.381235520156679e-06
1872,1.1006157296655772e-07,4.219833307672616e-06
1873,1.5862911295627669e-07,4.209358436924049e-06
1874,1.332337859483168e-07,4.066318865625362e-06
1875,2.0940789680068406e-07,4.641302908225953e-06
1876,1.0278224960025284e-07,4.3851744848666385e-06
1877,1.6822699777652161e-07,4.322567775716379e-06
1878,2.143876439708592e-07,4.563739459229055e-06
1879,1.2035370577923032e-07,4.253923194141862e-06
1880,1.5852080514910938e-07,4.9314729224647635e-06
1881,1.2480788336155513e-07,4.094256361497628e-06
1882,2.642187848511668e-07,4.6967051332558185e-06
1883,2.799467148095758e-07,4.6150132533284705e-06
1884,1.1618986661687813e-07,3.9266893736567e-06
1885,1.2440076779807185e-07,4.7033805188334554e-06
1886,1.35522741750993e-07,4.776208548662453e-06
1887,1.93909063028741e-07,4.300602572726575e-06
1888,1.4076164656096068e-07,4.138519116736461e-06
1889,2.506054730400109e-07,4.4225599964420326e-06
1890,1.3502035778323318e-07,4.477956721871124e-06
1891,2.9958834346643926e-07,4.310884989422448e-06
1892,3.3787280573349676e-07,4.461300164848581e-06
1893,1.1269902422950118e-06,4.086109406387095e-06
1894,2.1047141474106468e-07,4.436283774111871e-06
1895,1.1014064926762046e-07,4.314142824313194e-06
1896,1.4152869398653678e-07,4.5507371737585345e-06
1897,2.0684832635620154e-07,3.944102310526887e-06
1898,1.8163319970287972e-07,3.953492566211025e-06
1899,1.260287909587987e-07,4.049503935732446e-06
1900,1.6092264853995175e-07,4.622632737039112e-06
