year,tes_DET oeufs_NOUN,tes_DET jeux_NOUN
1800,0.0,7.860410988769218e-08
1801,0.0,9.048494087338099e-08
1802,0.0,1.1189200677108602e-07
1803,0.0,8.581492272341507e-08
1804,0.0,8.651478111687538e-08
1805,0.0,5.1171799242411e-08
1806,0.0,8.933173933911576e-08
1807,0.0,7.117387923472052e-08
1808,0.0,9.064296024874352e-08
1809,0.0,6.551188391767937e-08
1810,2.3401267590372754e-09,9.360506858513418e-08
1811,0.0,1.6045291317823285e-07
1812,0.0,2.9339290996688305e-08
1813,0.0,9.777521836618064e-08
1814,0.0,5.664018942752591e-08
1815,0.0,5.1247247334629265e-08
1816,0.0,5.7940098940889584e-08
1817,0.0,6.383181205826816e-08
1818,0.0,2.98029438905445e-08
1819,0.0,6.107119654430448e-08
1820,0.0,9.137190648544902e-08
1821,0.0,6.705811883556123e-08
1822,2.0051231786055723e-09,6.51665033046811e-08
1823,0.0,6.62140015039725e-08
1824,0.0,6.400045915455621e-08
1825,0.0,3.169959650328735e-08
1826,0.0,7.134467239211517e-08
1827,0.0,3.133872955585204e-08
1828,0.0,5.319934592851183e-08
1829,8.57317605795771e-10,3.6864655328372464e-08
1830,0.0,6.366470173269079e-08
1831,0.0,2.8064171431196883e-08
1832,0.0,6.764984861185042e-08
1833,0.0,9.498575082034222e-08
1834,0.0,5.6940639092672996e-08
1835,0.0,4.4622218808854086e-08
1836,0.0,4.1668652084325686e-08
1837,0.0,3.409366378104295e-08
1838,0.0,4.986607904378104e-08
1839,0.0,3.0063343925412767e-08
1840,0.0,3.694419481448108e-08
1841,0.0,4.173356460412947e-08
1842,3.3541325272778977e-09,2.1466447730489335e-08
1843,5.906911071384968e-10,2.5399717218377305e-08
1844,0.0,3.512679169759281e-08
1845,0.0,3.627148098539479e-08
1846,0.0,3.4541559168488334e-08
1847,0.0,3.343798571364687e-08
1848,0.0,3.137636639394259e-08
1849,0.0,2.4300304213298318e-08
1850,0.0,5.70275675570997e-08
1851,0.0,1.5478653248024443e-08
1852,0.0,3.450589147746541e-08
1853,0.0,2.0304568471019024e-08
1854,0.0,3.065442089056347e-08
1855,0.0,4.0332722051061864e-08
1856,0.0,2.2261912979715248e-08
1857,0.0,3.172980950205684e-08
1858,0.0,2.7404584823642608e-08
1859,0.0,1.78226069458276e-08
1860,4.577183909670879e-10,4.43986838405408e-08
1861,4.715963730639317e-10,4.0085692820657215e-08
1862,0.0,3.749928745300224e-08
1863,0.0,2.4473642334932322e-08
1864,4.794727948009836e-10,4.17141343689309e-08
1865,0.0,1.835669355410019e-08
1866,4.865612912574591e-10,3.4545851734790745e-08
1867,0.0,3.1543274658929477e-08
1868,0.0,1.8277534041821752e-08
1869,4.883519144627257e-10,2.0999133210075627e-08
1870,0.0,2.0069170325598407e-08
1871,0.0,2.4428708167434365e-08
1872,6.047339295989218e-10,2.418935707293457e-08
