year,plusieurs_DET ans_NOUN,plusieurs_DET gens_NOUN
1800,9.432493897065797e-09,3.615789196942387e-07
1801,7.143547753329926e-09,5.167166108321908e-07
1802,2.2378401354217203e-08,3.0434625841735397e-07
1803,1.5602713787643552e-08,3.471603946536561e-07
1804,2.4718509461507665e-09,6.229064553053831e-07
1805,5.685755422035754e-09,5.57204046458537e-07
1806,2.881669125542885e-09,5.331087962190395e-07
1807,8.540865792383556e-09,3.273998530062272e-07
1808,0.0,3.4217717015394555e-07
1809,4.518061036407062e-09,3.682219684719712e-07
1810,1.4040760554223652e-08,4.4696420786749513e-07
1811,5.0141535368197765e-09,8.599273115805772e-07
1812,1.8670458068470452e-08,3.253994087515366e-07
1813,5.751483289628823e-09,4.917518126035247e-07
1814,3.1466771410748606e-09,6.04162035955369e-07
1815,2.697223555614414e-09,4.342530015577495e-07
1816,2.3176038865813098e-09,3.731342168578067e-07
1817,9.341240669868967e-09,4.686188859182039e-07
1818,1.7881766067873173e-08,4.1843333065116894e-07
1819,3.1053151161586356e-09,7.173277865035743e-07
1820,2.610625848831205e-08,1.4156712495605461e-06
1821,4.2404398215012407e-08,6.636781719748797e-07
1822,4.411270992932259e-08,5.062935883870523e-07
1823,9.882687224127551e-09,6.799288598813291e-07
1824,8.252690264498597e-08,1.2926407535474027e-06
1825,6.163809906922779e-09,1.0901138196572902e-06
1826,4.4039921931471326e-08,2.2548440199443576e-06
1827,3.133872894522938e-08,8.37850105739335e-07
1828,8.346794067026764e-08,7.521287024303547e-07
1829,1.2859763920403111e-08,4.1922830362750574e-07
1830,1.6698937344017395e-08,4.19560798547991e-07
1831,3.274153215215847e-08,3.383291709013747e-07
1832,1.2176972319366541e-08,3.7072115333103284e-07
1833,4.6334514003376626e-09,3.0928287486631234e-07
1834,3.547121618652227e-08,3.705808708787117e-07
1835,2.647080776796429e-08,6.912662442459805e-07
1836,2.352262562510532e-08,9.738367019451744e-07
1837,4.0355768504696243e-08,9.080047753684539e-07
1838,2.3354999711955315e-08,1.0976849793564725e-06
1839,1.677954131196202e-08,4.3137403160642407e-07
1840,1.6561189752906103e-08,5.032054097853234e-07
1841,1.6051371787284552e-08,3.7688620047049426e-07
1842,5.366612043644636e-08,4.192665734592538e-07
1843,5.906910960362666e-09,2.888479464502325e-07
1844,3.0735943568060975e-08,3.326068043207897e-07
1845,1.5066614622583074e-08,2.3994980491437445e-07
1846,2.2247105491146613e-08,3.360483695757921e-07
1847,1.1325769655456952e-08,3.041778056100952e-07
1848,3.218088684420195e-09,3.0893652436247976e-07
1849,1.005529792763582e-08,2.4803069376133635e-07
1850,1.2899092460827433e-08,3.5710119661302997e-07
1851,1.0319102239364497e-08,2.708764199610414e-07
1852,1.4323199959420663e-08,2.3503069357388995e-07
1853,3.1651239851271384e-08,3.7324575075103894e-07
1854,2.6497887994914038e-08,6.62966794351405e-07
1855,3.8209947206269135e-08,3.725469959192651e-07
1856,1.5531567587601103e-08,3.251274911519886e-07
1857,3.807577053649425e-08,6.570511175141291e-07
1858,1.761723389392955e-08,5.241126999067092e-07
1859,2.6988518975201714e-08,5.830538540863017e-07
1860,1.7393299245327398e-08,3.0895991898205466e-07
1861,8.488734437595014e-09,2.433437327198362e-07
1862,7.6805766469068e-09,2.1957413398610015e-07
1863,9.989241933627824e-09,3.4862454789674757e-07
1864,3.548098703731739e-08,3.739887670661801e-07
1865,2.3534221293974866e-08,2.6217122517380176e-07
1866,2.238181906477621e-08,2.520387525350998e-07
1867,9.220341823379385e-09,2.9844791171740326e-07
1868,1.7289560005906424e-08,3.4924909542155547e-07
1869,2.0510780074367574e-08,2.895926911605784e-07
1870,1.77755516972411e-08,2.7924817302960037e-07
1871,1.3807530230280918e-08,1.518828369739822e-07
1872,6.652073114565837e-09,2.3282255590117984e-07
1873,2.3944018323618366e-08,2.9690582259433995e-07
1874,1.6131444624534197e-08,3.5608670323483693e-07
1875,1.3731664694205392e-08,2.8435989918307314e-07
1876,1.0278224937820823e-08,2.5514182411257025e-07
1877,9.27722432209066e-09,2.9192331396643567e-07
1878,1.8117265465633636e-09,3.236951577889613e-07
1879,2.2604503158163425e-08,4.062701322027351e-07
1880,1.8611753915820373e-08,3.427129975364096e-07
1881,6.9725074602899895e-09,3.2212985168200703e-07
1882,1.0648615988984034e-08,2.981612645669429e-07
1883,8.21514056781325e-09,3.03328269168901e-07
1884,1.5183903023796574e-08,2.719899185876784e-07
1885,1.4180398244523218e-08,3.3388393916311543e-07
1886,7.098810428374236e-09,3.375161576890662e-07
1887,1.828098877831863e-08,1.939090674696331e-07
1888,7.608737417896805e-09,2.967407723986071e-07
1889,2.318100555953606e-08,3.0072657430935124e-07
1890,1.1797895660414781e-08,2.1432844121704875e-07
1891,5.736798147637501e-09,2.192731631822653e-07
1892,1.6298132621272998e-08,1.8617481156724125e-07
