year,seuls_ADJ ans_NOUN,seuls_ADJ gens_NOUN
1800,0.0,3.144164395507687e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,3.5805442166747525e-08
1803,0.0,7.801356893821776e-09
1804,0.0,1.730295728918918e-08
1805,0.0,3.4114531644036106e-08
1806,0.0,3.7461699520235925e-08
1807,0.0,0.0
1808,0.0,4.758755522971114e-08
1809,0.0,3.6144488291256494e-08
1810,0.0,2.3401266702194334e-08
1811,2.5070767684098882e-09,1.504245972228091e-08
1812,0.0,2.400487453257938e-08
1813,0.0,2.300593315851529e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,2.4275012222574333e-08
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,7.784366928831332e-09
1818,0.0,4.6492591110336434e-08
1819,0.0,4.0369094733705424e-08
1820,0.0,4.865257352548724e-08
1821,0.0,3.550135829755163e-08
1822,0.0,2.2056354964661296e-08
1823,0.0,5.237824041159911e-08
1824,0.0,2.6947560627377243e-08
1825,0.0,1.6730341556581152e-08
1826,0.0,1.5854372037438225e-08
1827,9.217273055917019e-10,2.488663675137559e-08
1828,0.0,3.118582370120748e-08
1829,8.57317605795771e-10,3.600733933240008e-08
1830,0.0,1.6698937344017395e-08
1831,0.0,3.585977381703742e-08
1832,0.0,3.2471927369215337e-08
1833,0.0,9.266902800675325e-09
1834,1.8669061851994684e-09,2.240287422239362e-08
1835,0.0,1.739510224751939e-08
1836,6.720750067579218e-10,3.091545153210973e-08
1837,0.0,2.7831564608504777e-08
1838,0.0,1.3886756633496589e-08
1839,6.9914751765765e-10,2.027527834513876e-08
1840,1.9109065441114126e-09,2.1019973317493168e-08
1841,6.420548537278137e-10,4.494383976094696e-09
1842,0.0,1.0062397137744483e-08
1843,5.906911071384968e-10,1.594865928211675e-08
1844,5.488561272137815e-10,7.1351298203126134e-09
1845,5.580227946389016e-10,2.0088821273134272e-08
1846,0.0,3.5127007969038004e-09
1847,0.0,1.1325769655456952e-08
1848,0.0,2.252662056889676e-08
1849,0.0,2.0948537127196687e-08
