year,divers_DET ans_NOUN,divers_DET gens_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,1.6668277424969347e-08
1802,0.0,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,8.540865792383556e-09
1808,0.0,9.064295980465431e-09
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,1.2454987263765815e-08
1818,0.0,0.0
1819,0.0,2.070210003424222e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,1.97229765852569e-09
1822,0.0,1.804610860745015e-08
1823,0.0,5.0401702367253165e-08
1824,0.0,0.0
1825,0.0,1.3208164340028361e-08
1826,8.807984341885344e-10,3.5231937367541377e-09
1827,0.0,1.566936447261469e-08
1828,0.0,0.0
1829,0.0,1.714635211591542e-09
1830,0.0,2.0873671680021744e-09
1831,0.0,0.0
1832,0.0,1.3529969367098715e-09
1833,0.0,0.0
1834,0.0,1.120143711119681e-08
1835,0.0,3.1764969321557146e-08
1836,0.0,4.032449929525228e-09
1837,0.0,2.5744196108234974e-08
1838,0.0,1.8936485712828244e-09
1839,0.0,0.0
1840,0.0,8.280594876453051e-09
1841,0.0,7.704658244733764e-09
1842,0.0,0.0
1843,1.7720733769266417e-09,5.906911015873817e-09
1844,0.0,5.488561272137815e-10
1845,1.1160455892778032e-09,5.580227946389016e-10
1846,1.1709002656346001e-09,2.3418005312692003e-09
1847,0.0,2.1572894581822766e-09
1848,0.0,1.206783251106458e-08
1849,0.0,5.02764896381791e-09
1850,0.0,2.7155984128057753e-09
1851,6.449438760824933e-10,6.449438760824933e-10
1852,1.3021090872200602e-09,1.3021090872200602e-09
1853,0.0,4.777545470346922e-09
1854,0.0,9.871762796098693e-09
1855,0.0,5.837630823180007e-09
1856,0.0,1.3460691561384408e-08
1857,3.905207268672939e-09,2.9289055625270066e-09
1858,0.0,4.893675908945738e-09
1859,1.018434669930457e-09,5.092173349652285e-10
1860,0.0,0.0
1861,0.0,7.073945429425521e-09
1862,0.0,5.421583626485926e-09
1863,0.0,7.491931353076353e-09
1864,0.0,3.835782247385566e-09
1865,1.4120533631256649e-09,2.8241067262513297e-09
1866,9.731225825149181e-10,1.6056523222118813e-08
1867,0.0,7.279217228983725e-09
1868,4.93987406535723e-10,7.409810987013543e-09
