year,vieux_ADJ jeux_NOUN
1800,0.0
1801,0.0
1802,1.3427040812530322e-08
1803,0.0
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,9.360507036149102e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.0351049795076506e-08
1820,0.0
1821,0.0
1822,6.015369535816717e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,1.8434546111834038e-09
1828,0.0
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,0.0
1833,2.3167257001688313e-09
1834,9.334530925997342e-10
1835,0.0
1836,7.392825018825988e-09
1837,0.0
1838,0.0
1839,1.3982950353153e-09
1840,1.2739377330817092e-09
1841,1.926164561183441e-09
1842,9.391571076378114e-09
1843,5.906911071384968e-10
1844,8.7816978133759e-09
1845,0.0
1846,0.0
1847,5.393223645455691e-10
1848,0.0
1849,0.0
1850,3.394498016007219e-09
1851,8.384270389072412e-09
1852,6.510545436100301e-10
1853,1.7915795513800958e-09
1854,5.195664343204953e-09
1855,2.653468555990912e-09
1856,0.0
1857,0.0
1858,0.0
1859,3.055304009791371e-09
1860,4.119465657481669e-09
1861,0.0
1862,4.517986262886353e-10
1863,4.994620717013731e-09
1864,4.794727948009836e-10
1865,4.706844247692743e-09
1866,4.865612801552288e-09
1867,9.7056229719783e-10
1868,0.0
1869,9.767038289254515e-10
1870,4.013834153937523e-09
1871,0.0
1872,0.0
1873,5.986004469882289e-10
1874,0.0
1875,2.2886108563824337e-09
1876,1.209202959984168e-09
1877,1.0514186854493346e-08
1878,6.039088673581716e-10
1879,0.0
1880,2.5671385017744797e-09
1881,0.0
1882,0.0
1883,6.319338829996468e-09
1884,3.9610181801208455e-09
1885,7.734762663691441e-09
1886,6.453463929911862e-09
1887,2.6115698492645834e-09
1888,1.0779045211961602e-08
1889,1.3783300722991498e-08
1890,9.176140736144589e-09
1891,5.736798147637501e-09
1892,8.775916882086676e-09
1893,7.390100087434348e-09
1894,1.1342770278588432e-08
1895,5.416753268150387e-09
1896,6.486732040400511e-09
1897,7.574727511894253e-09
1898,1.584339415217073e-08
1899,9.39688327150634e-09
1900,4.671947717582725e-09
1901,6.147612641171918e-09
1902,8.838511256215043e-09
1903,1.1880484152015924e-08
1904,5.374625189347171e-09
1905,1.0321517696088023e-08
1906,1.2860461140462576e-08
1907,9.771402076363955e-09
1908,1.4734167663732478e-08
1909,1.1001967337165297e-08
1910,7.481810726517324e-09
1911,1.649316061502759e-08
1912,2.1879568379290504e-08
1913,8.484783542428431e-09
1914,1.808120853041828e-08
1915,4.712304768617059e-09
1916,1.0987461607214755e-08
1917,4.386569774084137e-09
1918,6.89182577673364e-09
1919,8.287063479883727e-09
1920,4.543339038320937e-09
1921,1.2873671018098776e-08
1922,8.853522692753302e-09
1923,7.431163684401554e-09
1924,1.2891624656674594e-08
