year,vos_DET ans_NOUN,vos_DET gens_NOUN
1800,4.4018303668735825e-08,4.810571638813599e-07
1801,1.1905912700171939e-08,5.476720232877597e-07
1802,2.6854081625060644e-08,5.907897673296247e-07
1803,3.315576790896557e-08,4.953861676426641e-07
1804,4.69651695311768e-08,7.934641601536896e-07
1805,3.4114531644036106e-08,4.889749671832533e-07
1806,8.35684019762084e-08,1.040282576525442e-06
1807,3.4163463169534225e-08,2.9893030273342447e-07
1808,3.3991110370834576e-08,4.826737587393382e-07
1809,1.129515236897305e-08,6.099382652280383e-07
1810,3.7442028144596406e-08,6.833169905462455e-07
1811,9.27618373225414e-08,7.42094734107468e-07
1812,1.3336041604361526e-08,4.934335180450944e-07
1813,2.5881675469463516e-08,5.550181327862447e-07
1814,5.349351184236184e-08,4.279480982916084e-07
1815,1.8880564667256294e-08,2.481445680047045e-07
1816,2.7811246638975717e-08,3.8703984017729454e-07
1817,2.3353100786493997e-08,9.714889941392357e-07
1818,2.741870730460505e-08,5.98443087085343e-07
1819,3.8298885840504227e-08,5.392897310940725e-07
1820,1.1510486785937246e-07,1.5177228860352443e-06
1821,1.2819934447350079e-08,8.342818986761813e-07
1822,5.413832582235045e-08,9.243617711263141e-07
1823,6.324919610278812e-08,6.552221165634364e-07
1824,2.86317822784099e-08,1.7456966077133984e-06
1825,3.9624492131906663e-08,1.524222163595823e-06
1826,2.290075862276808e-08,1.203170615582394e-06
1827,4.147772969531616e-08,8.516760345855801e-07
1828,1.3758452155343548e-08,5.714343558338442e-07
1829,1.971830521085849e-08,4.6895272554081657e-07
1830,3.652892388572582e-08,6.909185330528089e-07
1831,7.795603274018958e-09,6.158526559829625e-07
1832,2.8412935559885e-08,5.587877538459907e-07
1833,9.266902800675325e-09,6.370995890847553e-07
1834,9.334531370086552e-09,6.272804640161667e-07
1835,1.663879345414898e-08,1.153370860151881e-06
1836,2.2178475223011418e-08,8.763858296845228e-07
1837,1.7394727436226276e-08,1.0450752689905585e-06
1838,1.8936486156917454e-08,1.026988691421593e-06
1839,1.6080392128969834e-08,1.0990598511284588e-06
1840,1.52872523528913e-08,8.013068146794922e-07
1841,1.733548060656176e-08,6.651688551073676e-07
1842,1.60998356868447e-08,7.741337739730625e-07
1843,1.1813821920725331e-08,6.261325555811936e-07
1844,8.781698090931656e-09,7.190015480773582e-07
1845,6.69627359117797e-09,5.94294281341945e-07
1846,8.781752436348711e-09,6.4809332300797e-07
1847,3.775256551818984e-09,4.0988501126548726e-07
1848,7.24069959545659e-09,4.915630498203427e-07
1849,8.379414495607307e-09,4.0221192421086016e-07
1850,1.9009188889640427e-08,5.044224025141375e-07
1851,6.449438760824933e-09,4.1018431140571465e-07
1852,2.6042181744401205e-09,5.494900392477575e-07
1853,3.5831591027601917e-09,5.488205196968465e-07
1854,1.8184825201217336e-08,6.297145347389232e-07
1855,4.6701046585440054e-08,4.086341505171731e-07
1856,4.0899795550330964e-08,3.7845253508805854e-07
1857,1.2203773103180993e-08,4.905916597408577e-07
1858,1.4681027837859517e-08,5.324319403143818e-07
