year,premiers_ADJ ans_NOUN,premiers_ADJ gens_NOUN
1800,3.804439074883703e-07,3.144164484325529e-09
1801,2.881230898310605e-07,2.3811825844433088e-09
1802,2.842056971985585e-07,0.0
1803,3.101039283137652e-07,0.0
1804,4.968420626028092e-07,0.0
1805,4.264316544322355e-07,0.0
1806,2.305335300434308e-07,2.881669125542885e-08
1807,3.046241943138739e-07,0.0
1808,3.172503681980743e-07,0.0
1809,1.9427662323323602e-07,0.0
1810,3.5101902540191077e-07,0.0
1811,2.8329966994533606e-07,0.0
1812,3.2273220540446346e-07,0.0
1813,3.077043686516845e-07,0.0
1814,1.9824065589091333e-07,0.0
1815,2.2926400333744823e-07,0.0
1816,2.9201808615653135e-07,0.0
1817,2.6778221240419953e-07,0.0
1818,2.4319200520039885e-07,0.0
1819,3.6332184549792146e-07,0.0
1820,4.177001358129928e-07,3.5599443393152796e-09
1821,3.0176153131833416e-07,1.2819934447350079e-08
1822,3.5089655625597516e-07,0.0
1823,3.4787058211804833e-07,0.0
1824,3.8989750805740186e-07,1.6842225392110777e-09
1825,2.9057960659883975e-07,6.163809906922779e-09
1826,2.563123473464657e-07,7.927186018719112e-09
1827,2.1199727484599862e-07,0.0
1828,2.2472137573004147e-07,2.7516904310687096e-09
1829,1.997550072019294e-07,0.0
1830,2.3587249131651333e-07,1.0436835840010872e-09
1831,2.1983601072861347e-07,0.0
1832,1.9618455837644433e-07,0.0
1833,2.8959070164091827e-07,0.0
1834,2.4549817112529126e-07,2.8003592777992026e-09
1835,2.1706063080273452e-07,5.294161553592858e-09
1836,2.8025527853969834e-07,0.0
1837,2.3100197665826272e-07,8.349468672008697e-09
1838,1.881024189742675e-07,5.680945491803868e-09
1839,1.4821927152297576e-07,9.788065469251706e-09
1840,1.5542040898708365e-07,1.2739377330817092e-09
1841,1.8105946253399452e-07,6.420548537278137e-10
1842,1.9722298816304829e-07,2.683306021822318e-09
1843,1.1518476839000868e-07,5.906911071384968e-10
1844,1.51484286448067e-07,1.6465684371524958e-09
1845,1.25555132513e-07,2.2320911785556063e-09
