year,quelques_DET iles_NOUN
1800,3.458580977167003e-08
1801,6.667311325259107e-08
1802,4.699464284385613e-08
1803,5.460949736857401e-08
1804,9.145848367531073e-08
1805,2.2743021688143017e-08
1806,1.4408345627714425e-08
1807,8.540865792383556e-09
1808,9.064295980465431e-09
1809,2.936739762482432e-08
1810,3.510190094146992e-08
1811,3.008491944456182e-08
1812,5.3344164641089264e-09
1813,2.0130190847567064e-08
1814,1.5733386149463513e-08
1815,2.4275012222574333e-08
1816,2.3176038865813098e-08
1817,5.2933695871004716e-08
1818,2.3842354535119625e-08
1819,1.9666995143552413e-08
1820,2.966620371580575e-08
1821,9.861488403650753e-09
1822,2.3058916553964082e-08
1823,4.150728605267773e-08
1824,3.705289497446529e-08
1825,2.377469621173134e-08
1826,2.113916308665864e-08
1827,4.4242909502667516e-08
1828,5.411657844067719e-08
1829,7.372931309923558e-08
1830,5.114049561605327e-08
1831,1.5591206325993312e-08
1832,5.0060886991332154e-08
1833,1.0077756618098732e-07
1834,5.8807546166050884e-08
1835,4.9160071569076536e-08
1836,4.032449923974113e-08
1837,4.5226292488820263e-08
1838,6.249040485073465e-08
1839,5.8728391039153394e-08
1840,6.560779208797385e-08
1841,5.585877094205216e-08
1842,3.6224632182779715e-08
1843,3.7804230856863796e-08
1844,3.677335985718955e-08
1845,3.9061595402678506e-08
1846,4.683601084742861e-08
1847,4.0988498817284835e-08
1848,5.390298735141741e-08
1849,5.7817962639816756e-08
1850,4.412847331991543e-08
1851,3.1602249261908355e-08
1852,4.036538281404489e-08
1853,4.001194309211087e-08
1854,3.325225317318825e-08
1855,4.8823821430232783e-08
1856,2.6403664143970218e-08
1857,2.3431243612037633e-08
1858,1.517039577292323e-08
1859,1.7822606501738392e-08
1860,2.1970483377042882e-08
1861,2.1693433105429705e-08
1862,2.25899317307654e-08
1863,1.8480097063733325e-08
1864,2.0617330287464597e-08
1865,1.8827377157304426e-08
1866,2.6760870741604492e-08
1867,1.1161466417775046e-08
1868,1.8771521115290568e-08
1869,1.416220518635214e-08
1870,1.204150290590178e-08
1871,1.5931766128574054e-08
1872,1.6932549695702903e-08
1873,2.8134221785602875e-08
1874,1.3144140331711185e-08
1875,1.2015206996007777e-08
1876,2.2974855795609983e-08
1877,2.5976226503132693e-08
1878,2.1136810302024855e-08
1879,3.8488748299592146e-08
1880,2.1820677487127682e-08
1881,2.789002989667111e-08
1882,1.9966155617723302e-08
1883,1.5166413291911596e-08
1884,2.5086449362277108e-08
1885,1.4180398244523218e-08
1886,2.7104548327994138e-08
1887,1.8280988667296327e-08
1888,1.5851536305788727e-08
1889,1.691586909435827e-08
1890,2.3595791043273806e-08
1891,2.740914517573856e-08
1892,2.19397926493059e-08
1893,2.7712874106633478e-08
1894,1.2603078136663726e-08
1895,9.027921521465032e-09
1896,1.2973463803245266e-08
1897,1.631479740193953e-08
1898,1.2448381103702388e-08
1899,1.6029977345510815e-08
1900,1.609226463195057e-08
1901,1.5089595462036698e-08
1902,9.329539363278627e-09
1903,1.674068261792172e-08
1904,1.7198800605910947e-08
1905,2.270733934217617e-08
1906,2.1605575717398295e-08
1907,8.742833679242779e-09
1908,2.9468334439286537e-09
1909,7.70137675853988e-09
1910,9.085056262847502e-09
1911,1.2236860857939291e-08
1912,7.814131675054625e-09
1913,1.1666577537372547e-08
1914,1.2054139020278853e-08
1915,1.5314990053916233e-08
1916,5.493731025651982e-09
1917,1.425635154372884e-08
1918,1.72295644418341e-08
1919,7.366278753639932e-09
1920,9.086678076641874e-09
1921,9.844571879913389e-09
1922,8.853522970309058e-09
1923,3.1847844361720945e-09
1924,1.5469949210533684e-08
1925,7.698724546756353e-09
1926,4.458455493683289e-09
1927,8.919379901328739e-09
1928,1.599645738092903e-08
1929,6.684243825105796e-09
1930,7.352522701786768e-09
1931,6.843213995466613e-09
1932,6.575722188983946e-09
1933,4.588264879146209e-09
1934,5.990790086229936e-09
1935,1.0771455727365264e-08
1936,1.333718602225531e-08
1937,7.554670999887492e-09
1938,1.8151300351654243e-08
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,0.0
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,1.6705325123211878e-08
1947,1.0728784083369192e-08
1948,9.784698828951832e-09
1949,1.2762110923603132e-08
1950,4.2541445921528975e-09
1951,8.529121409139861e-09
1952,7.381362521208246e-09
